 	la	mère	a	donné	une	fessée	à	son	fils	car	celui-ci	ne	s'	est	pas	présenté	au	cours	</S>
n	0.698191	0.0177956	0.0585869	0.0280842	0.044282	0.0253053	0.0183385	0.0182596	0.00958338	0.0172058	0.035063	0.010159	0.00371618	0.00146953	0.00390011	0.000645416	0.006909	0.000381363	0.00212397
g	0.10911	0.887119	0.0019599	0.000322827	0.00054409	3.67833e-05	0.000227805	0.000286456	0.000165623	6.42699e-05	5.16711e-05	3.31735e-05	1.55399e-05	3.52768e-06	2.15048e-05	2.43986e-06	1.83175e-05	1.13757e-05	5.59468e-06
ó	0.223425	0.766754	0.00446054	0.00149654	0.000970171	0.000188592	0.000347441	0.000495483	0.000435995	0.000406156	0.000152002	0.000102096	0.00021659	9.80772e-05	0.000189189	1.62428e-05	3.20075e-05	0.000129442	8.43953e-05
o	0.0321629	0.966532	0.000312387	0.000528797	0.000103255	7.73654e-05	2.08918e-05	4.82405e-05	3.12845e-05	4.18797e-05	1.90385e-05	8.40883e-06	1.81357e-05	9.44628e-06	9.62432e-06	2.78744e-06	4.50617e-06	2.76653e-05	4.12735e-05
á	0.24705	0.0202869	0.509634	0.0821688	0.0360641	0.00546728	0.0132393	0.0115508	0.00738353	0.0137911	0.0189448	0.00777593	0.00925915	0.00371011	0.00459679	0.000370879	0.0031903	0.000857338	0.00465896
b	0.0235184	0.024923	0.119198	0.681831	0.0446835	0.0314138	0.00243861	0.000784365	0.000444741	0.00025749	0.000440071	0.00288547	0.00456814	0.00888931	0.00569455	0.0164479	0.0111178	0.00859953	0.0118645
έ	0.00385983	0.00026937	0.0264271	0.573731	0.0931733	0.217482	0.0123588	0.00431875	0.00291226	0.00223123	0.00206137	0.0055578	0.00982697	0.0102828	0.00800476	0.00639667	0.00935563	0.00347874	0.0082714
r	0.192097	0.00204433	0.083832	0.312709	0.1347	0.0684036	0.0447089	0.0193052	0.0179765	0.0108545	0.00746684	0.00977941	0.0202857	0.0195451	0.0179406	0.0133114	0.00943796	0.00260147	0.0130003
i	0.0724918	0.00252934	0.096711	0.321977	0.220415	0.0546431	0.0621821	0.0322989	0.00956396	0.0198905	0.032151	0.0164959	0.0124997	0.00733171	0.0108656	0.00378603	0.00820884	0.00363736	0.0123217
m	0.0109292	0.00607827	0.2274	0.154662	0.233835	0.105991	0.0771083	0.0642008	0.0339647	0.0284117	0.0163668	0.00354615	0.00458631	0.00308238	0.00285808	0.00272307	0.00276523	0.00414241	0.0173475
w	0.00225991	1.66656e-05	0.0540949	0.00393397	0.0298742	0.0209799	0.0594809	0.102871	0.703825	0.0146908	0.00160084	0.000670211	0.0013952	0.000867034	0.00101262	0.000165023	0.000226188	9.9944e-05	0.00193509
á	0.0013672	8.36653e-06	0.029395	0.0104959	0.0397551	0.0624267	0.0562604	0.161723	0.564518	0.0597269	0.00590275	0.0020578	0.00168871	0.000587694	0.00107841	0.000410186	0.000326937	0.000276043	0.00199524
n	0.0582027	6.44342e-05	0.0620163	0.00628194	0.0347674	0.0549417	0.0413383	0.131627	0.403646	0.165805	0.0257297	0.00254156	0.00287844	0.000588252	0.00104518	0.000188966	0.00126032	0.000286221	0.00679121
a	0.0332464	0.000533552	0.203992	0.272018	0.150813	0.0668753	0.0291287	0.0514276	0.0697291	0.014004	0.00525042	0.00158172	0.00642927	0.00311062	0.00349218	0.000602725	0.00132626	0.00605392	0.0803847
i	0.0174385	0.000236538	0.0644235	0.0948349	0.26146	0.193595	0.164756	0.0886179	0.0253343	0.0263554	0.0231389	0.010145	0.00868931	0.00392233	0.00406099	0.000897314	0.00373835	0.00153589	0.00681926
b	0.000388109	4.89032e-05	0.00714943	0.019582	0.0869012	0.59083	0.0940241	0.0374763	0.0421546	0.0253981	0.011482	0.029021	0.0153001	0.0113081	0.0108391	0.00379209	0.00431228	0.00179645	0.00819586
h	0.000138376	1.58733e-06	0.00468433	0.00529236	0.02431	0.742386	0.0331033	0.0330575	0.0539785	0.0340315	0.0101842	0.0403686	0.00837679	0.00277871	0.00334386	0.00185357	0.00114897	0.000221781	0.000740143
έ	2.45099e-05	2.63489e-07	0.000870401	0.00465498	0.0227937	0.873474	0.0164813	0.0115596	0.0106386	0.00624827	0.00323118	0.021458	0.00600018	0.00517121	0.0048167	0.00609454	0.00358772	0.00146471	0.00143051
ε	0.000182794	1.37987e-06	0.00730904	0.0324382	0.112594	0.307929	0.0985293	0.100071	0.0418683	0.0447107	0.0523274	0.0418651	0.0222116	0.0132797	0.0227059	0.0163603	0.0232824	0.00655847	0.0557755
t	0.000209343	1.90618e-06	0.00612463	0.0127123	0.0391507	0.0405203	0.15966	0.12073	0.0928367	0.0969238	0.136106	0.111445	0.0755177	0.0364399	0.0359405	0.00701521	0.0165619	0.00281166	0.00929293
s	0.00104006	2.43073e-05	0.00262124	0.0106236	0.0604853	0.222893	0.0717757	0.0675525	0.0324423	0.108475	0.0710784	0.157049	0.0711807	0.052698	0.0364963	0.00477987	0.0059484	0.00157509	0.0212601
í	0.000950707	5.96136e-06	0.00220896	0.0212975	0.0515557	0.20885	0.0645062	0.0897833	0.0549051	0.155371	0.0632189	0.075122	0.0358085	0.0312665	0.0227697	0.0348131	0.00647193	0.00906408	0.0720315
n	0.00242761	0.000323424	0.0035163	0.0286423	0.0149416	0.0677537	0.0407312	0.106888	0.0602541	0.255711	0.179858	0.0777974	0.0293787	0.00768602	0.00697656	0.0100337	0.00490554	0.0115423	0.0906323
a	0.0126467	0.00147665	0.016975	0.0531834	0.0127062	0.00733346	0.0383041	0.0614942	0.0873973	0.063596	0.039364	0.016351	0.0324016	0.0101714	0.0131589	0.00194539	0.00624794	0.018583	0.506664
á	0.000293613	4.08661e-05	0.00669986	0.0106126	0.00867829	0.00263855	0.0427777	0.0662417	0.0350526	0.100288	0.133947	0.180072	0.201835	0.0935511	0.0554401	0.00837585	0.0126241	0.0125753	0.0282559
d	0.000184245	0.000184112	0.00277849	0.0396301	0.00653319	0.0115845	0.00529626	0.00244542	0.00162226	0.00123349	0.00198959	0.0435616	0.143947	0.289804	0.154956	0.148308	0.0756571	0.0535846	0.0166993
u	0.000103578	2.72775e-05	0.00204616	0.0204692	0.00309473	0.00169579	0.00681629	0.00341884	0.00207569	0.00105365	0.00126879	0.0224799	0.0552677	0.117095	0.0931096	0.223219	0.0406964	0.158523	0.247539
m	3.45674e-05	3.186e-05	0.00285096	0.00962674	0.0136472	0.00109549	0.0459714	0.0292532	0.0377691	0.00570123	0.00551081	0.0244875	0.0345627	0.0893434	0.0833064	0.474285	0.0955102	0.034728	0.0122844
u	0.000122523	6.93577e-06	0.000851654	0.00247858	0.00630699	0.00199961	0.0272719	0.0359767	0.117207	0.0147504	0.016097	0.0262247	0.0296581	0.0932882	0.107162	0.268698	0.130567	0.059149	0.0621834
i	1.69647e-05	1.01149e-06	0.000778166	0.00132729	0.00271102	0.00259971	0.00620708	0.00353506	0.00336232	0.00377298	0.0030958	0.0194043	0.0591062	0.165265	0.193253	0.0671503	0.242557	0.181142	0.0447148
s	2.09246e-05	2.76928e-06	0.000633077	0.00133594	0.00240114	0.00479654	0.00197538	0.000810686	0.00125689	0.00104618	0.000874498	0.00748349	0.0337189	0.117822	0.177774	0.0571296	0.252012	0.257142	0.0817644
í	8.31089e-06	1.08371e-06	0.00023318	0.00267255	0.00104188	0.000454522	0.00116476	0.000744528	0.000575545	0.00013991	0.000123234	0.00114068	0.00598615	0.0365193	0.0660196	0.210458	0.0723978	0.533067	0.0672522
m	6.01578e-05	3.9433e-06	0.000272354	0.000380125	0.000387127	0.000167048	0.00211805	0.00276313	0.00338447	0.00412858	0.0034758	0.0046337	0.00534365	0.0114024	0.0442456	0.199206	0.0639738	0.52295	0.131104
á	5.28133e-05	7.50212e-07	0.000927679	0.000231647	0.00265985	0.00266466	0.012172	0.0257464	0.115564	0.0187148	0.00576063	0.0119139	0.0272977	0.0593177	0.157275	0.0569677	0.302172	0.0959493	0.104611
</S>	0.000246145	1.50546e-05	0.00152563	0.00103838	0.00141254	0.00100758	0.00548258	0.00541796	0.00528669	0.00732388	0.0084022	0.00697315	0.0087745	0.0173544	0.078822	0.108626	0.115065	0.498329	0.128897
