 	son	récit	nous	brisa	le	coeur	</S>
d	0.261855	0.700989	0.0305267	0.00314538	0.0032797	5.3708e-05	0.000150536
z	0.135345	0.815195	0.00234023	0.00929624	0.0177793	0.000268419	0.0197763
ú	0.00374892	0.993061	7.53895e-05	0.00118697	0.000277423	0.000943439	0.000706748
e	0.0195169	0.951401	0.000748436	0.00315217	0.000683377	0.0124073	0.0120909
l	0.180614	0.0768468	0.0201784	0.0276842	0.027807	0.0157823	0.651087
á	0.369625	0.0387477	0.0647845	0.0912245	0.106132	0.00489098	0.324595
w	0.727218	0.0420415	0.126022	0.0430143	0.0403544	0.00736818	0.013982
a	0.473365	0.075945	0.102159	0.0924304	0.129898	0.0101663	0.116036
í	0.241675	0.0251915	0.201374	0.171946	0.212285	0.012832	0.134696
k	0.0119835	0.00176843	0.0190632	0.761411	0.162019	0.0173274	0.026427
y	0.00509814	0.00289029	0.0161354	0.768447	0.180677	0.013347	0.0134044
é	0.0048768	0.00612234	0.0223965	0.686124	0.196451	0.0422163	0.0418131
n	0.0122917	0.0341085	0.121425	0.545071	0.0713371	0.0461865	0.16958
í	0.0973368	0.00846903	0.211245	0.580267	0.0903602	0.00154085	0.0107806
b	0.0234643	0.00588007	0.781258	0.0519205	0.106274	0.0121994	0.0190037
í	0.0205961	0.00289699	0.881745	0.049486	0.0377746	0.00395709	0.00354403
s	0.00879218	0.00180671	0.957279	0.0117258	0.0149687	0.00133358	0.00409377
í	0.0789902	0.00428983	0.370281	0.24757	0.175409	0.00505969	0.1184
o	0.00681231	0.00169224	0.0579008	0.126575	0.583398	0.0697723	0.153849
t	0.000728102	0.00102069	0.00022761	0.022429	0.034885	0.930239	0.0104705
é	4.77999e-05	0.000205119	6.3664e-05	0.0102483	0.0302572	0.931385	0.027793
m	0.000465152	0.000143936	0.000776556	0.0243476	0.104819	0.633975	0.235473
a	0.0125775	0.000898594	0.0027822	0.0121483	0.301307	0.373351	0.296936
</S>	0.0287942	0.000990764	0.0247511	0.00972413	0.165186	0.0471604	0.723393
