 	fais	essayer	cet	habit	à	ton	enfant	s'	il	te	plait	</S>
m	0.982479	0.00266048	0.00118442	0.00474137	0.00273292	0.00412309	0.000192888	0.000489492	0.000273465	0.00103223	7.70892e-05	1.37674e-05
ó	0.253877	0.542918	0.0220523	0.0109693	0.00616368	0.00250641	0.0523612	0.0177241	0.0305095	0.0198921	0.00143884	0.0395872
m	0.154851	0.745185	0.00678733	0.0185516	0.00641217	0.000910744	0.0459432	0.00880736	0.00245718	0.000607566	0.00664258	0.00284371
e	0.0104353	0.929387	0.00460441	0.00133696	0.00607042	0.00315669	0.0321616	0.00152154	0.00203992	0.00070222	0.000990776	0.0075934
e	0.0215858	0.862154	0.0287525	0.0565774	0.00999362	0.000991442	0.00177985	0.00267199	0.00150354	0.000318809	0.00263051	0.0110407
s	0.162315	0.173902	0.227076	0.0749614	0.0548717	0.00922995	0.0138473	0.0390363	0.0263182	0.00499957	0.00890262	0.204539
á	0.0778409	0.219333	0.359845	0.0197044	0.0514834	0.0668301	0.0108653	0.02254	0.0555369	0.0146145	0.00455204	0.096854
m	0.0702912	0.033924	0.455229	0.0962354	0.0497332	0.111014	0.0829232	0.0236521	0.0272474	0.0126159	0.00559507	0.0315395
w	0.00710444	0.209026	0.217796	0.028502	0.0275244	0.00288545	0.467342	0.00666627	0.00726491	0.000350413	0.00743197	0.0181062
á	0.00214468	0.0163759	0.0215062	0.0385419	0.00861359	0.00062476	0.901776	0.00419594	0.00237834	0.000130895	0.00245397	0.00125749
n	0.0681021	0.0620754	0.0873792	0.106066	0.0759066	0.0625911	0.359423	0.0364862	0.0733296	0.0162112	0.0293975	0.0230319
a	0.0620096	0.0174087	0.133919	0.0631194	0.0199287	0.0623122	0.279665	0.0272544	0.0638904	0.0237566	0.0108476	0.235889
y	0.0414616	0.0294396	0.534423	0.0612358	0.0900507	0.096474	0.0204008	0.0406579	0.0256891	0.0200168	0.00694901	0.0332017
a	0.00755769	0.00405171	0.545205	0.128778	0.135697	0.103179	0.00933368	0.0206581	0.0161323	0.00609169	0.00618694	0.0171287
n	0.00445455	0.00238293	0.25622	0.336012	0.180293	0.140578	0.0289454	0.0174779	0.0105127	0.00530096	0.00590871	0.011914
ω	0.00758944	0.000382449	0.14455	0.352194	0.145559	0.264363	0.0129755	0.0215086	0.0202416	0.0182736	0.00217945	0.0101838
o	0.00135886	0.00557233	0.210348	0.548148	0.113573	0.0272702	0.0021782	0.0368531	0.0112603	0.015756	0.00718352	0.0204987
k	0.00631001	0.00359253	0.130963	0.393889	0.284985	0.0882646	0.0136574	0.0222067	0.0070726	0.001885	0.0124857	0.0346891
á	0.00123657	0.000363973	0.0313904	0.736918	0.112461	0.0161097	0.00128884	0.0338434	0.00788101	0.00255159	0.0228278	0.033128
n	0.000604813	0.000409069	0.0196512	0.207942	0.0731138	0.0230053	0.026313	0.114744	0.0442924	0.00610029	0.0550372	0.428787
d	0.00217749	0.000591619	0.0351788	0.296179	0.202199	0.257151	0.0175028	0.0631548	0.0458229	0.0215756	0.00624961	0.0522179
á	0.00324509	0.00085359	0.066744	0.259228	0.188175	0.132549	0.10987	0.0956981	0.0567908	0.0159094	0.0122797	0.0586576
m	0.00100596	0.000197448	0.0106902	0.00988541	0.175122	0.28805	0.0655054	0.26794	0.0750626	0.0551218	0.020328	0.0310909
ú	0.000993723	0.00255233	0.0160805	0.0023083	0.161283	0.0467985	0.256574	0.0966811	0.0576584	0.0070396	0.0976539	0.254376
</S>	4.40431e-05	0.00194786	0.0165101	0.0323048	0.226892	0.0291497	0.0218555	0.208072	0.0704937	0.0236033	0.221989	0.147139
