 	il	bâtit	une	maison	</S>
w	0.974953	0.00589407	0.0184988	0.000591077	6.30956e-05
a	0.915275	0.0161856	0.0610797	0.0022961	0.00516373
a	0.66958	0.211622	0.107319	0.00208106	0.00939775
t	0.162455	0.566533	0.0446455	0.00328897	0.223078
ó	0.0115289	0.80789	0.0391602	0.00726303	0.134158
n	0.118703	0.451012	0.222213	0.0209201	0.187152
g	0.116648	0.769839	0.0411065	0.0206342	0.0517723
í	0.240195	0.339058	0.277974	0.0705556	0.0722172
n	0.0702397	0.0272102	0.440672	0.421005	0.0408729
d	0.00193302	0.00735115	0.0962666	0.877342	0.0171072
é	0.00016931	0.00583377	0.0163516	0.94145	0.0361949
e	0.00664893	0.135507	0.175619	0.269533	0.412692
</S>	0.00548675	0.0139193	0.216103	0.0505817	0.71391
