 	l'	enfant	a	capturé	un	silure	avec	son	hameçon	</S>
m	0.849452	0.147273	0.00124839	0.000223489	0.000803624	0.000472421	0.000183476	0.00029415	2.89153e-05	2.01833e-05
w	0.0350824	0.956516	0.0049412	0.000607242	0.000710186	0.000375909	0.000372857	0.000625402	6.93498e-05	0.000699088
á	0.0103887	0.988982	0.000212997	0.000134193	0.000158493	6.09643e-05	1.12969e-05	1.60358e-05	3.14892e-05	3.84184e-06
n	0.182018	0.815263	0.00058083	0.000106206	0.000187368	4.22829e-05	0.000108439	0.00031117	8.25454e-05	0.00130058
a	0.234161	0.457879	0.098421	0.030598	0.0238154	0.00142002	0.00655105	0.0112732	0.00241798	0.133464
á	0.84655	0.0534969	0.0544561	0.0111885	0.0049477	0.00160417	0.00389856	0.00985653	0.000362418	0.0136392
y	0.0359176	0.00829074	0.619328	0.291424	0.018208	0.00416681	0.00589632	0.00699996	0.00181303	0.00795565
u	0.131398	0.0209334	0.217347	0.491189	0.0156549	0.104788	0.00330196	0.00250497	0.000375698	0.0125067
b	0.356041	0.00997665	0.12202	0.437749	0.0330681	0.0156647	0.0049563	0.00335761	0.000345832	0.0168219
h	0.0350979	0.0131186	0.355479	0.397175	0.0917578	0.0570606	0.0287385	0.0132651	0.00341757	0.00488973
u	0.0594838	0.00125371	0.1446	0.494786	0.142808	0.0346564	0.056978	0.0231944	0.0015423	0.0406979
s	0.0405965	0.0109157	0.180948	0.119641	0.363395	0.134438	0.077561	0.050521	0.00828129	0.013702
u	0.0363679	0.00111856	0.0285527	0.370677	0.217345	0.226084	0.0817941	0.0190214	0.00142626	0.0176125
n	0.0198107	0.00252221	0.0166795	0.0710298	0.386715	0.183422	0.177921	0.106547	0.00579926	0.0295532
g	0.00398065	0.00112552	0.00460366	0.00849186	0.219485	0.631091	0.0823744	0.0392793	0.000922255	0.00864632
ω	0.00694444	0.00269071	0.00228681	0.0026271	0.0588818	0.865389	0.0414574	0.0154842	0.00147501	0.00276375
l	0.0031958	0.00154771	0.00470553	0.00131282	0.0391942	0.627834	0.161465	0.0843607	0.0285612	0.0478231
ω	0.00111969	0.000154416	0.00954256	0.00937541	0.101356	0.144161	0.323213	0.153125	0.12039	0.137562
m	0.00331993	0.000768289	0.00453724	0.00494612	0.0626101	0.0226925	0.245463	0.335253	0.277155	0.0432558
í	0.00074663	0.000698867	0.00232175	0.00108252	0.0209053	0.000112601	0.0646624	0.419923	0.0512846	0.438263
l	0.000935109	0.000136135	0.00233559	0.00159743	0.0247684	0.00139963	0.0337774	0.109835	0.804784	0.0204311
ώ	9.61135e-05	1.3873e-05	0.00314305	0.00962613	0.011759	0.00212147	0.0306653	0.103621	0.786086	0.0528685
b	3.24843e-05	1.06141e-05	0.000443833	0.00131992	0.00999435	0.00367304	0.0185278	0.0324123	0.910603	0.0229826
h	0.000499307	7.73607e-05	0.00187204	0.00404164	0.0368565	0.000820422	0.04738	0.0946081	0.61114	0.202705
ω	0.000740765	7.1053e-05	0.00056824	0.00182113	0.0315918	0.00120846	0.0686535	0.0998894	0.710636	0.0848196
</S>	0.00182378	7.4399e-05	0.000229712	0.000289282	0.0106859	0.00085251	0.0964721	0.276923	0.128509	0.484139
