 	les	hommes	sont	partis	chercher	du	gravier	au	fleuve	</S>
a	0.574695	0.416146	0.00770611	4.70553e-05	0.000662675	0.000224796	4.02643e-05	0.000472896	3.6831e-06	1.19623e-06
b	0.119718	0.819868	0.0444373	0.00951095	0.00189205	0.000948063	0.000942453	0.00147023	0.0006926	0.000519866
a	0.0610456	0.927764	0.00453228	0.000304946	0.000476474	0.000286512	0.0019222	0.00147749	0.00103729	0.0011532
a	0.0778827	0.736662	0.0553548	0.017474	0.00362117	0.00300486	0.0184169	0.00166526	0.00634763	0.0795713
á	0.170231	0.105611	0.603466	0.072601	0.00839667	0.00613793	0.00653019	0.00234868	0.000229957	0.0244469
d	0.00663101	0.00270688	0.286708	0.374607	0.20048	0.0246323	0.0678341	0.0119624	0.00262533	0.0218132
z	0.000726319	0.000142794	0.0640665	0.835819	0.0406401	0.00429256	0.0114807	0.00234896	0.00124838	0.0392348
w	0.00412078	1.69942e-05	0.0401241	0.748575	0.188132	0.00795457	0.0013976	0.000861808	0.00249878	0.00631852
e	0.00627467	2.48061e-05	0.0250592	0.686695	0.249946	0.0191144	0.00139214	0.00337266	0.00414926	0.00397178
o	0.0114302	0.00128441	0.203411	0.145066	0.438468	0.128198	0.0180357	0.0234943	0.00229818	0.0283146
t	0.00371146	0.00262007	0.0111319	0.144921	0.307337	0.209051	0.266008	0.0211571	0.0119474	0.022115
ώ	0.000470296	0.000784734	0.00529762	0.0516971	0.201658	0.358868	0.292249	0.0067867	0.0160679	0.0661208
ώ	0.000696224	0.00284265	0.00916355	0.0134611	0.194765	0.558213	0.146273	0.0147681	0.00726873	0.0525492
n	0.00448299	0.000643917	0.0293506	0.00653628	0.167217	0.596195	0.085483	0.088197	0.00496455	0.016929
g	0.00615228	0.000277104	0.00188294	0.00241449	0.178601	0.522446	0.15065	0.0514227	0.0324922	0.0536612
ώ	0.010081	0.000327543	0.00412905	0.000950491	0.324402	0.48591	0.0336445	0.0303831	0.0740255	0.0361471
a	0.0016351	0.000150204	0.00303961	0.000423672	0.0480189	0.515753	0.154425	0.174643	0.0323283	0.0695822
k	0.00406341	0.000280442	0.00473234	0.00048064	0.00983933	0.138509	0.438843	0.288993	0.0927415	0.0215177
í	0.000515756	0.000756258	0.000497163	0.000207915	0.00131837	0.0572326	0.803497	0.0275375	0.0553772	0.0530608
ε	0.00219507	0.00481353	0.00132833	0.00212844	0.00223817	0.0305353	0.608428	0.0156302	0.145264	0.18744
ó	0.000146597	0.000102943	0.000636418	0.000276194	0.00309845	0.0297779	0.455191	0.337453	0.0628738	0.110444
n	0.00212375	0.000125098	0.0132149	0.00624893	0.012187	0.0132226	0.175578	0.277298	0.286668	0.213333
d	0.0076747	4.26517e-05	0.00260615	0.0031507	0.0524326	0.015304	0.0592571	0.253869	0.418887	0.186776
z	0.000607389	2.71178e-05	0.000520463	0.000471926	0.0372693	0.0325772	0.0524295	0.110736	0.671459	0.0939021
á	0.000272005	1.63215e-05	0.000226889	0.00117229	0.0464459	0.0553498	0.0537533	0.0506037	0.614249	0.177911
l	0.000538199	2.74946e-05	0.00021249	0.00113822	0.00162679	0.0127592	0.0582456	0.0182168	0.103897	0.803338
é	0.00122512	0.000132806	0.00144155	0.00221735	0.0146651	0.0294119	0.102622	0.143568	0.539835	0.16488
</S>	0.000401992	0.000125741	0.00287373	0.00104789	0.00492288	0.0141809	0.0735271	0.183893	0.07774	0.641287
