 	ses	enfants	ont	bu	courage	</S>
b	0.302502	0.694403	0.00200132	6.6522e-05	0.000778308	0.000248411
á	0.00976179	0.989671	0.000416095	8.28173e-06	0.000132566	1.01384e-05
n	0.0327759	0.964315	0.00264295	6.64349e-05	0.000149428	4.99478e-05
a	0.404061	0.576115	0.00981408	0.00137465	0.00328252	0.00535277
b	0.582797	0.152573	0.222829	0.0263829	0.00206255	0.013355
á	0.173158	0.101112	0.461936	0.0359741	0.00728374	0.220537
w	0.0444512	0.0539849	0.6983	0.100225	0.0169503	0.0860886
a	0.118679	0.109415	0.432262	0.203663	0.0358975	0.100084
á	0.0610147	0.0114622	0.733325	0.137961	0.00635898	0.049878
d	0.00375421	0.000309907	0.250366	0.652134	0.0366335	0.0568025
í	0.0034569	5.97913e-05	0.130967	0.734376	0.0263704	0.10477
l	0.0286054	0.000323674	0.0864967	0.557303	0.086998	0.240273
a	0.00633816	0.000167536	0.131091	0.427002	0.141141	0.294259
ω	0.0102942	0.00188815	0.033838	0.157819	0.654524	0.141637
n	0.000902987	6.77034e-05	0.00130881	0.0438059	0.934547	0.0193674
g	0.00689165	1.88454e-05	0.00189486	0.36275	0.554631	0.0738137
á	0.00548582	0.000839541	0.017082	0.385462	0.478214	0.112916
n	0.000933526	5.17945e-05	0.00189385	0.0578407	0.581676	0.357604
d	0.0191676	0.000738076	0.0197258	0.169864	0.573264	0.217241
z	0.00258098	0.000129318	0.00193599	0.0813015	0.476581	0.437472
i	0.00207068	9.69835e-05	0.00145707	0.0994949	0.28321	0.61367
</S>	0.00265705	1.37459e-05	0.00942768	0.0236965	0.123414	0.840791
