 	j'	ai	déjà	traversé	le	fleuve	</S>
n	0.956115	0.0366324	0.00168558	0.00303203	0.0019824	0.000216017	0.000336607
g	0.977349	0.021398	5.08764e-05	0.000379732	0.000766882	4.16051e-05	1.37364e-05
á	0.946486	0.0499579	0.00111053	0.00110541	0.000904936	0.000409255	2.641e-05
í	0.146156	0.564881	0.0656762	0.0530116	0.0368691	0.016653	0.116754
m	0.00141521	0.0524626	0.890075	0.0490855	0.00146963	0.00122403	0.0042677
i	2.19781e-05	0.0326811	0.905478	0.0426043	0.00973685	0.00206112	0.00741658
s	1.49168e-05	0.00803307	0.908157	0.073838	0.00253836	0.00189041	0.00552778
á	1.39614e-05	0.0146395	0.936707	0.0445597	0.00088937	0.00197209	0.00121837
á	0.000387187	0.025354	0.57015	0.203885	0.0705068	0.0134396	0.116277
o	0.00128744	0.041482	0.0612981	0.275078	0.553833	0.0551774	0.0118432
l	0.000164195	0.0052054	0.0432601	0.312984	0.0898599	0.527993	0.0205326
a	7.9964e-06	0.00355506	0.11845	0.489901	0.162292	0.184689	0.0411052
b	2.98869e-05	0.00385007	0.10947	0.262865	0.206605	0.319233	0.0979482
h	2.21546e-05	0.00127165	0.0200685	0.450299	0.136595	0.209553	0.182191
á	5.3245e-05	0.00355257	0.0324892	0.202927	0.118381	0.209	0.433597
n	7.70061e-05	0.00632331	0.00668994	0.0531151	0.339257	0.247022	0.347515
d	0.00271458	0.00801291	0.002903	0.0213375	0.192367	0.508468	0.264197
z	0.00165758	0.00212872	0.000642949	0.00549163	0.0793803	0.460407	0.450292
á	6.94971e-05	0.000282383	0.000643676	0.00296438	0.0434872	0.51582	0.436733
l	1.96028e-05	0.000180688	0.000908695	0.00738269	0.0181081	0.140717	0.832683
é	5.27688e-05	0.00161394	0.00564902	0.0274348	0.0928048	0.454953	0.417491
</S>	8.69305e-05	0.00125309	0.0050956	0.0253094	0.113839	0.122068	0.732348
