 	c'	est	toi	qui	a	battu	les	paupières	en	premier	</S>
o	0.378263	0.153195	0.0670608	0.0597597	0.0423939	0.0471867	0.0700795	0.16077	0.0116151	0.00600454	0.00367244
k	0.000593181	0.000545369	0.000452698	0.00265985	0.00627322	0.0429218	0.00778829	0.894889	0.00556858	0.0300465	0.00826101
w	0.000208189	9.35578e-05	3.72984e-05	0.000619671	0.00280811	0.0324689	0.00505103	0.921483	0.00541197	0.030221	0.00159777
á	0.000307455	0.000451092	0.00206044	0.0111471	0.103091	0.352597	0.15247	0.270822	0.0568997	0.00559793	0.0445565
b	0.00531544	0.0131962	0.0714422	0.0569577	0.110969	0.161155	0.125563	0.331047	0.0579555	0.00322027	0.0631795
h	0.00215541	0.00534848	0.0721711	0.0121547	0.0534932	0.13936	0.130543	0.411815	0.106783	0.00358716	0.0625875
i	0.00343443	0.00606138	0.0489119	0.0472408	0.0742558	0.358984	0.135492	0.22393	0.0448106	0.00704614	0.0498325
r	0.00158292	0.00529673	0.0481666	0.0647408	0.129289	0.219983	0.262146	0.138947	0.0763794	0.00503702	0.0484312
i	0.0112202	0.0645305	0.172413	0.130801	0.0772611	0.0783291	0.0824405	0.0890604	0.0164133	0.0136719	0.263859
m	0.00150993	0.00381536	0.0122896	0.0728631	0.122177	0.147207	0.299436	0.0301118	0.287708	0.00472275	0.0181598
í	0.04188	0.0345096	0.0256224	0.0974359	0.0975197	0.0702591	0.137504	0.0201734	0.121948	0.030545	0.322603
s	0.00354076	0.00979842	0.0193377	0.0378471	0.0464498	0.111303	0.535478	0.0136425	0.122651	0.0696	0.030351
i	0.00247872	0.0220915	0.0288557	0.171479	0.230955	0.11683	0.151995	0.00298708	0.139021	0.0961112	0.0371964
o	0.00769445	0.0364042	0.0345786	0.197548	0.140952	0.0486559	0.174559	0.00269288	0.240851	0.0368468	0.0792167
b	0.00274157	0.000619973	0.000435698	0.00698869	0.0260141	0.0298787	0.062796	0.0355672	0.182496	0.365308	0.287154
o	0.00215019	0.00105705	0.00124595	0.00601861	0.0275211	0.147518	0.253053	0.184795	0.123296	0.159181	0.0941644
s	0.000612419	0.000384047	0.000671576	0.00805844	0.0342841	0.131	0.188635	0.0623914	0.178076	0.296684	0.0992037
ó	0.00331887	0.00170529	0.000264827	0.0131291	0.0193849	0.0264861	0.0666011	0.14345	0.0657789	0.437467	0.222414
á	0.00203315	0.00526038	0.00875336	0.0799205	0.100203	0.0853609	0.236577	0.00363405	0.318179	0.0117535	0.148325
d	0.00528518	0.00250589	0.00241002	0.0115124	0.037439	0.0347073	0.0344389	0.00777434	0.182438	0.030542	0.650947
z	0.00610133	0.00556218	0.000727046	0.0132956	0.02646	0.0168812	0.0186673	0.000914678	0.0625172	0.0223901	0.826483
e	0.0144594	0.0193677	0.00548482	0.044757	0.05323	0.0127052	0.0760433	0.00648456	0.161249	0.157888	0.448331
n	0.00523169	0.0164936	0.00788066	0.0730371	0.0786228	0.0528945	0.13322	0.00312401	0.254665	0.0163807	0.35845
ω	0.000869862	0.00355298	0.0041426	0.0265083	0.0572168	0.0309431	0.0666263	0.000707412	0.0473597	0.0218958	0.740177
</S>	0.000319866	0.000649105	0.000662064	0.00733345	0.010781	0.00681209	0.0252836	0.00128363	0.0505143	0.0126215	0.883739
