 	après	avoir	abattu	l'	arbre	la	souche	demeure	plantée	dans	le	champ	</S>
l	0.482405	0.337566	0.068593	0.029854	0.0466508	0.0227855	0.00562709	0.00139484	0.00169252	0.00142087	0.00196502	2.73871e-05	1.87e-05
ó	0.34366	0.36498	0.15881	0.0382382	0.00851026	0.0169644	0.0219554	0.000781395	0.0139878	0.00999918	0.0217506	0.000217512	0.000144475
s	0.153872	0.55833	0.160187	0.0349425	0.00739696	0.0182296	0.0311864	0.00468913	0.0101423	0.00855211	0.00368335	0.00207364	0.00671438
í	0.134844	0.441372	0.0583109	0.0815995	0.014153	0.0367998	0.0422972	0.00455948	0.0533347	0.0553288	0.00988631	0.00433845	0.0631756
a	0.0894558	0.20757	0.222097	0.124872	0.0281418	0.0360137	0.0206233	0.0070257	0.0384052	0.0391702	0.0196929	0.00188778	0.165045
o	0.135763	0.132693	0.17168	0.267272	0.0769359	0.0638307	0.0192596	0.00393978	0.0287788	0.0506763	0.0136854	0.000485001	0.035001
k	0.0215429	0.0841446	0.437136	0.260809	0.0937991	0.0249244	0.0198474	0.032549	0.00329987	0.0164577	0.00115063	0.000102376	0.00423798
w	0.0097285	0.100055	0.305978	0.13967	0.223283	0.0332402	0.027852	0.127913	0.00432783	0.0130693	0.00295006	0.00023956	0.011693
ε	0.0314985	0.0761298	0.291943	0.137235	0.251897	0.0966888	0.0319315	0.0402984	0.014384	0.0146815	0.00553768	0.00043308	0.00734121
r	0.0256566	0.0314182	0.146726	0.292947	0.314485	0.0865712	0.0103396	0.00769477	0.0212222	0.00721859	0.00935482	0.000821422	0.045545
έ	0.065297	0.0516994	0.483735	0.144452	0.0382865	0.0212483	0.0188823	0.0140858	0.048523	0.0158069	0.056056	0.00447844	0.037449
i	0.0276715	0.0138823	0.0624977	0.404933	0.266548	0.172468	0.0163385	0.00180859	0.0131198	0.0071379	0.00816849	0.000464604	0.00496112
b	0.00652942	0.0124571	0.0446121	0.111871	0.375937	0.28673	0.064756	0.0149879	0.0132919	0.0233889	0.012814	0.000959824	0.0316655
v	0.00499717	0.00777985	0.00412791	0.0492964	0.536006	0.230451	0.0450988	0.0844633	0.0121639	0.0140079	0.00283395	0.000259804	0.00851391
