 	ce	bébé	pleurnichard	nous	empêche	de	dormir	la	nuit	</S>
e	0.545877	0.333918	0.0347829	0.0181883	0.0273144	0.024369	0.00739549	0.00652453	0.00143795	0.000192748
k	0.0882234	0.358269	0.0358579	0.0033154	0.123057	0.0595889	0.300324	0.0117764	0.0181897	0.00139791
y	0.0780093	0.151092	0.163378	0.0264043	0.152883	0.0981909	0.236007	0.021001	0.0635387	0.00949551
ε	0.0552117	0.0819663	0.2696	0.0427917	0.214709	0.110742	0.126423	0.0306966	0.0377554	0.0301049
n	0.23257	0.387482	0.124552	0.0481719	0.0523935	0.036291	0.027335	0.0336429	0.0168331	0.0407281
y	0.311497	0.247326	0.0547587	0.0327073	0.0808177	0.0416968	0.0133299	0.0511363	0.035566	0.131164
i	0.147703	0.0374749	0.0678668	0.060874	0.0616306	0.0524647	0.0102615	0.0448272	0.0430569	0.473841
i	0.156884	0.129032	0.430889	0.0851748	0.0474303	0.0650012	0.00791358	0.024681	0.00489539	0.0480989
y	0.215977	0.128817	0.229417	0.0454894	0.0732262	0.0660814	0.0248103	0.0305533	0.00832831	0.1773
é	0.31183	0.074304	0.264888	0.0478826	0.119502	0.0392083	0.00566899	0.00775549	0.00162565	0.127336
é	0.107027	0.0396379	0.25091	0.142701	0.0742627	0.0340426	0.00698364	0.0161176	0.0044793	0.323838
d	0.0192946	0.00932729	0.198637	0.0930096	0.326697	0.203837	0.0465183	0.0270103	0.00266366	0.0730055
i	0.0101919	0.00187438	0.189042	0.0425423	0.442993	0.117424	0.0183151	0.0142407	0.00161714	0.16176
b	0.00834471	0.00198596	0.107276	0.0663446	0.482671	0.223684	0.0402905	0.0329122	0.0063468	0.0301441
í	0.0114184	0.00580753	0.0641134	0.52432	0.16012	0.148835	0.0146468	0.0280845	0.013742	0.0289125
s	0.00861437	0.00744262	0.0651199	0.767561	0.044476	0.0251017	0.00227297	0.00935705	0.00725811	0.0627959
í	0.0386698	0.00414625	0.0664335	0.408533	0.221667	0.0811655	0.0174243	0.0317585	0.0107993	0.119403
f	0.000977202	0.00140807	0.0247697	0.133642	0.427483	0.276978	0.0635391	0.0381073	0.0130575	0.0200382
u	0.00341168	0.00289062	0.0462706	0.119959	0.387955	0.220929	0.0426654	0.030611	0.103101	0.0422069
l	0.002025	0.00036209	0.0175299	0.0138954	0.435475	0.367638	0.0883432	0.040402	0.0202979	0.0140307
ú	0.00819421	0.00164775	0.0337907	0.0754215	0.379826	0.270372	0.061305	0.0829933	0.0288521	0.0575974
l	0.00226005	0.000355878	0.0126446	0.0274679	0.227758	0.378383	0.120463	0.175976	0.0158282	0.0388642
a	0.0174269	0.00201427	0.0235041	0.085786	0.284802	0.233211	0.0483712	0.102666	0.0522284	0.149989
k	0.0032476	0.00242689	0.0144191	0.202919	0.135989	0.158196	0.056936	0.191824	0.127008	0.107035
o	0.000143034	0.00022675	0.00577442	0.0532464	0.0910706	0.0865626	0.234262	0.0815889	0.416501	0.0306239
l	0.00029651	0.000224301	0.00557052	0.00839179	0.058654	0.0633875	0.660046	0.0288508	0.145216	0.029363
i	0.00167664	0.00111009	0.0152187	0.0102547	0.0945129	0.142325	0.202044	0.0952362	0.317629	0.119993
o	0.00562342	0.000976795	0.0123639	0.0243307	0.075937	0.137796	0.045018	0.330588	0.17262	0.194746
p	0.00101745	0.00045699	0.00870084	0.00219738	0.0388285	0.0788046	0.135867	0.292724	0.229918	0.211485
έ	0.000234206	0.0008499	0.0178649	0.00956173	0.0414492	0.0723243	0.0406178	0.153459	0.460953	0.202686
ε	0.00943928	0.00207976	0.0123842	0.153877	0.0883577	0.146072	0.0679002	0.210447	0.199004	0.110439
k	0.00766983	0.000544455	0.00527579	0.0134354	0.0371396	0.0982199	0.0156679	0.335456	0.0970691	0.389522
a	0.00379084	0.000533835	0.00567671	0.0653536	0.0182236	0.030563	0.00811613	0.176457	0.384287	0.306999
á	0.000604323	0.000259981	0.00256737	0.0512676	0.00876427	0.0141675	0.0106151	0.0486312	0.137509	0.725614
</S>	0.00320157	0.00059619	0.00820983	0.0195953	0.0180326	0.0344209	0.0153553	0.105767	0.0320862	0.762735
