 	il	aiguise	son	couteau	</S>
w	0.954774	0.0346914	0.00968747	0.000725203	0.000122123
a	0.843828	0.0284654	0.117501	0.00955808	0.000647447
l	0.684072	0.12676	0.166526	0.00214776	0.0204945
á	0.328773	0.0506626	0.352187	0.0118256	0.256552
a	0.261264	0.0266674	0.271743	0.0770175	0.363308
k	0.0642677	0.850558	0.0298687	0.0200301	0.0352754
a	0.0105438	0.966116	0.0129194	0.00379225	0.00662904
n	0.0143085	0.945943	0.0207201	0.0018109	0.0172179
á	0.0319203	0.880835	0.0273304	0.000878104	0.0590361
i	0.163741	0.307619	0.416751	0.0890188	0.0228703
b	0.0221961	0.266268	0.190191	0.462567	0.0587777
á	0.00157974	0.0194714	0.00484723	0.972107	0.00199441
á	0.000922736	0.00729993	0.0068143	0.973626	0.0113374
l	0.0145785	0.00787637	0.31464	0.138476	0.52443
á	0.0484238	0.0354618	0.440282	0.208694	0.267138
w	0.0239321	0.00971674	0.435086	0.291998	0.239267
a	0.0286927	0.0200974	0.485385	0.296599	0.169225
m	0.00205559	0.00380067	0.417054	0.0699557	0.507134
y	0.0405787	0.0234919	0.746407	0.0101169	0.179405
ώ	0.0181144	0.0199845	0.594478	0.0278235	0.3396
n	0.00270137	0.0530224	0.192371	0.0842311	0.667675
g	0.00651376	0.0581131	0.356594	0.0459328	0.532847
ω	0.00187325	0.0322053	0.145709	0.00491494	0.815298
</S>	0.00559538	0.007357	0.229621	0.00336805	0.754058
