 	ce	manioc	s'	est	déjà	refroidi	</S>
e	0.392297	0.475766	0.101144	0.0240739	0.00300653	0.00281304	0.000899044
k	0.0119319	0.960474	0.0107812	0.00175263	0.000977656	0.0135519	0.000530275
ώ	0.0024962	0.99253	0.00290023	8.14986e-05	1.56338e-05	0.00125419	0.000722535
ώ	0.013771	0.948017	0.0337999	0.000616368	7.77598e-05	0.00055298	0.00316514
y	0.366084	0.120285	0.44088	0.0607982	0.00412439	0.000271727	0.00755674
é	0.322548	0.0108231	0.451417	0.145045	0.0186788	0.00132835	0.0501588
é	0.54062	0.00309257	0.304	0.080338	0.040917	0.00433122	0.026701
m	0.0272228	0.00875373	0.0922957	0.308562	0.44686	0.0564147	0.0598905
i	0.0124093	0.00119497	0.0200818	0.151748	0.748602	0.0134304	0.052533
s	0.0038887	0.000893117	0.00595126	0.0873349	0.687352	0.0984661	0.116114
á	0.00175198	0.000216841	0.00456453	0.105051	0.653847	0.126325	0.108244
á	0.00838669	0.000565522	0.0708446	0.245568	0.360633	0.0719178	0.242085
o	0.0130453	0.00264259	0.0388863	0.103984	0.258146	0.436897	0.146399
s	0.00220479	0.000595127	0.000820268	0.00222439	0.0405702	0.908658	0.044927
í	0.00653094	0.000128298	0.000812714	0.00495848	0.10954	0.810477	0.0675523
n	0.00313475	9.51621e-05	0.00175781	0.00524696	0.103646	0.405243	0.480877
g	0.0041038	0.000663235	0.00723124	0.013945	0.0497272	0.59982	0.32451
a	0.00665118	0.0016072	0.00420282	0.00376236	0.00385858	0.314194	0.665724
</S>	0.0246791	0.00128771	0.0117887	0.00818002	0.0134341	0.299469	0.641162
