 	nzila	a	transporté	les	noix	de	palme	dans	un	panier	vétuste	</S>
n	0.64564	0.293001	0.0333493	0.0151171	0.00307034	0.00235477	0.000844718	0.00288992	0.00159326	0.00201172	8.3166e-05	4.49158e-05
z	0.588701	0.40588	0.000481399	0.00308135	6.74211e-05	0.000290577	0.00011823	0.000470595	0.000379567	0.00033228	0.000152699	4.45658e-05
i	0.196349	0.726008	0.0321613	0.0230598	0.00315297	0.00648648	0.0035255	0.0024426	0.00326753	0.00162227	0.00128879	0.000635778
í	0.399313	0.53495	0.00945721	0.00985481	0.00250765	0.00350509	0.00876836	0.00282274	0.00258249	0.00126193	0.00125467	0.0237221
l	0.0355775	0.514311	0.300751	0.102212	0.0142967	0.0112204	0.00361522	0.00235819	0.00159267	0.0013246	0.000328781	0.0124119
a	0.0754713	0.375833	0.218979	0.0779016	0.0216124	0.038401	0.0243434	0.0234263	0.0197948	0.0136602	0.00282584	0.107751
á	0.0694673	0.219743	0.223363	0.326666	0.0292626	0.0427224	0.0128793	0.0137308	0.0123405	0.0108631	0.00318109	0.0357813
b	0.0113753	0.0723654	0.516731	0.142987	0.122696	0.0653602	0.0389973	0.00672192	0.00446231	0.00167359	0.00360547	0.013025
é	0.00124253	0.00598441	0.833361	0.0317669	0.0863305	0.0206689	0.014345	0.00187423	0.00159161	0.000881624	0.00075836	0.00119461
r	0.00604172	0.0180349	0.69166	0.0778612	0.0835628	0.049266	0.0371968	0.00786686	0.003445	0.00116926	0.00252191	0.0213732
i	0.0178489	0.0353042	0.211323	0.388033	0.0709155	0.106634	0.0465065	0.0424623	0.0230865	0.017525	0.00636398	0.0339969
m	0.000506255	0.0293752	0.0398168	0.482358	0.105429	0.21578	0.0499169	0.0507309	0.00838354	0.00947972	0.0018647	0.00635839
b	0.000746203	0.00358675	0.0266932	0.118359	0.688886	0.0810588	0.0223591	0.0158424	0.0125468	0.0083726	0.0105207	0.0110291
í	0.000755284	0.00183707	0.00892984	0.106369	0.566457	0.129539	0.0883864	0.0268137	0.037036	0.0191884	0.0105252	0.00416337
a	0.000394819	0.00473717	0.0272037	0.0918185	0.489868	0.174084	0.0889302	0.0371086	0.0285788	0.0382493	0.00497225	0.0140549
s	0.00099919	0.00515952	0.00621221	0.0923758	0.0570525	0.222895	0.206308	0.282785	0.0674977	0.0403623	0.00986728	0.00848585
é	0.00793905	0.0162945	0.00956779	0.0232923	0.00699563	0.0445265	0.092426	0.294924	0.190554	0.061163	0.1178	0.134517
k	0.00340676	0.00335775	0.000775994	0.0199691	0.00224516	0.024807	0.0657045	0.317133	0.257237	0.105705	0.173946	0.0257117
á	0.00574634	0.00241415	0.00314445	0.00539211	0.00361012	0.0511344	0.349504	0.118042	0.200759	0.0245084	0.180878	0.0548667
e	0.000276309	0.00034228	0.00785295	0.00387815	0.00388968	0.0255073	0.106913	0.109118	0.130422	0.0430883	0.279159	0.289552
y	0.00036907	0.00020754	7.98743e-05	0.00174456	0.000273778	0.00992235	0.0209771	0.0848041	0.350326	0.270489	0.136651	0.124155
á	0.00424994	0.00383552	0.00219391	0.0105148	0.00208085	0.0299082	0.0544419	0.121219	0.21861	0.185878	0.126541	0.240527
m	0.00127171	0.00108453	0.000407317	0.00777611	0.000688536	0.00514641	0.00631766	0.051397	0.157927	0.343595	0.32095	0.103439
ú	0.000849924	0.00303954	0.00911474	0.0130454	0.0372003	0.0153489	0.0137216	0.0340304	0.12482	0.130463	0.455212	0.163155
a	0.00103064	0.000374961	0.00799246	0.00554588	0.0150727	0.0200643	0.0272176	0.0589808	0.190683	0.0984111	0.243201	0.331425
</S>	0.000281302	0.000398327	0.000131109	0.00302139	0.00027923	0.0055647	0.00637708	0.0244048	0.104987	0.186483	0.0663918	0.60168
