 	dans	notre	village	il	y	a	un	pressoir	à	huile	</S>
s	0.665958	0.0337496	0.15078	0.0410925	0.049757	0.0218154	0.00953394	0.0170924	0.00732358	0.000646278	0.00225092
á	0.242656	0.0245557	0.529296	0.0548115	0.0421812	0.0307167	0.0245842	0.0189483	0.019785	0.0019316	0.0105332
p	0.155528	0.0109076	0.807392	0.00422592	0.0126374	0.00154221	0.00165746	0.0039719	0.00151014	0.000253129	0.000373695
o	0.00965907	0.00264496	0.961626	0.00802322	0.00309802	0.00118884	0.00133932	0.00225267	0.00100924	0.00294885	0.0062095
o	0.00699733	0.000699957	0.973523	0.00531918	0.00619296	0.00121642	0.00260139	0.00179655	0.000752811	0.000110144	0.000789998
y	0.240414	0.576065	0.0460415	0.0583383	0.0240835	0.0189716	0.0114343	0.00371374	0.00508291	0.00134614	0.0145088
á	0.522548	0.166699	0.0778494	0.0575383	0.0606516	0.0346697	0.0170105	0.00994898	0.0270858	0.00485003	0.0211491
b	0.0233716	0.924726	0.00255319	0.0210036	0.016502	0.00369871	0.00146505	0.0014541	0.00188104	0.000580337	0.00276415
í	0.00785979	0.975059	0.000602941	0.00941774	0.00332752	0.00137785	0.000198747	0.000191993	0.000296985	0.00133153	0.000336227
s	0.00409918	0.991202	0.000135963	0.00229925	0.000634909	0.000194908	5.37689e-05	1.24132e-05	2.39135e-05	0.0010901	0.00025369
í	0.0995142	0.682528	0.00905786	0.101085	0.0434444	0.02949	0.00547959	0.00266022	0.00396946	0.00553509	0.0172367
é	0.022068	0.0455451	0.0392195	0.295847	0.311639	0.152573	0.0469872	0.0136634	0.0286167	0.00893807	0.0349034
d	0.0113972	0.0105179	0.0176091	0.159555	0.219699	0.34826	0.114734	0.0396086	0.0511452	0.00578222	0.0216922
í	0.0324508	0.028138	0.00265281	0.0940208	0.0943986	0.242746	0.202705	0.0370498	0.054373	0.00854281	0.202922
l	0.0218487	0.1377	0.00362026	0.0485494	0.129215	0.159263	0.211858	0.118352	0.0756625	0.0261965	0.0677342
e	0.0243858	0.0596969	0.00233098	0.0627706	0.0778704	0.138934	0.242867	0.153847	0.0650849	0.0120042	0.160208
n	0.0152233	0.124575	0.00512476	0.03904	0.0953535	0.0916319	0.222899	0.270494	0.0555903	0.0302917	0.0497774
y	0.00808957	0.138057	0.00142978	0.0147113	0.0976714	0.0318809	0.101033	0.561647	0.014319	0.00486466	0.0262965
i	0.00350584	0.0448561	0.000382854	0.0109242	0.076192	0.026682	0.0737286	0.741896	0.00628716	0.003098	0.0124472
i	0.000101005	0.000285951	0.000654041	0.00180974	0.0334999	0.00943142	0.0758455	0.860785	0.00742257	0.000525784	0.00963933
y	0.0027993	0.00176049	0.000221377	0.0289109	0.0364053	0.11506	0.32943	0.30735	0.0981062	0.0190587	0.0608974
á	0.102387	0.0496223	0.00204105	0.0583731	0.0681971	0.0712205	0.117811	0.244511	0.140264	0.0476996	0.0978727
m	0.0242528	0.0384433	0.00290016	0.0133645	0.0255559	0.0252405	0.0497697	0.325406	0.3854	0.0895779	0.0200893
b	0.0109053	0.00530485	0.000509017	0.00844454	0.00397271	0.0198434	0.0435668	0.0157342	0.208418	0.229549	0.453752
í	0.00442227	0.000667433	9.49574e-05	0.00419179	0.0037325	0.00918289	0.0459075	0.0407223	0.0773009	0.73329	0.0804879
a	0.00927338	0.00544751	0.000248012	0.0155864	0.00918233	0.0116969	0.0325865	0.0316517	0.0700249	0.598383	0.21592
</S>	0.00313102	0.00306	0.00032746	0.0125486	0.00740774	0.019476	0.0361046	0.103251	0.424179	0.181205	0.20931
