 	je	vais	au	village	</S>
n	0.957242	0.0151624	0.017025	0.00963473	0.000935987
g	0.995659	0.00389517	0.000389259	1.55264e-07	5.60211e-05
á	0.858288	0.140894	0.000760771	7.89026e-06	4.92426e-05
l	0.405686	0.358474	0.170506	0.0107109	0.0546234
í	0.643127	0.0996884	0.0517513	4.33867e-05	0.20539
i	0.177974	0.427283	0.300552	0.000339013	0.0938522
d	0.00587632	0.944411	0.0310885	0.0117785	0.00684545
z	0.00221927	0.966216	0.018277	0.00921493	0.00407257
w	0.0372899	0.952952	0.00298571	0.00176727	0.00500532
á	0.0376441	0.235025	0.210841	0.00136213	0.515127
p	0.0178793	0.0676226	0.493683	0.0928802	0.327935
o	0.001695	0.00221447	0.00710085	0.981044	0.00794585
o	0.000109861	0.000611929	0.0158204	0.976834	0.00662431
</S>	0.000160514	0.00194174	0.136441	0.0466617	0.814795
