 	nous	sommes	sur	le	point	de	partir	</S>
b	0.459495	0.282537	0.10645	0.102206	0.00977694	0.0364016	0.000583804	0.00254975
í	0.76805	0.0329177	0.0754764	0.0898598	0.016613	0.0136532	0.00238557	0.00104468
s	0.878035	0.0978227	0.0108147	0.00905678	0.00201071	0.00037275	0.00103468	0.000852414
í	0.850728	0.0532995	0.0422244	0.0265156	0.00381166	0.00260278	0.00871224	0.0121062
l	0.0873293	0.293031	0.285982	0.102879	0.0285221	0.0094218	0.0179557	0.174879
e	0.0120629	0.127717	0.148007	0.0553623	0.0368816	0.0313981	0.0127169	0.575855
b	0.00283278	0.434332	0.362124	0.101506	0.0628153	0.00370694	0.0102066	0.0224766
h	0.103481	0.412564	0.188704	0.124458	0.122663	0.0252526	0.0141789	0.00869832
i	0.00732456	0.68626	0.141477	0.0931875	0.0538288	0.00941508	0.00100721	0.00749983
l	0.159141	0.0401779	0.141058	0.293049	0.15683	0.111189	0.0193391	0.0792154
é	0.0109973	0.0414837	0.162031	0.185421	0.279617	0.152229	0.0338239	0.134397
e	0.00852324	0.0117429	0.0463244	0.0618291	0.140931	0.413866	0.146794	0.169989
d	0.000334447	0.00503767	0.00493878	0.0070929	0.0270119	0.0332547	0.87387	0.0484595
z	8.30651e-06	0.00444902	0.0020666	0.00117113	0.00182983	0.0115814	0.93457	0.0443235
w	0.000811668	0.000878142	0.00135144	0.000833747	0.000803144	0.00243397	0.968084	0.024804
a	0.000729643	0.00117314	0.00217058	0.00446551	0.00125239	0.00762813	0.943511	0.03907
</S>	0.000270143	0.0011725	0.00188068	0.00319102	0.000566653	0.0684354	0.262495	0.661989
