 	la	femme	a	tenu	son	mari	à	la	hanche	par	tendresse	</S>
m	0.908852	0.0821448	0.000734844	0.00370938	0.00376867	0.000365055	0.000231788	0.000106267	2.65256e-05	4.75534e-05	6.74977e-06	6.75422e-06
w	0.0165848	0.98059	0.00132268	6.41648e-05	0.000187088	0.000547979	0.000138625	0.000219246	0.000229714	3.8545e-05	1.11714e-05	6.58706e-05
á	0.18245	0.812557	0.00139959	0.000714246	0.00146815	0.000661107	0.000174368	0.000247049	0.000224667	3.39325e-05	6.01443e-05	9.38454e-06
s	0.844056	0.121482	0.0155566	0.00347244	0.00674377	0.0031798	0.00167455	0.00154249	0.000241218	0.000163341	3.8433e-05	0.00184952
í	0.430707	0.226162	0.0985	0.019218	0.0243434	0.0222143	0.0469034	0.0269508	0.0445323	0.00680352	0.00271419	0.0509513
á	0.200065	0.0192403	0.405067	0.0997184	0.088949	0.00663641	0.04148	0.024382	0.00766796	0.0348093	0.00432878	0.0676556
p	0.0169093	0.00338299	0.352181	0.536553	0.0280776	0.0210917	0.0161583	0.0109108	0.00864488	0.00206262	0.000721272	0.0033067
i	0.00835978	0.00253648	0.136116	0.777765	0.0283476	0.0116837	0.00810998	0.00977913	0.0104134	0.00191214	0.00125039	0.0037265
i	0.0474834	0.000657995	0.146853	0.687746	0.0560811	0.0263596	0.0108856	0.00942729	0.00834382	0.00186058	0.000515375	0.00378621
o	0.0106373	0.00111452	0.0750608	0.0900108	0.69463	0.0960827	0.0198429	0.004423	0.00137027	0.00286257	0.000699006	0.00326601
l	0.00528291	0.00165628	0.0303143	0.116437	0.0878876	0.633416	0.0526405	0.0256946	0.0323017	0.0018003	0.00636996	0.00619859
ó	0.00155124	0.000109199	0.0106071	0.0600222	0.0155519	0.816278	0.0202709	0.0152696	0.0371499	0.0016503	0.0122254	0.00931376
m	0.00201265	5.84537e-05	0.0070031	0.0517178	0.0201662	0.869883	0.0165546	0.00804011	0.00901144	0.00214116	0.00566454	0.00774673
i	0.00954128	0.000118155	0.0131305	0.0527792	0.0812846	0.433755	0.235637	0.0827075	0.035055	0.0149514	0.0062357	0.0348044
m	0.00817252	0.000173561	0.0124125	0.0292818	0.255566	0.0417682	0.427876	0.138039	0.0219694	0.0330438	0.00424565	0.0274513
í	0.0203308	0.00719347	0.00946852	0.000823123	0.100123	0.128755	0.227888	0.233036	0.0275096	0.0835111	0.0208244	0.140536
n	0.00393529	0.000191935	0.00453236	0.00366983	0.0274966	0.0403237	0.251993	0.343475	0.183605	0.0277273	0.0926842	0.020366
y	0.00168461	0.000126439	0.000682492	0.00059679	0.00865502	0.0350499	0.203048	0.156063	0.488005	0.0185438	0.062531	0.0250148
u	0.00155264	0.000234881	0.000438009	0.000728072	0.000958539	0.00529444	0.0509358	0.0827821	0.80357	0.0110697	0.0344992	0.00793683
n	0.000674863	0.000102989	0.000114867	0.000238157	0.00197234	0.00847675	0.063548	0.0584734	0.703361	0.0192195	0.119811	0.0240073
g	0.000772549	3.05439e-05	0.00223865	0.00953907	0.00683133	0.00790223	0.142009	0.255825	0.38654	0.056699	0.0699554	0.0616571
u	0.00132441	2.0842e-05	0.00579582	0.0113568	0.031677	0.050634	0.186429	0.291288	0.236308	0.10362	0.0463563	0.0351906
m	0.00129103	1.01602e-05	0.00102159	0.000803696	0.00409127	0.00090659	0.112243	0.202755	0.196106	0.307208	0.0887029	0.0848607
ó	0.00048161	0.000113797	0.00605277	0.000918142	0.0105474	0.000904439	0.0609059	0.11046	0.0802316	0.42232	0.078758	0.228306
d	0.000756149	3.48534e-05	0.00113362	0.00179562	0.00529177	0.00309099	0.0178148	0.0252524	0.0725422	0.156171	0.667571	0.0485455
i	0.000115189	6.35227e-05	5.70514e-05	2.4382e-05	0.000178472	0.000332195	0.0017133	0.00368557	0.172054	0.0194901	0.780939	0.0213467
n	5.40984e-05	7.73466e-06	0.000188693	0.000283148	0.000458046	0.00062311	0.0103643	0.0179533	0.162719	0.0684474	0.661609	0.0772927
g	2.42756e-05	4.82818e-06	6.0656e-05	0.000138966	0.000114251	0.000211234	0.00364117	0.0136944	0.195308	0.0827876	0.505378	0.198637
i	3.23924e-05	9.91017e-06	7.57232e-05	0.000116941	0.000155595	0.000668634	0.00472501	0.0147688	0.168437	0.145505	0.374891	0.290615
</S>	0.000322535	1.137e-05	0.00100994	0.000680945	0.00145501	0.000906099	0.0167114	0.0219936	0.0438567	0.18011	0.208439	0.524504
