 	la	faim	l'	a	beaucoup	affaibli	</S>
n	0.495072	0.394041	0.0962724	0.00855135	0.00225792	0.00214678	0.00165915
z	0.689155	0.25611	0.0312774	0.0106336	0.00507841	0.0047879	0.00295779
a	0.0598264	0.921741	0.0094023	0.00358518	0.00122014	0.00109637	0.00312891
a	0.0936918	0.809069	0.0467133	0.00699891	0.00831828	0.00458778	0.0306205
é	0.0853113	0.0878751	0.553464	0.0854515	0.0221011	0.00318247	0.162614
m	0.0408059	0.0511642	0.343828	0.255918	0.246913	0.0133282	0.0480417
i	0.0439356	0.00626013	0.146093	0.291735	0.312346	0.0182731	0.181357
k	0.0139331	0.0341597	0.0548278	0.0844883	0.509781	0.174628	0.128182
ώ	0.00239765	0.0284853	0.0197121	0.0112927	0.102397	0.643867	0.191848
b	0.00212134	0.0415698	0.0660593	0.0111287	0.102184	0.709135	0.0678013
h	0.0620665	0.0615109	0.0745242	0.0498419	0.0823171	0.208247	0.461492
ώ	0.0165568	0.0271242	0.0683043	0.00960461	0.0171703	0.667797	0.193443
s	0.0045405	0.00178739	0.0172522	0.0158303	0.0296373	0.605559	0.325394
ώ	0.0103353	0.00786102	0.0181835	0.0538667	0.310363	0.162849	0.436542
w	0.0113516	0.00512899	0.0438675	0.0979507	0.214119	0.147188	0.480394
a	0.0213112	0.0189192	0.216692	0.365363	0.286058	0.020286	0.0713704
o	0.00633216	0.00201849	0.0332297	0.0569622	0.167253	0.102695	0.631509
y	0.00419313	0.00435162	0.00965055	0.0152233	0.558239	0.246454	0.161888
í	0.00222027	0.00629423	0.00905774	0.0244328	0.665771	0.0944547	0.197769
í	0.00201911	0.000671872	0.00759327	0.0443449	0.227205	0.0426443	0.675522
</S>	0.00538352	0.00079772	0.027814	0.076773	0.188293	0.0227266	0.678212
