 	les	enfants	s'	amusent	dans	la	parcelle	</S>
b	0.709416	0.275611	0.00864828	0.00503469	0.000359701	0.000759988	0.000139302	3.06533e-05
á	0.22918	0.737795	0.0257333	0.00350429	0.00159736	0.00194977	0.000138056	0.00010235
n	0.00511108	0.991567	0.00267847	0.000363543	0.000125157	9.64311e-05	2.19068e-05	3.66394e-05
a	0.409713	0.542722	0.022463	0.00423884	0.00312815	0.00252076	0.0020878	0.0131261
b	0.321122	0.0486916	0.233649	0.0673103	0.147079	0.0570985	0.0137825	0.111266
á	0.0680233	0.0533048	0.327224	0.0707286	0.1597	0.129874	0.0133157	0.17783
a	0.106754	0.142768	0.411963	0.25049	0.0498266	0.0176867	0.00309623	0.017416
s	0.00612033	0.00550221	0.0720482	0.619899	0.197322	0.0441688	0.0107944	0.0441451
a	0.00851853	0.00050965	0.0237423	0.781686	0.11322	0.0270621	0.00649546	0.0387663
n	0.0846208	0.00720758	0.19658	0.332138	0.247226	0.0318983	0.00620553	0.0941235
á	0.0418041	0.00165717	0.287464	0.487015	0.11722	0.027108	0.00631565	0.0314159
á	0.0138554	0.00276952	0.291237	0.114551	0.304958	0.213823	0.0311965	0.0276103
s	0.00362312	0.000984329	0.0292959	0.156372	0.419113	0.336012	0.0376216	0.0169782
í	0.00104994	2.89812e-05	0.0210546	0.196116	0.350453	0.295422	0.0526176	0.0832576
b	0.00378633	0.000444472	0.0744099	0.047542	0.194834	0.315716	0.178136	0.185131
h	0.0238443	0.0542317	0.0495628	0.0484749	0.167947	0.409083	0.195443	0.0514146
á	0.0193273	0.00554344	0.0358833	0.00426888	0.197984	0.318216	0.163483	0.255294
n	0.00498088	0.000273213	0.0226414	0.00402081	0.203789	0.336673	0.18105	0.246571
g	0.0111953	0.00442794	0.0220307	0.0405668	0.149778	0.232143	0.385559	0.154299
á	0.00678338	0.00772557	0.0178483	0.0954395	0.0654175	0.107623	0.557734	0.141429
</S>	0.00307992	0.000128421	0.00748723	0.000898443	0.0977172	0.216788	0.27332	0.400581
