 	j'	aime	manger	des	courges	</S>
n	0.849788	0.119986	0.00163907	0.0176934	0.00794507	0.00294923
g	0.989627	0.0063948	0.00015622	0.00221786	0.00155212	5.21172e-05
á	0.935263	0.0528076	0.00303889	0.00722938	0.000980564	0.000680223
i	0.421196	0.322616	0.0132501	0.0464646	0.0145398	0.181933
d	0.0275552	0.608756	0.136074	0.0912461	0.0236845	0.112685
í	0.0960816	0.537864	0.130474	0.0296017	0.00282582	0.203152
l	0.0586097	0.284101	0.324955	0.125301	0.0221533	0.18488
a	0.0998863	0.38952	0.106907	0.0392113	0.00549812	0.358977
p	0.0231624	0.496078	0.377309	0.0131718	0.0124175	0.0778617
ó	0.00103963	0.341637	0.304883	0.0119995	0.274267	0.0661742
s	0.00053269	0.578364	0.365891	0.0199141	0.0184831	0.0168156
á	0.000903195	0.182938	0.422792	0.0700631	0.127037	0.196266
o	0.186151	0.196931	0.275931	0.144581	0.0549507	0.141455
d	0.00215672	0.0204145	0.888782	0.0380418	0.0342025	0.0164028
z	0.000308329	0.00502824	0.861658	0.022042	0.0152582	0.0957052
á	0.00133829	0.038982	0.895839	0.0278506	0.0118002	0.0241898
á	0.00287634	0.0278766	0.231157	0.163268	0.0503985	0.524424
o	0.0264743	0.0161005	0.0739944	0.569557	0.0598715	0.254002
t	0.00019785	0.00855404	0.136043	0.0617968	0.763666	0.0297417
y	6.04783e-05	0.0150695	0.075226	0.0718059	0.695007	0.142831
έ	0.000309231	0.00810644	0.0298428	0.102732	0.757499	0.101511
έ	0.000175475	0.00355479	0.0301378	0.403126	0.326416	0.23659
r	0.000250084	0.00438917	0.00859813	0.314749	0.302038	0.369976
έ	0.0106087	0.00772824	0.00577168	0.526454	0.0979864	0.351451
</S>	0.00122615	0.0044776	0.00283128	0.351713	0.0810827	0.55867
