 	voilà	le	crâne	du	gorille	</S>
t	0.875908	0.117477	0.00170324	0.00345427	0.00139446	6.33845e-05
a	0.906893	0.0719521	0.00559927	0.00590743	0.00809544	0.00155307
á	0.198045	0.747055	0.0369433	0.00657289	0.000638295	0.0107457
e	0.0402096	0.578317	0.204006	0.0502741	0.00282075	0.124373
s	0.0054096	0.2184	0.706448	0.0504297	0.00668495	0.0126269
á	0.000412696	0.0444911	0.904451	0.0451966	0.000467513	0.00498092
n	0.00518527	0.016195	0.837609	0.0486452	0.00144589	0.0909192
g	0.0302716	0.0993521	0.61143	0.229409	0.00531136	0.024226
á	0.121322	0.151564	0.158683	0.274771	0.0122278	0.281432
y	0.0294766	0.0556019	0.266527	0.603438	0.0232601	0.0216965
í	0.0106886	0.049026	0.669749	0.222236	0.00296708	0.0453334
b	0.0132938	0.0189678	0.330331	0.478987	0.0803077	0.0781123
o	0.00309004	0.0237999	0.0533955	0.0782618	0.829158	0.0122952
ó	0.000500446	0.0107715	0.0682492	0.0256389	0.855052	0.0397877
l	0.00227973	0.0117918	0.0648323	0.415421	0.193348	0.312327
é	0.0015514	0.012953	0.0879439	0.182123	0.0330858	0.682343
b	0.00474453	0.00736442	0.0714325	0.324573	0.235669	0.356217
ó	0.0125592	0.0411213	0.0812144	0.592819	0.219797	0.0524888
b	0.00329695	0.00607493	0.0724273	0.223146	0.351821	0.343234
h	0.00110391	0.00323882	0.0161341	0.0698259	0.174574	0.735124
ó	0.00133826	0.00361316	0.0273129	0.0691246	0.668447	0.230164
</S>	0.00120342	0.00727817	0.0197241	0.205027	0.0791524	0.687615
