 	le	sculpteur	taille	le	bois	de	fer	</S>
o	0.878414	0.105741	0.00906204	0.00194175	0.00271652	0.00206784	3.18575e-05	2.52013e-05
k	0.0732093	0.901896	0.0112716	0.0019201	0.00346906	0.00200812	0.00271052	0.00351516
a	0.00267201	0.990761	0.00135938	0.000436522	0.000667271	0.000498298	0.00234321	0.00126273
m	0.00763705	0.964461	0.0165314	0.00297974	0.00416752	0.000971561	0.00169051	0.00156079
b	0.291183	0.62942	0.046511	0.00932765	0.0113229	0.00288414	0.00226413	0.00708787
a	0.223268	0.695139	0.0360275	0.0142483	0.0160712	0.00116126	0.000911916	0.0131727
l	0.149238	0.00873557	0.758646	0.0603886	0.00850223	0.00797491	0.000199986	0.00631444
á	0.334509	0.00132781	0.324346	0.194845	0.0279128	0.0511276	0.00687667	0.0590549
a	0.507637	0.00319255	0.164684	0.21597	0.0701637	0.023868	0.00639726	0.00808688
p	0.0342775	0.0235335	0.317277	0.378902	0.221656	0.00992368	0.00756046	0.0068697
á	0.00297717	0.0305498	0.235617	0.326416	0.350517	0.0142906	0.00598813	0.0336444
á	0.00803947	0.0169426	0.215742	0.356613	0.313542	0.0228101	0.0126066	0.053704
e	0.0101297	0.00129511	0.0323702	0.270807	0.204625	0.381638	0.072134	0.0270017
n	0.00601005	0.00283429	0.00987389	0.0687767	0.3324	0.161864	0.365203	0.053039
g	0.0163419	0.0007185	0.0116538	0.091447	0.187556	0.236242	0.332394	0.123647
o	0.00343139	0.000422057	0.00603576	0.0422132	0.10088	0.105774	0.667697	0.0735466
n	0.000235053	0.000142288	0.00255657	0.0216345	0.087982	0.0211592	0.685536	0.180754
d	0.00526921	0.00204922	0.00840182	0.021707	0.0885154	0.0943232	0.458469	0.321265
ó	0.00590419	0.00310843	0.00253257	0.0124506	0.102595	0.0382112	0.418871	0.416327
</S>	0.0116769	0.00114582	0.0596097	0.0942201	0.144103	0.227696	0.131614	0.329934
