 	il	a	fait	bouillir	de	l'	eau	</S>
w	0.944771	0.0338478	0.00722995	0.00422079	0.00318938	0.00609724	0.000439111	0.00020483
a	0.901299	0.0341465	0.00567361	0.000903511	0.0165025	0.0325082	0.00850855	0.000457934
a	0.154375	0.598846	0.166171	0.0246589	0.0137001	0.0158584	0.00744902	0.0189412
m	0.0476718	0.375926	0.417163	0.050354	0.0269686	0.0133126	0.00422845	0.0643752
i	0.0137219	0.351979	0.341285	0.072712	0.0482296	0.0199242	0.0595345	0.0926143
t	0.00584305	0.05186	0.269271	0.552707	0.0184625	0.00389517	0.00738461	0.0905776
ω	0.000234747	0.0036036	0.0488028	0.931166	0.00468885	0.000430788	0.00122094	0.00985227
k	0.000644612	0.0153573	0.0739715	0.890669	0.0125748	0.00207997	0.000244854	0.00445778
í	0.0237846	0.0713777	0.218539	0.461758	0.135138	0.0288415	0.00533325	0.0552273
s	0.0384563	0.059694	0.0715873	0.244387	0.40404	0.0884807	0.019118	0.0742366
ώ	0.00337977	0.00627556	0.0360985	0.201692	0.558854	0.149152	0.0191202	0.0254279
e	0.00668715	0.0208431	0.023961	0.0189368	0.316011	0.357249	0.184722	0.0715904
k	0.00122466	0.00294396	0.0165815	0.296349	0.290437	0.0920151	0.255315	0.0451334
ó	0.000562171	0.000766176	0.00802029	0.581033	0.238958	0.0247809	0.110911	0.0349676
r	0.000103427	0.000695437	0.00956557	0.836998	0.0895123	0.00642607	0.0158064	0.0408923
ó	0.00122981	0.00216309	0.019145	0.741882	0.116149	0.0138917	0.0166522	0.0888875
</S>	0.0316135	0.0647763	0.0995669	0.0204544	0.272846	0.167647	0.111027	0.232069
