 	avance	n'	aie	pas	peur	</S>
d	0.765567	0.222674	0.000146025	0.00763412	0.00365594	0.00032241
z	0.964054	0.0284554	0.000233669	0.00259007	0.000602272	0.00406457
w	0.936474	0.0458505	0.0113827	0.000948661	0.000524275	0.00481991
a	0.989308	0.00746032	0.00035657	0.000469846	0.000499615	0.0019057
á	0.447064	0.0690628	0.0126474	0.0105516	0.00155783	0.459117
l	0.17419	0.548643	0.148053	0.0240597	0.00224365	0.10281
a	0.055126	0.321871	0.0293486	0.0844002	0.00722951	0.502025
b	0.332862	0.40965	0.0623335	0.0455489	0.0534128	0.096192
o	0.508551	0.24528	0.0122302	0.0229916	0.203425	0.00752184
s	0.236574	0.381878	0.178994	0.0674775	0.0210666	0.114011
ó	0.680767	0.119814	0.0762548	0.0528124	0.0155332	0.0548183
o	0.0226801	0.187459	0.456416	0.160437	0.0162711	0.156737
d	0.00369073	0.00791454	0.909711	0.0511142	0.00317527	0.0243941
z	0.00521268	0.00190873	0.898026	0.0252615	0.000349868	0.0692417
á	0.0463666	0.0155625	0.883141	0.0179763	0.000293052	0.036661
l	0.00199297	0.0146157	0.120204	0.200406	0.0971727	0.565609
a	0.00387744	0.0196957	0.054815	0.231205	0.149388	0.54102
b	0.00701864	0.0069696	0.0448847	0.134009	0.53863	0.268488
ώ	0.0444105	0.0284828	0.0187539	0.0824187	0.787038	0.0388958
m	0.00032277	0.000394545	0.00237075	0.0350057	0.92673	0.0351764
ώ	0.0384511	0.00528594	0.00178128	0.199789	0.366575	0.388118
k	0.00607796	0.00534773	0.0188633	0.512017	0.0938888	0.363805
a	0.0327406	0.0559342	0.0174772	0.426801	0.228735	0.238311
á	0.00160604	0.00129156	0.00506471	0.0434189	0.251689	0.696929
</S>	0.00304845	0.0128134	0.0468215	0.128833	0.0513649	0.757119
