 	cette	parcelle-ci	est	la	mienne	</S>
e	0.572519	0.328328	0.0595825	0.0349237	0.00181198	0.00283426
f	0.00695104	0.976969	0.0115154	0.00179166	0.000399639	0.00237367
u	0.0108745	0.916609	0.0582837	0.00502666	0.00366928	0.00553674
n	0.0232568	0.947668	0.0216805	0.00274445	0.000190169	0.0044602
d	0.267847	0.299646	0.0884093	0.0566286	0.00380117	0.283668
u	0.753072	0.163442	0.0159265	0.0188179	0.0024506	0.0462905
y	0.287758	0.193817	0.450565	0.0327667	0.000692468	0.034402
é	0.605474	0.0616177	0.155398	0.0748893	0.0305079	0.072113
y	0.387686	0.0247677	0.212229	0.159172	0.068336	0.147809
á	0.143658	0.014852	0.0831285	0.319842	0.403461	0.0350589
n	0.0948682	0.00209124	0.0175324	0.400025	0.443604	0.0418791
a	0.00423886	0.000460806	0.000978076	0.0459881	0.937635	0.0106997
á	0.0334096	0.00648385	0.318232	0.10685	0.0930011	0.442024
</S>	0.00508516	0.0101692	0.0766317	0.124147	0.0330175	0.75095
