 	je	ne	me	sens	pas	bien	</S>
n	0.807442	0.0599758	0.0238757	0.0560277	0.0345313	0.0144095	0.00373857
g	0.98969	0.00216641	0.00703976	0.000499725	0.000445021	9.88156e-05	6.03511e-05
á	0.971058	0.0175543	0.00877226	0.00185293	0.000214895	0.000508349	3.95034e-05
n	0.0732109	0.122947	0.460395	0.0877708	0.0349697	0.0315179	0.189188
d	0.194612	0.0661865	0.352566	0.0133597	0.00838168	0.00273227	0.362161
z	0.136709	0.11535	0.471812	0.209196	0.00568063	0.00383858	0.0574137
ó	0.025231	0.0776518	0.383051	0.46625	0.00659484	0.00324182	0.03798
r	0.0427594	0.027498	0.473984	0.375924	0.0214155	0.0232743	0.0351447
o	0.00681362	0.0148575	0.0187421	0.938745	0.00660439	0.00178284	0.0124545
b	0.00563649	0.146855	0.0863102	0.524691	0.159064	0.0124288	0.065014
ó	0.0368945	0.0684014	0.0432774	0.067453	0.0552544	0.374963	0.353757
y	0.0385925	0.157353	0.325453	0.140999	0.162811	0.0615584	0.113233
é	0.00337293	0.256293	0.347942	0.152968	0.0801539	0.0579543	0.101316
e	0.0103071	0.189697	0.252818	0.0863753	0.201371	0.112152	0.14728
y	0.000183956	0.0666139	0.0477782	0.014301	0.0559801	0.0604807	0.754662
u	0.000621459	0.377043	0.110027	0.300192	0.0330538	0.00695511	0.172107
b	0.0103069	0.136645	0.112431	0.0334485	0.101815	0.0229143	0.582439
h	0.00365984	0.0697066	0.0830161	0.0874485	0.18129	0.275878	0.299001
a	0.00205354	0.0190737	0.0500029	0.253525	0.120941	0.373118	0.181286
a	0.00011503	0.00357627	0.0194256	0.0041475	0.196571	0.249843	0.526321
</S>	0.000383465	0.0270877	0.0321388	0.0145475	0.12128	0.213671	0.590891
