 	j'	ai	obtenu	le	pardon	de	mes	péchés	auprès	de	dieu	</S>
n	0.959707	0.0382504	0.000174397	0.000604959	5.80478e-05	0.000302255	0.000454667	7.55905e-05	7.96719e-05	0.000236806	5.15331e-05	4.36635e-06
g	0.939927	0.0566449	0.000351383	0.00159351	1.8868e-05	0.000230331	0.000439844	8.99689e-05	1.79989e-05	0.000125287	0.000555945	4.88349e-06
á	0.871497	0.114986	0.00222811	0.00468616	0.000695351	0.000298485	0.00203433	0.000428845	1.73777e-05	7.38059e-05	0.00303755	1.71625e-05
í	0.0789438	0.39517	0.0203877	0.0481204	0.0237862	0.00890061	0.00945801	0.0134624	0.0126559	0.0249343	0.00364788	0.360533
d	0.00496876	0.150054	0.823546	0.0126518	0.00511726	0.000877417	0.000284056	0.000374588	0.000377489	0.000396866	0.00010589	0.00124625
i	0.00229727	0.0654411	0.912924	0.00994071	0.003754	0.00101161	0.000311174	0.00107468	0.00010307	0.000268213	0.000153943	0.00272052
i	0.00164842	0.023274	0.712074	0.214281	0.0189475	0.010188	0.00151481	0.00307122	0.00066903	0.00260754	0.000916838	0.0108072
o	0.00149821	0.0162989	0.063678	0.740269	0.10497	0.0305438	0.00663986	0.0108541	0.00563097	0.00451501	0.0025751	0.0125273
l	0.000103447	0.00270959	0.0380047	0.350243	0.561769	0.0122498	0.00433062	0.0107914	0.00122357	0.00183628	0.00359665	0.0131427
í	1.97463e-05	0.00506657	0.073384	0.202342	0.699237	0.00404353	0.00132847	0.00275655	0.000214205	0.000543605	0.00438306	0.00668101
m	0.000697819	0.0147897	0.137484	0.156278	0.508026	0.0308403	0.0222687	0.0245542	0.00259817	0.0114432	0.0156493	0.0753706
b	0.00064381	0.00171067	0.00161026	0.183931	0.414187	0.17712	0.0324882	0.124903	0.00486706	0.0121713	0.00760677	0.0387616
í	0.000431741	0.00239977	0.00266453	0.107598	0.214884	0.22454	0.0760889	0.0845387	0.0102652	0.0204938	0.0214786	0.234617
s	0.00192436	0.00249476	0.00051949	0.0727591	0.139627	0.425392	0.0665703	0.0856483	0.0707186	0.0234824	0.00607108	0.104793
í	0.000336007	0.000540599	0.00613379	0.0319249	0.553351	0.163219	0.0884278	0.0173978	0.0111679	0.0220651	0.0230058	0.0824297
m	0.00262511	0.00120885	0.000246114	0.0139471	0.0593857	0.29727	0.360394	0.145645	0.0137001	0.0155115	0.0367132	0.0533527
á	0.000139128	0.000142513	3.62563e-06	0.00329563	0.0328603	0.164639	0.0916006	0.640272	0.00354861	0.0165309	0.0076083	0.0393596
s	0.000481298	0.00332206	0.000445566	0.013535	0.0583408	0.216635	0.344013	0.262592	0.0189589	0.0186128	0.0361453	0.026918
ú	0.00179988	0.00190649	0.0023962	0.0205802	0.252479	0.225819	0.275311	0.048635	0.00385827	0.0109507	0.107752	0.0485114
m	0.0010486	0.00042351	0.000189484	0.0282844	0.20378	0.353591	0.189228	0.132534	0.00244846	0.00628532	0.0290456	0.05314
u	0.00242907	0.000682901	2.58094e-05	0.0186799	0.0167796	0.421454	0.154683	0.0938007	0.0332575	0.0525693	0.00999302	0.195644
m	3.05536e-05	0.00040027	0.000109462	0.0259156	0.0249566	0.359112	0.16189	0.198255	0.0493872	0.0201248	0.00853987	0.151278
á	6.83267e-05	0.000194573	1.26883e-05	0.00403218	0.0074233	0.0823331	0.104528	0.410081	0.0266399	0.103075	0.034127	0.227484
n	0.000136427	0.00171576	0.000232965	0.00925357	0.010804	0.0365143	0.209426	0.290191	0.050397	0.0580113	0.2843	0.049018
g	0.00486854	0.000247198	1.32673e-05	0.00180909	0.00189291	0.020562	0.62198	0.136011	0.00360592	0.00865596	0.182862	0.0174923
á	0.00227804	0.000493309	3.17884e-05	0.0039164	0.00253966	0.0185337	0.769001	0.0958017	0.00376043	0.00488662	0.0874716	0.0112858
l	3.01445e-05	8.8919e-05	1.1998e-05	0.00199366	0.0042792	0.044936	0.312392	0.14042	0.0908558	0.156178	0.109995	0.138819
a	0.000279295	0.00121741	0.00152207	0.0131617	0.0287712	0.04093	0.148903	0.116196	0.0417403	0.115216	0.133619	0.358445
n	0.000338125	0.000633833	0.000128411	0.00476542	0.0118226	0.0154288	0.0655434	0.0513989	0.0510318	0.12351	0.334415	0.340983
z	0.000520509	0.000194109	2.02588e-05	0.00450872	0.00535367	0.0114097	0.127966	0.0451412	0.00347815	0.0259505	0.739487	0.0359703
a	0.00016434	3.93828e-05	1.44634e-05	0.00122018	0.00103589	0.00475393	0.115825	0.023837	0.00444229	0.0149574	0.816755	0.0169545
m	9.88785e-05	6.48917e-05	2.19948e-05	0.00368986	0.00701521	0.0516462	0.105387	0.146329	0.0157504	0.0402996	0.259731	0.369966
b	0.00235956	0.00027201	1.72429e-05	0.000951448	0.00198033	0.0236095	0.0750238	0.140667	0.148258	0.12745	0.259544	0.219866
é	0.000191252	3.80025e-05	3.40427e-06	0.00115914	0.00407058	0.0240054	0.0264693	0.17326	0.0285277	0.052491	0.633696	0.0560884
</S>	7.87392e-06	8.49003e-05	3.06045e-05	0.00113587	0.00219848	0.0116258	0.0131488	0.0145108	0.15841	0.150992	0.0264478	0.621407
