 	notre	père	est	devenu	vieux	</S>
t	0.205142	0.791354	0.00110814	0.000350839	0.00198964	5.51249e-05
á	0.050436	0.927499	0.00666163	0.00556216	0.00885141	0.000989656
á	0.037913	0.943026	0.00598483	0.00256431	0.00654423	0.00396771
y	0.631581	0.14317	0.177922	0.0281105	0.00338485	0.0158315
a	0.627665	0.213987	0.0905085	0.00411929	0.0175602	0.0461597
b	0.978054	0.00308218	0.00757734	0.000288356	0.0014483	0.00954964
í	0.969468	0.0147564	0.00821302	0.000655316	0.0041592	0.00274813
s	0.814642	0.076216	0.0524262	0.0179558	0.00657036	0.0321895
í	0.686262	0.0191665	0.0921779	0.00887692	0.0242918	0.169225
a	0.0244589	0.0109511	0.778764	0.121606	0.0191454	0.0450745
b	0.00179312	0.00426145	0.474776	0.494441	0.00808124	0.0166469
h	0.0123574	0.00111582	0.0708868	0.817697	0.0223023	0.0756407
í	0.0102426	0.000184119	0.0387262	0.779027	0.0152082	0.156612
e	0.00845645	0.000280952	0.0613166	0.229162	0.144276	0.556508
d	0.00218203	0.000850277	0.0351068	0.0983771	0.697941	0.165543
u	0.000226253	4.00632e-05	0.00553581	0.0562674	0.830285	0.107645
n	0.00314093	0.00132833	0.0294038	0.0312531	0.792699	0.142175
ú	0.00108385	5.43098e-05	0.0113148	0.00429763	0.901191	0.0820588
</S>	0.00136435	1.84215e-05	0.0281344	0.00896904	0.433455	0.528058
