 	les	éléphants	se	déplacent	en	bande	</S>
a	0.722511	0.239797	0.030995	0.00414791	0.00223405	0.00026272	5.27425e-05
n	0.113369	0.87513	0.00975845	0.000973427	0.000183213	0.000459503	0.000126718
d	0.0598901	0.910324	0.0192628	0.00283587	0.000654216	0.00393166	0.00310103
z	0.0340863	0.958769	0.00194983	0.000630281	0.000134797	0.0020946	0.00233555
ω	0.0266447	0.941699	0.0101345	0.00537852	0.000412584	0.0106626	0.00506813
i	0.0649885	0.901397	0.0183053	0.00462748	0.000739457	0.00401725	0.00592489
b	0.104726	0.114098	0.675098	0.04622	0.0196638	0.000755717	0.0394379
á	0.155597	0.110201	0.406801	0.163645	0.0964279	0.00400002	0.063329
a	0.387581	0.080676	0.320598	0.0916704	0.0802743	0.0099433	0.0292571
b	0.0226217	0.0289129	0.149302	0.732213	0.0395669	0.00616153	0.0212215
h	0.00772813	0.00789936	0.0334364	0.933251	0.0124951	0.00191027	0.00327964
é	0.00270949	0.000917573	0.00425441	0.989331	0.00108104	0.000935481	0.000771118
m	0.0102194	0.00955953	0.06217	0.845255	0.0187339	0.0100467	0.0440157
b	0.0288459	0.0122651	0.0863244	0.486289	0.140589	0.0120556	0.233631
á	0.0702024	0.0325076	0.0980258	0.361385	0.153967	0.0467194	0.237192
m	0.0159129	0.00304122	0.0270908	0.0698306	0.64022	0.177303	0.0666016
ó	0.0193955	0.00672817	0.0307955	0.0517767	0.384086	0.124475	0.382743
e	0.0213018	0.0118649	0.0102375	0.0046755	0.0433018	0.844263	0.0643556
k	0.00160094	0.00277355	0.00456304	0.00690062	0.0365769	0.775119	0.172466
u	0.0023458	0.00600554	0.00409338	0.0145385	0.00993675	0.899951	0.0631285
n	0.0126763	0.00908116	0.00381197	0.0522174	0.0311667	0.483271	0.407776
g	0.112661	0.0313974	0.0263693	0.0828153	0.0455826	0.56601	0.135164
a	0.00758047	0.00984835	0.0148763	0.00973589	0.0488613	0.461403	0.447695
</S>	0.0345714	0.0185061	0.034994	0.00834404	0.110308	0.142032	0.651244
