 	l'	oiseau	est	perché	sur	la	plus	jeune	palme	</S>
n	0.499301	0.36658	0.107096	0.00217667	0.00344047	0.0056043	0.0135535	0.00212985	4.84613e-05	6.99309e-05
y	0.0161936	0.983244	0.000428052	1.24627e-05	3.67277e-05	3.55925e-05	1.43804e-05	2.68453e-05	2.84215e-06	5.24102e-06
ω	0.0036425	0.990939	0.00421846	0.000314878	0.00019098	0.000361962	0.000152586	3.93128e-05	0.000107876	3.26074e-05
s	0.0141915	0.983786	0.00107159	3.17221e-05	2.99428e-05	7.54754e-05	9.39213e-05	4.29116e-05	4.45778e-05	0.000632736
í	0.0191871	0.0146189	0.611098	0.0376538	0.01786	0.0183806	0.00920269	0.00441287	0.0211511	0.246435
a	0.246401	0.0039426	0.566685	0.102789	0.0375438	0.00497722	0.00366918	0.00947338	0.00262322	0.0218952
d	0.0292117	0.00463133	0.569051	0.236173	0.0801385	0.0163825	0.00658972	0.00957235	0.010458	0.0377915
í	0.00618669	0.000222989	0.230258	0.608627	0.102658	0.00650221	0.000499922	0.00113785	0.00233989	0.0415667
s	0.0267749	0.000289723	0.0514929	0.52163	0.244234	0.0628935	0.0171031	0.00695392	0.012332	0.0562964
a	0.00362068	0.000181886	0.0142719	0.655473	0.265402	0.0419151	0.00225595	0.00131829	0.00469105	0.0108705
a	0.00764519	0.000205158	0.0147684	0.400141	0.30002	0.199747	0.0276902	0.00758226	0.0136095	0.0285908
m	0.00357535	0.000477038	0.0188567	0.174017	0.333999	0.308967	0.0913593	0.0338173	0.0239719	0.0109588
ó	0.000712438	6.4074e-05	0.0104151	0.173173	0.317236	0.196766	0.0740721	0.065574	0.0849969	0.0769909
t	0.00716463	0.000277107	0.00705417	0.0271867	0.104781	0.363729	0.239746	0.0869153	0.145335	0.0178106
w	0.00108755	7.71946e-05	0.00453909	0.0488587	0.0555457	0.546672	0.20852	0.0085383	0.0886901	0.037471
ó	0.00640103	0.000378603	0.00442332	0.133555	0.117374	0.431983	0.171287	0.013171	0.058606	0.0628206
ó	0.00166594	2.68692e-05	0.00261749	0.0437835	0.0823521	0.305906	0.255824	0.0580684	0.090139	0.159617
r	0.00220792	3.53393e-05	0.00760286	0.0129886	0.0870747	0.11172	0.186938	0.309896	0.157378	0.12416
ώ	0.0482464	0.00136964	0.0194042	0.0241969	0.139601	0.209835	0.111687	0.182019	0.138103	0.125537
</S>	0.000854959	0.000141193	0.00322697	0.00735916	0.0360152	0.139138	0.171348	0.133007	0.258769	0.250141
