 	nous	partons	faire	la	pêche	au	harpon	au	ruisseau	vouma	</S>
b	0.905516	0.0861302	0.00626958	0.00119454	0.000297555	0.000213665	5.28161e-05	5.9129e-05	0.000245899	8.01623e-06	1.24677e-05
í	0.962973	0.0288393	0.00313613	0.00117922	0.000324784	0.000425632	0.000870709	0.000261812	0.00130163	0.000365433	0.000322271
s	0.989282	0.007779	0.00145281	0.000226364	5.12638e-05	0.000120417	0.000182566	5.37986e-05	4.66393e-05	0.000748456	5.62551e-05
í	0.979745	0.00842631	0.00366282	0.00131691	0.000130008	0.000781574	0.00209902	0.000100449	0.000153626	0.00312085	0.000463875
l	0.110626	0.481942	0.14947	0.038274	0.0185668	0.00601639	0.00850276	0.00751995	0.000703104	0.000575677	0.177803
é	0.0147588	0.214532	0.222612	0.12365	0.0387646	0.0365423	0.0436279	0.0433333	0.00647513	0.00149584	0.254209
m	0.00473648	0.276996	0.317663	0.146411	0.128241	0.0253983	0.0617401	0.0228369	0.00381362	0.000308898	0.011855
o	0.0109296	0.209368	0.44932	0.225143	0.0728579	0.00589004	0.00961349	0.00936243	0.00104689	0.000292323	0.00617627
d	0.00619157	0.371547	0.335959	0.0420852	0.184333	0.00373623	0.012852	0.0239268	0.000603877	0.000573021	0.0181922
z	0.00354752	0.112332	0.342415	0.102462	0.223288	0.030096	0.0707423	0.0958755	0.00056655	0.000569356	0.0181057
w	0.0267221	0.396142	0.37186	0.131312	0.0316682	0.016998	0.00331834	0.0139934	0.000585864	0.0034374	0.00396345
á	0.00212972	0.0472417	0.250232	0.287525	0.0803428	0.191752	0.0141525	0.038969	0.00811584	0.00400251	0.0755362
i	0.00136194	0.00590798	0.0321687	0.149984	0.0377582	0.610116	0.0602062	0.0161295	0.05624	0.0203553	0.00977165
b	0.00437121	0.00866812	0.0282567	0.0195139	0.376449	0.106575	0.269137	0.102621	0.0270664	0.0230838	0.0342574
v	0.0676382	0.0014438	0.00794176	0.0137371	0.0575195	0.0960491	0.673582	0.0433174	0.00552814	0.0240433	0.00919998
á	0.00253115	0.00100997	0.00477357	0.00561342	0.0193037	0.0602584	0.842771	0.0480805	0.0019604	0.0115614	0.00213618
a	0.014796	0.000698183	0.0054736	0.0182837	0.0143431	0.298928	0.313156	0.109176	0.030069	0.0127979	0.182279
ó	0.000998967	0.00292133	0.0110563	0.0141683	0.00629176	0.155472	0.276509	0.311661	0.152791	0.0212306	0.0469011
w	0.00561079	0.00815626	0.00808498	0.00506298	0.0149087	0.0262142	0.158114	0.48569	0.145246	0.125112	0.0178005
ó	0.0513187	0.0043344	0.0168168	0.0165065	0.0488095	0.0409493	0.139845	0.172093	0.126827	0.237618	0.144881
m	0.00247812	0.00316405	0.0100181	0.0072505	0.0509223	0.0344915	0.124068	0.217816	0.112081	0.104754	0.332956
á	0.000242173	0.00194599	0.00465275	0.00246156	0.00758358	0.01637	0.0322655	0.388271	0.0576443	0.073038	0.415525
</S>	0.00331061	0.00583702	0.00862234	0.0081125	0.00899279	0.0392554	0.0769493	0.227611	0.188947	0.226861	0.2055
