 	il	est	allé	chercher	le	bois	de	chauffe	dans	la	forêt	</S>
w	0.9003	0.0828816	0.00117623	0.00404678	0.00441639	0.00279906	0.00140182	0.00152534	0.00029946	0.000946804	0.000185325	2.11258e-05
a	0.909347	0.0631032	0.000435761	0.00550629	0.0116477	0.00404298	0.00262643	0.000569614	0.000375426	0.00191453	0.000427955	2.76525e-06
á	0.0947059	0.803897	0.0675105	0.0193406	0.00486486	0.00253664	0.00209389	0.00237033	0.000694628	0.000735767	0.00027605	0.000973589
d	0.0329946	0.683528	0.171251	0.0556323	0.0111278	0.00812902	0.00721028	0.00755933	0.00827126	0.0036788	0.000937938	0.00967957
z	0.00536355	0.325349	0.589684	0.0352761	0.00779161	0.00208271	0.00386641	0.00131384	0.00336294	0.00108732	0.000196608	0.0246261
w	0.0370246	0.0892078	0.852558	0.0149186	0.00382542	0.000338229	0.000591868	0.000327353	0.000309899	0.000248784	0.000106595	0.000542897
e	0.018319	0.051025	0.840872	0.0402136	0.0158342	0.00148514	0.0047854	0.00155993	0.00239912	0.00243683	0.000535119	0.020535
o	0.0446868	0.160202	0.402924	0.278925	0.0444012	0.0164804	0.0136179	0.00956421	0.00573461	0.00503164	0.00311469	0.0153181
p	0.00249152	0.0259066	0.199839	0.709263	0.0316426	0.0127667	0.00510875	0.00373457	0.00295134	0.00138231	0.000788478	0.00412507
f	0.00103092	0.00746199	0.087051	0.802683	0.0303625	0.0393727	0.00445446	0.0111308	0.00205977	0.00105972	0.00175434	0.0115783
ú	0.000569253	0.00441441	0.0656815	0.799807	0.048177	0.049016	0.00713244	0.00802764	0.00238012	0.00209953	0.0019979	0.0106975
r	0.00870828	0.00550211	0.021961	0.63257	0.147831	0.104767	0.0207801	0.0128659	0.0119905	0.00723909	0.00782688	0.0179581
á	0.00714711	0.0029795	0.0378606	0.419973	0.268304	0.0462197	0.0894866	0.0079299	0.038361	0.0131056	0.0024475	0.0661852
k	0.0162511	0.0341226	0.0330402	0.220208	0.314205	0.171849	0.120069	0.0446697	0.0184971	0.00850339	0.00205809	0.0165266
ó	0.00138863	0.00156095	0.0204449	0.150157	0.138828	0.342895	0.0699306	0.190732	0.0179474	0.00573243	0.047572	0.0128105
n	0.000101626	0.00060732	0.00758284	0.0982567	0.0848319	0.410342	0.0455524	0.270977	0.0164961	0.00803106	0.0420483	0.0151721
y	0.00218536	0.00130875	0.00135324	0.172501	0.154433	0.343099	0.0810232	0.153036	0.0195786	0.0125053	0.00674118	0.0522355
i	0.00104849	0.000569554	0.00184486	0.116448	0.196514	0.299423	0.0754853	0.185189	0.0224716	0.0133846	0.01145	0.076172
s	0.00089089	0.00223344	0.000567758	0.0540872	0.152691	0.17446	0.373841	0.115704	0.0597566	0.0461257	0.00422541	0.0154182
á	0.000424967	0.00163768	0.0049644	0.0560395	0.0804395	0.0649632	0.115509	0.0900605	0.225256	0.173105	0.0568913	0.130708
k	0.001546	0.00164418	0.00498337	0.00835152	0.0210565	0.0175369	0.0385867	0.111354	0.0522735	0.1533	0.569275	0.0200922
ώ	0.000514292	0.000336306	0.000804035	0.0145679	0.0161639	0.0598428	0.0458794	0.147469	0.0375098	0.0285192	0.636675	0.0117178
</S>	6.78908e-05	3.14168e-05	5.0472e-05	0.00662126	0.00773571	0.0941391	0.0170293	0.264249	0.026081	0.0141304	0.553044	0.0168196
