 	ouvre	grandement	l'	oeil	pour	qu'	on	y	mette	le	médi-	cament	</S>
n	0.304685	0.427096	0.0262091	0.0664896	0.0171318	0.0158468	0.0235511	0.0512706	0.0427794	0.00575905	0.0152726	0.00379088	0.000117421
a	0.288235	0.246453	0.203525	0.17223	0.0302089	0.00603606	0.0120774	0.025874	0.00493187	0.00120386	0.00220772	0.00668096	0.000336346
a	0.172521	0.494513	0.157834	0.0493825	0.0442073	0.0170846	0.00822664	0.0265912	0.0141884	0.00225921	0.000162899	0.00151622	0.0115129
n	0.0623239	0.260026	0.189543	0.147267	0.0769272	0.0514091	0.0509027	0.0529913	0.0296444	0.0275602	0.0126967	0.00514013	0.0335678
á	0.0116098	0.0641994	0.324518	0.401313	0.0840691	0.037474	0.022367	0.0137408	0.0118149	0.0114629	0.00171607	0.000756114	0.014959
d	0.0113799	0.0462555	0.319092	0.353826	0.12872	0.0351352	0.0103462	0.0121294	0.0119613	0.00694867	0.000637592	0.00386892	0.0596997
í	0.00223169	0.0137334	0.257671	0.374066	0.171672	0.0862352	0.012079	0.00910938	0.00207397	0.00749421	0.0023366	0.00502831	0.056269
s	0.00208936	0.00903338	0.11373	0.238867	0.166481	0.144198	0.0845001	0.0966402	0.0181854	0.023761	0.00256168	0.0120766	0.0878771
i	0.00562157	0.00447947	0.142626	0.395974	0.175472	0.114759	0.0386779	0.0293689	0.00871673	0.0222714	0.00538841	0.0247134	0.0319315
b	0.00351134	0.0045269	0.0863215	0.171888	0.201029	0.240655	0.0784977	0.121689	0.042552	0.0245404	0.00104317	0.00413217	0.019614
a	0.0030433	0.0147329	0.0316214	0.0471045	0.0843549	0.196325	0.120268	0.0995152	0.308296	0.0613833	0.0160154	0.00776385	0.00957589
á	0.000698299	0.00544415	0.0209503	0.0232114	0.0378602	0.0886447	0.0869524	0.144673	0.504873	0.0588143	0.0109621	0.003949	0.012967
l	0.00154588	0.0035454	0.0355258	0.0458402	0.0747831	0.0482579	0.119186	0.102792	0.0445683	0.365341	0.0970023	0.0157551	0.0458571
é	0.00198467	0.0109366	0.0870572	0.112256	0.16283	0.0584167	0.0426198	0.0318076	0.0288921	0.221105	0.0175065	0.0305682	0.194018
k	0.0040174	0.00924149	0.0863275	0.125021	0.177669	0.0852366	0.0566602	0.0768149	0.116061	0.150918	0.0300028	0.0582557	0.0237744
a	0.00277428	0.0145728	0.015567	0.0342076	0.0202159	0.0340977	0.0348759	0.0828575	0.134976	0.150106	0.40004	0.0615612	0.0141479
n	0.000177109	0.0036143	0.0109118	0.0163507	0.0157225	0.023049	0.0614755	0.0895152	0.205555	0.154977	0.340785	0.0205369	0.0573306
a	0.000994963	0.00136495	0.020289	0.0182254	0.0315639	0.0240949	0.0582868	0.0822756	0.1908	0.208313	0.253694	0.0746608	0.0354371
b	0.00284265	0.00137551	0.02066	0.0133386	0.0320316	0.0239416	0.0633889	0.103984	0.0154813	0.22438	0.214756	0.0990937	0.184726
v	0.00322561	0.0124167	0.00997798	0.0117891	0.0164864	0.0202263	0.0686566	0.0611422	0.0705475	0.0660341	0.494184	0.140186	0.0251275
e	0.000905862	0.00159574	0.0117872	0.0121622	0.026163	0.0242439	0.0237483	0.0458279	0.0470568	0.0475954	0.0781562	0.610262	0.0704954
r	0.000340312	0.000417923	0.00755114	0.0105133	0.0131487	0.0109223	0.0211342	0.0499629	0.0087679	0.0804647	0.245106	0.300702	0.250969
é	0.00256396	0.00114694	0.0461535	0.0596403	0.0839198	0.025394	0.0139506	0.0122065	0.0146606	0.0430421	0.014752	0.309413	0.373157
</S>	0.00110309	0.00121078	0.0117131	0.00722357	0.0213837	0.0105366	0.0178871	0.0303718	0.00290584	0.0396469	0.0103133	0.0459762	0.799728
