 	cette	femme-ci	ne	jouit	plus	d'	une	bonne	santé	depuis	la	mort	de	son	mari	</S>
o	0.898387	0.0915479	0.00249403	0.00214263	0.00338794	0.000564017	0.000373394	0.000540715	3.01431e-05	0.000181433	8.52949e-05	5.92185e-05	8.15618e-05	0.000110551	8.81072e-06	5.38661e-06
y	0.0742111	0.88747	0.0205794	0.00184262	0.000892341	0.00123774	0.00108126	0.000382028	0.00206479	0.00111313	0.00065507	0.000754937	0.00173397	0.00416383	0.000484351	0.00133348
ú	0.686592	0.269173	0.013372	0.00526792	0.000524188	0.00314338	0.00487704	0.000905742	0.000767768	0.000334391	0.00148098	0.000557309	0.00110312	0.000659448	0.0103845	0.000857195
r	0.640149	0.0533265	0.0124561	0.0107926	0.00288303	0.0256449	0.0521887	0.0081517	0.00159788	0.00691918	0.0197874	0.00885707	0.0251553	0.0273856	0.0883261	0.0163788
u	0.786596	0.0713682	0.0240521	0.00366882	0.0111991	0.0160561	0.0148431	0.014531	0.00260692	0.00987956	0.00507867	0.00499187	0.00658918	0.0177216	0.00272452	0.0080934
w	0.532845	0.160936	0.189338	0.0346679	0.00867456	0.00591411	0.00773683	0.00433999	0.00268592	0.00638535	0.00615032	0.00684696	0.00606442	0.0116205	0.00369537	0.0120984
ó	0.236593	0.0250619	0.0682953	0.0178759	0.0805394	0.0582324	0.0636501	0.058538	0.0206305	0.0657176	0.0528506	0.042233	0.0590101	0.0675269	0.00340846	0.0798368
á	0.028766	0.00507998	0.577844	0.0493872	0.077759	0.0393622	0.0248228	0.0066439	0.00787239	0.0210752	0.0209521	0.0227925	0.0210235	0.0304712	0.00992171	0.0562266
b	0.00600815	0.00448717	0.173713	0.572542	0.0207425	0.0272629	0.0104699	0.00248774	0.00687979	0.0100338	0.0111715	0.0176322	0.0213646	0.0155157	0.0479034	0.0517854
h	0.00180211	0.00138141	0.0976634	0.812491	0.0356315	0.0173221	0.00354085	0.00153135	0.00431213	0.00348011	0.0032064	0.00572688	0.00311514	0.00293188	0.00152861	0.0043355
i	0.00583931	0.000921369	0.0644331	0.823394	0.0597564	0.0201865	0.00418101	0.00173587	0.00099447	0.00365074	0.00263692	0.00276781	0.00289283	0.00157977	0.000248625	0.00478097
á	0.0122184	0.00189085	0.0961586	0.510059	0.138464	0.0643932	0.030075	0.0133311	0.00853474	0.0241108	0.0115355	0.0121704	0.0111156	0.00665901	0.00468625	0.0545973
