 	il	attache	le	cabri	a	l'	arbre	</S>
w	0.835823	0.1129	0.0332638	0.0111281	0.00234995	0.00362231	0.000860031	5.30891e-05
a	0.902974	0.0476137	0.0245417	0.0060211	0.00142491	0.00572046	0.0115892	0.000114894
á	0.29912	0.496144	0.164242	0.00519426	0.0128165	0.0117767	0.00142943	0.00927731
m	0.0770427	0.531316	0.274906	0.0374632	0.0218351	0.0276424	0.0037112	0.026084
i	0.0183379	0.441287	0.406952	0.0301053	0.0350567	0.00886295	0.00194075	0.0574581
t	0.0271914	0.56584	0.375216	0.00943819	0.0055583	0.00145427	0.000440935	0.0148611
i	0.0224299	0.545068	0.400952	0.00130798	0.00762979	0.00158113	0.000707986	0.0203239
n	0.0074018	0.444311	0.537491	0.00162865	0.00251728	0.00065949	0.000173265	0.00581756
g	0.0567816	0.531897	0.355269	0.00127299	0.0146236	0.00415064	0.00183599	0.0341693
á	0.168048	0.488967	0.291306	0.00697945	0.00354225	0.00164999	0.000763453	0.0387443
m	0.01746	0.0570456	0.808396	0.0630593	0.0230674	0.017534	0.0106642	0.00277384
b	0.000585039	0.006034	0.0394563	0.937604	0.00531343	0.00117374	0.00161404	0.00821956
ó	0.00030697	0.00327094	0.015071	0.969575	0.00264448	0.00106431	0.00566331	0.002404
s	0.000611054	0.00591565	0.00652519	0.97912	0.00457289	0.000579238	0.00126606	0.00140983
i	0.0149771	0.100726	0.135949	0.124894	0.346012	0.0680191	0.0151215	0.194302
i	0.0282375	0.0714642	0.11006	0.0568452	0.372863	0.155998	0.0312372	0.173296
k	0.0159863	0.0355143	0.0474693	0.00407471	0.288492	0.189631	0.177257	0.241576
í	0.013605	0.0280774	0.0424177	0.000817125	0.156435	0.118241	0.509981	0.130427
é	0.00204221	0.00281641	0.00856204	0.0036462	0.0590459	0.0294391	0.674378	0.22007
m	0.000455067	0.00344144	0.00859394	0.00047627	0.0992999	0.3631	0.262235	0.262399
ó	0.0197732	0.049584	0.206292	0.0205347	0.0686109	0.1831	0.0908789	0.361227
i	0.00812088	0.0220764	0.0611179	0.0167044	0.0734816	0.186281	0.571917	0.0603008
b	0.00211053	0.0147396	0.029346	0.00596844	0.0535936	0.108045	0.598714	0.187483
v	0.00432917	0.0208619	0.0534144	0.00674464	0.0348351	0.110707	0.738588	0.0305193
ú	0.000409207	0.00236801	0.0133323	0.0102276	0.0116598	0.0435339	0.898096	0.0203732
a	0.00148727	0.00166933	0.0111792	0.000867029	0.0320681	0.174742	0.435438	0.342548
</S>	0.00067579	0.00397554	0.0265538	0.0008517	0.0698592	0.334185	0.137834	0.426064
