 	les	plaisirs	du	monde	ont	détourné	ce	garçon	du	droit	chemin	</S>
i	0.595028	0.246642	0.0730572	0.0586531	0.00767783	0.00101462	0.012342	0.00357783	0.00089835	0.000847234	0.000247948	1.37883e-05
s	0.0213744	0.968545	0.0031687	0.00178483	0.00080205	0.00224915	0.000100941	0.0002149	0.000433707	6.00595e-05	0.000614416	0.000652117
i	0.0246536	0.953855	0.0111229	0.00395277	0.00302931	0.00146336	0.000485492	0.000415082	0.000479596	6.93053e-05	7.29188e-05	0.000400594
m	0.0324677	0.809213	0.0560857	0.0150807	0.0127497	0.00965541	0.0135064	0.00763334	0.00991739	0.00193131	0.000515599	0.0312437
b	0.428084	0.190727	0.227275	0.0347609	0.0130626	0.00118947	0.0142555	0.0183927	0.00350014	0.053876	0.000139065	0.0147381
a	0.277311	0.371961	0.123196	0.0188443	0.00884873	0.0482016	0.00873518	0.0239925	0.0229574	0.0650756	0.00113575	0.0297411
l	0.184938	0.146395	0.231357	0.188391	0.103701	0.00988388	0.057333	0.0156336	0.0157731	0.00831121	0.00239912	0.0358837
ó	0.157148	0.131615	0.0808257	0.0516766	0.0698572	0.00672841	0.0680769	0.0420482	0.0353502	0.0398924	0.0129773	0.303805
s	0.100889	0.304408	0.255452	0.0814997	0.0677883	0.0208337	0.0306884	0.0132213	0.024986	0.0147681	0.00171315	0.0837524
έ	0.198128	0.188657	0.222745	0.0809586	0.125991	0.038288	0.0145986	0.00928384	0.0259742	0.017672	0.00182682	0.0758765
n	0.0545941	0.0965419	0.335127	0.116229	0.115914	0.0307747	0.044344	0.0115192	0.0228618	0.0196382	0.00171549	0.150741
g	0.113854	0.109657	0.302059	0.183472	0.106817	0.0123231	0.0300257	0.0202284	0.0215885	0.0556613	0.00342186	0.0408911
ε	0.0784164	0.133805	0.398446	0.112726	0.0497305	0.0177127	0.0366984	0.0137137	0.0179678	0.105201	0.00187324	0.0337087
í	0.0431868	0.0281486	0.291132	0.265098	0.264481	0.00770209	0.0534171	0.0117424	0.00707949	0.0133537	0.00253182	0.0121278
m	0.0324738	0.0132219	0.0839755	0.157868	0.507814	0.0816913	0.0587173	0.0140688	0.0232437	0.00336443	0.0052573	0.018304
i	0.0169814	0.0176554	0.0992409	0.0871883	0.284247	0.247676	0.101893	0.0738405	0.0209043	0.00877392	0.00212639	0.0394738
b	0.00690836	0.00957362	0.0125557	0.0186957	0.106741	0.784988	0.0187048	0.0126727	0.0109948	0.00102644	0.00159444	0.0155448
h	0.000408127	0.00383188	0.0039876	0.00563835	0.0235638	0.935711	0.00366411	0.0136977	0.00225542	0.00115036	0.000160327	0.00593081
o	0.000910704	0.00381407	0.00445915	0.00188705	0.00368618	0.972084	0.00348959	0.00343729	0.00317779	0.00132164	0.000140752	0.00159132
n	0.000548745	0.0036041	0.00979829	0.0124161	0.00856768	0.921047	0.0179146	0.00475294	0.0142878	0.00318893	0.00248395	0.0013895
í	0.00405205	0.00375819	0.0155212	0.0128608	0.016575	0.859609	0.0262458	0.00901266	0.0199866	0.00979571	0.00146352	0.0211189
s	0.0101432	0.00802609	0.10626	0.0847113	0.0922817	0.140066	0.449382	0.0686998	0.0188182	0.00767182	0.0022996	0.0116399
á	0.00809758	0.0181016	0.0581981	0.0356486	0.031886	0.257946	0.217402	0.10684	0.0700408	0.066298	0.0561009	0.0734403
m	0.00616522	0.0109694	0.0404951	0.0582682	0.0348195	0.0295836	0.511438	0.192155	0.0389874	0.0336867	0.0302499	0.0131817
w	0.00564104	0.00400349	0.0186882	0.00328325	0.0148304	0.0548614	0.150581	0.472312	0.0681717	0.147709	0.000851433	0.0590676
á	0.00483464	0.00419826	0.0120628	0.00829324	0.00944897	0.0748104	0.0346009	0.591158	0.0829837	0.129656	0.00376084	0.044193
n	0.0392982	0.00792061	0.0379616	0.00797193	0.0162299	0.0255323	0.0718757	0.45935	0.0247392	0.286798	0.00213322	0.0201894
a	0.00929481	0.0132314	0.0432391	0.0130482	0.029824	0.0492876	0.123985	0.195772	0.105347	0.14952	0.00172104	0.26573
i	0.00245845	0.00373494	0.0133912	0.0168605	0.0432693	0.0202243	0.369779	0.19669	0.207748	0.0585166	0.0281975	0.0391295
b	0.00314167	0.00484811	0.00505012	0.00592902	0.0119719	0.0289364	0.0476525	0.0963653	0.589668	0.0279922	0.0860569	0.0923875
a	0.00101388	0.00545646	0.00807286	0.00829623	0.00879101	0.0584243	0.0197384	0.371552	0.303742	0.0282836	0.149746	0.0368832
a	0.000682381	0.00440245	0.00385826	0.00373716	0.00337686	0.0474436	0.0340974	0.22268	0.354854	0.0467443	0.0778117	0.200312
w	0.00166532	0.000805134	0.00577023	0.00515702	0.0127688	0.00120891	0.139339	0.16336	0.308417	0.229522	0.0547659	0.0772202
ó	0.00507557	0.00440776	0.0453208	0.0689881	0.0341617	0.0146058	0.132174	0.142895	0.134537	0.155414	0.0964233	0.165996
</S>	0.00544196	0.0168136	0.0141284	0.00421726	0.00639708	0.00406932	0.0700245	0.0355213	0.257492	0.0654085	0.168746	0.35174
