 	j'	ai	piétiné	un	milles	pattes	dans	la	forêt	</S>
n	0.887304	0.0678723	0.0195722	0.0145042	0.00607386	0.00168406	0.000696745	0.0012416	0.00094699	0.000104378
g	0.988261	0.00447404	0.00470059	0.000304692	0.00213596	1.0723e-05	3.1461e-05	4.50632e-05	3.45872e-05	2.06248e-06
á	0.955121	0.0251512	0.0139591	0.00108619	0.00420651	0.000103095	7.92966e-05	0.000144694	0.000138412	1.0482e-05
í	0.162669	0.222871	0.140213	0.0234878	0.118083	0.0084613	0.0235917	0.029792	0.0394578	0.231373
d	0.0267666	0.459312	0.489093	0.00697912	0.00225738	0.00202871	0.00440532	0.00324277	0.00129937	0.00461598
z	0.022773	0.466284	0.437089	0.00866666	0.00115678	0.00163502	0.0144923	0.00381449	0.000786505	0.0433019
a	0.167259	0.374665	0.450473	0.00163286	0.00150684	4.93117e-05	0.00160975	0.000858763	8.15382e-05	0.00186343
r	0.141308	0.172887	0.243853	0.0636273	0.0403526	0.0275289	0.0851071	0.0716638	0.0216545	0.132017
i	0.0188387	0.101292	0.711225	0.0145002	0.0952695	0.00155007	0.0143221	0.0135158	0.00376939	0.0257171
i	0.000454741	0.0778561	0.261453	0.407973	0.142896	0.0273965	0.0261247	0.0151876	0.0039876	0.0366705
t	0.000589274	0.0100305	0.0482524	0.521404	0.12907	0.162593	0.0306763	0.0217402	0.0198696	0.0557746
ω	7.06128e-05	0.00600077	0.0327475	0.508396	0.0466743	0.310846	0.0197337	0.00810808	0.0168474	0.0505752
ώ	8.15137e-05	0.00504447	0.018553	0.453058	0.232669	0.157678	0.0273817	0.0257748	0.0156224	0.0641365
l	0.00053101	0.0186246	0.0174867	0.300055	0.366883	0.185493	0.0513532	0.0293325	0.00415558	0.0260855
á	0.00038739	0.00482892	0.016941	0.239547	0.145374	0.228852	0.0984404	0.0327423	0.0101196	0.222767
n	0.00211381	0.0106049	0.0123396	0.0877355	0.374069	0.337558	0.0622221	0.0378482	0.0376535	0.0378546
g	0.0219324	0.0061773	0.0402144	0.0629316	0.73548	0.0761378	0.0273639	0.0101324	0.00385237	0.0157773
ώ	0.00504637	0.00162977	0.00899908	0.0325083	0.810238	0.11122	0.0141501	0.00544267	0.00504116	0.0057244
n	7.74499e-05	0.000966265	0.0110109	0.0755155	0.645231	0.180666	0.0440353	0.0161631	0.00701774	0.019317
g	0.000119949	0.000679622	0.00387957	0.140424	0.398933	0.313717	0.0607093	0.0203398	0.00483093	0.0563669
ω	0.000145943	0.000192606	0.00324222	0.134323	0.596017	0.147294	0.0429073	0.0105066	0.00248054	0.0628904
ώ	5.47436e-05	0.000927018	0.00237077	0.0557883	0.197817	0.349332	0.27117	0.0562916	0.00647115	0.0597776
s	0.000489704	0.00312349	0.00238625	0.0184759	0.0347661	0.202787	0.410935	0.206405	0.0638497	0.0567823
á	0.000103211	0.00462901	0.00790424	0.00952484	0.0106347	0.0407135	0.487183	0.162432	0.00809834	0.268777
k	0.000543635	0.00213078	0.00361552	0.0067027	0.0202191	0.042233	0.228641	0.180603	0.357273	0.158039
ώ	9.37492e-05	6.09505e-05	0.000160646	0.00768659	0.00276068	0.114828	0.0878528	0.0330852	0.721751	0.0317206
</S>	3.7114e-05	2.29292e-05	5.31989e-05	0.00308023	0.0123356	0.0493789	0.025272	0.0330605	0.819808	0.0569513
