 	la	cour	de	l'	école	est	humide	à	cause	de	la	pluie	qui	est	tombée	hier	</S>
d	0.542526	0.326817	0.039709	0.0270745	0.0203035	0.0311142	0.000915875	0.00388105	0.00118763	0.000804324	0.000932906	0.00113062	0.000565089	0.00140649	0.00136734	0.000216314	4.76518e-05
z	0.120973	0.829736	0.0104112	0.00783781	0.00488867	0.00383035	0.00714934	0.00243405	0.000843514	0.000834907	0.000615021	0.00118199	0.00281478	0.00106536	0.00129987	0.000162073	0.00392184
a	0.0618839	0.87037	0.00497779	0.0120219	0.00658765	0.00281341	0.0321839	0.00280276	0.00120189	0.000860459	0.000678295	0.00082366	0.000948899	0.000641292	0.000565958	2.82278e-05	0.000610015
n	0.224317	0.410045	0.0612196	0.0465662	0.113691	0.0378581	0.0371254	0.012767	0.00950173	0.00569938	0.00507255	0.00449529	0.0120673	0.00322759	0.00223152	0.00116026	0.0129556
g	0.209779	0.31949	0.0858953	0.0472441	0.0564037	0.028904	0.0194842	0.0263778	0.022528	0.0205801	0.01516	0.0191627	0.018365	0.016501	0.0163328	0.00193187	0.0758606
é	0.233712	0.604677	0.0483306	0.0253513	0.0395579	0.00605713	0.00371685	0.00815764	0.00271369	0.00269442	0.00283532	0.0038754	0.00216713	0.000940305	0.00128282	6.79511e-05	0.0138622
l	0.0674641	0.0473604	0.718451	0.0749923	0.0264069	0.0201941	0.00447749	0.00482054	0.00367584	0.00316117	0.00260803	0.00235764	0.00310383	0.0046501	0.00472001	0.000502004	0.0110544
á	0.188599	0.263679	0.181701	0.0704601	0.0315524	0.0298877	0.0254643	0.0187072	0.0123113	0.0127983	0.0122688	0.0177292	0.0171524	0.00916876	0.0122202	0.00208595	0.0942147
l	0.251196	0.164828	0.189391	0.128029	0.111643	0.0312865	0.0188508	0.0133736	0.0097155	0.0100714	0.0124678	0.00938931	0.0104112	0.006973	0.00725153	0.00223963	0.022883
e	0.0404556	0.0410884	0.206319	0.177068	0.195017	0.0518225	0.0916977	0.0125989	0.015704	0.0126042	0.0094982	0.0104743	0.0178123	0.014387	0.0143281	0.00191642	0.0872087
