 	si	un	cadet	meurt	et	laisse	des	parcelles	il	ne	faut	pas	espérer	c'	est	l'	héritage	de	ses	enfants	</S>
w	0.887901	0.0798297	0.00765952	0.00185863	0.00354736	0.00296786	0.003187	0.00251872	0.00135443	0.00185454	0.00184933	0.000491035	4.11615e-05	0.000434179	0.000811279	0.00125079	0.000953344	0.000436614	0.000981305	5.79086e-05	1.39459e-05
á	0.916453	0.0649711	0.0057491	0.000180096	0.00132856	0.00023442	0.00130761	0.000778808	0.000840518	0.000822035	0.000572542	0.000100941	6.02917e-06	6.29799e-05	0.000346913	0.000797264	0.000314968	0.000288515	0.00229762	0.00253903	7.9808e-06
á	0.202477	0.546563	0.0311406	0.0308607	0.0345932	0.0208988	0.0132393	0.0120249	0.0142107	0.00953793	0.0150685	0.00836815	0.000666177	0.00682595	0.007682	0.00643299	0.00788532	0.00354422	0.00474869	0.00432644	0.0189055
o	0.0565314	0.599	0.16403	0.0295813	0.0119375	0.00799164	0.00650482	0.00324645	0.00853377	0.013006	0.012364	0.0109607	0.00818144	0.00813705	0.00521251	0.00439066	0.00504522	0.00824022	0.0110499	0.00573637	0.020319
d	0.00230826	0.120623	0.780816	0.0718124	0.00211139	0.00154804	0.00152924	0.00169263	0.00291577	0.00141366	0.000809185	0.00178581	0.00244705	0.00135233	0.000789298	0.000403062	0.000327806	0.000985153	0.000240148	0.000494538	0.00359457
i	0.00101328	0.128806	0.791143	0.0591995	0.00205957	0.00204051	0.000825002	0.000343976	0.000275778	0.000982996	0.000533134	0.00151283	0.00237469	0.0017883	0.00112939	0.00032846	9.32864e-05	0.000478982	0.000247699	9.05038e-05	0.00473357
m	0.00853574	0.277884	0.428219	0.0932414	0.0380435	0.0325303	0.00687262	0.00275105	0.000730348	0.00251019	0.00201653	0.00487559	0.0138409	0.0135252	0.0151061	0.00423392	0.000702571	0.00225675	0.0017544	0.000817991	0.0495524
í	0.00767771	0.343149	0.277549	0.11438	0.119537	0.0348448	0.0205507	0.0188087	0.00486489	0.00434641	0.00237502	0.00826614	0.00147919	0.00833552	0.0103944	0.00496951	0.0015722	0.00370279	0.00272303	0.00121933	0.00925554
a	0.0435093	0.202066	0.0451375	0.265688	0.261665	0.0535546	0.0186337	0.0246676	0.00706983	0.00699293	0.00852438	0.00645953	0.00273872	0.00533086	0.00524776	0.00466043	0.00510633	0.0054844	0.00584419	0.0136349	0.00798447
w	0.0018641	0.0692583	0.0413859	0.503633	0.181274	0.114354	0.0162327	0.0106358	0.00355181	0.00620309	0.00681137	0.00574473	0.00781726	0.00385708	0.003711	0.00241998	0.00185408	0.00327394	0.00264018	0.00730756	0.00616941
é	0.00162463	0.018097	0.00326497	0.0401558	0.138118	0.289907	0.117801	0.0745928	0.0194032	0.0278579	0.0459655	0.0288456	0.00824995	0.0194925	0.0214917	0.0291443	0.0159855	0.0312666	0.0128343	0.0324153	0.0234864
a	0.0039706	0.0452786	0.00754188	0.190497	0.224224	0.139707	0.0409902	0.0332653	0.0242301	0.0230533	0.0207747	0.0223364	0.0101091	0.0199895	0.0216591	0.0166438	0.010381	0.0206239	0.0175111	0.00951255	0.0977013
k	0.00204211	0.017751	0.00533167	0.113589	0.392137	0.20112	0.0575671	0.0427763	0.0195163	0.0171271	0.0110498	0.0158256	0.00760232	0.0136389	0.0123128	0.00536371	0.0029721	0.0084443	0.00738893	0.00164164	0.0448026
ú	0.000764018	0.00470374	0.000421074	0.0118442	0.0438463	0.582308	0.110522	0.0829185	0.0241608	0.0369335	0.023531	0.0151591	0.0227473	0.00780001	0.00566951	0.00488755	0.00169546	0.00811024	0.0016007	0.00204311	0.00833374
