 	l'	enfant	a	expulsé	les	excréments	</S>
m	0.873105	0.115886	0.00668056	0.00219658	0.00186666	4.37138e-05	0.000222011
w	0.0363153	0.953927	0.0068773	0.00207661	0.000622656	6.53745e-06	0.000174979
á	0.009222	0.988518	0.000383198	0.00184265	8.89398e-06	1.09317e-05	1.47189e-05
n	0.224834	0.770814	0.00144238	0.000718552	0.000299054	2.46289e-05	0.00186798
a	0.184387	0.391038	0.126293	0.0421671	0.0114679	0.0199128	0.224734
á	0.840942	0.0311266	0.0660019	0.0139703	0.0379227	0.00095795	0.00907855
p	0.029608	0.0168974	0.617156	0.193711	0.045465	0.0240549	0.0731071
f	0.00139289	0.00249374	0.238027	0.632572	0.0238876	0.0314316	0.0701948
ú	0.0118862	0.00156881	0.13747	0.745471	0.0454815	0.0183664	0.0397562
n	0.0148015	0.00374501	0.0906989	0.677869	0.150951	0.0301215	0.0318129
d	0.0101682	0.00086179	0.105919	0.570512	0.293849	0.00365161	0.0150393
z	0.0032372	0.00022223	0.0385932	0.747566	0.187992	0.00605995	0.016329
u	0.00321147	0.000386749	0.0353965	0.808792	0.125688	0.00385669	0.0226688
a	0.0120392	0.000581444	0.0354496	0.103277	0.773879	0.0184627	0.0563111
m	0.00274385	0.000552903	0.023255	0.0273898	0.236713	0.59422	0.115125
b	0.00239356	0.00216803	0.00341815	0.00122155	0.0319176	0.838393	0.120488
í	0.00123308	0.00657021	0.00691332	0.0148956	0.116003	0.716868	0.137517
</S>	0.00212794	0.00185361	0.0161474	0.0210481	0.0468172	0.153485	0.75852
