 	pendant	la	nuit	on	attache	le	chien	avec	le	koli	</S>
l	0.360124	0.373948	0.211003	0.0398881	0.00409879	0.00698541	0.00142951	0.000686176	0.000684492	0.00108851	6.42205e-05
a	0.267118	0.553161	0.144143	0.00570724	0.00772428	0.012009	0.00397021	0.00112296	0.00309362	0.00181824	0.000131953
k	0.105965	0.473441	0.369436	0.011563	0.0166486	0.00924728	0.0063642	0.00126807	0.00303213	0.00129077	0.00174399
ó	0.00407577	0.056532	0.85327	0.00947589	0.0156655	0.00213861	0.00721609	0.0038231	0.00269963	0.0329759	0.0121274
l	0.00423508	0.0812746	0.893394	0.00905418	0.00423522	0.000678862	0.000817659	0.000392271	0.000210218	0.00291595	0.00279212
i	0.0507876	0.207675	0.703772	0.0202931	0.00540461	0.00142151	0.00133242	0.000791994	0.000431436	0.00137977	0.00671066
b	0.140535	0.0973441	0.215086	0.427144	0.0336494	0.0524111	0.00334046	0.011658	0.00720365	0.000518797	0.011109
á	0.121549	0.0574037	0.105455	0.420768	0.0582786	0.0283062	0.0153045	0.072482	0.0192145	0.00626655	0.094972
a	0.185893	0.0494995	0.0460206	0.511161	0.0488154	0.0828554	0.0164374	0.0239402	0.01328	0.00265711	0.0194405
k	0.00461446	0.00581739	0.00871816	0.176796	0.636345	0.0727007	0.0697868	0.0059351	0.00220964	0.00278404	0.014293
a	0.00472708	0.0117005	0.0574214	0.0495426	0.666351	0.0295233	0.0871699	0.0116347	0.00211714	0.061925	0.0178873
n	0.00185105	0.0122083	0.0404325	0.0701718	0.680652	0.0718442	0.0672949	0.0122987	0.00253502	0.0166414	0.0240699
g	0.00936697	0.0106561	0.0176488	0.0697034	0.673805	0.0970267	0.0396727	0.0223591	0.00442154	0.00918119	0.0461587
á	0.0177596	0.0227551	0.103548	0.180956	0.153602	0.179911	0.0754437	0.0461174	0.0172921	0.0142461	0.188369
m	0.00915597	0.00415848	0.00486457	0.0785407	0.095908	0.542516	0.172292	0.0433278	0.0343795	0.00245242	0.0124045
b	0.0170579	0.0130309	0.00148213	0.0455525	0.040163	0.134798	0.495886	0.108903	0.0427135	0.0107967	0.0896169
v	0.0013598	0.00142867	0.0011092	0.0039463	0.0204317	0.0434109	0.878976	0.028385	0.00705942	0.00876749	0.0051255
á	0.00094771	0.00121566	0.000835442	0.00236661	0.034044	0.0192221	0.857333	0.0172571	0.00653162	0.00667648	0.05357
n	0.00891945	0.0164197	0.00788822	0.0324841	0.0269821	0.0678294	0.613028	0.117222	0.0386821	0.0187263	0.0518184
d	0.00567817	0.00909366	0.003712	0.00565678	0.0401779	0.074212	0.714989	0.055617	0.0277017	0.0279448	0.0352174
é	0.00387651	0.00254521	0.00281989	0.00379724	0.0403371	0.0300566	0.675119	0.0397276	0.0182245	0.123368	0.0601283
m	0.00255078	0.00243681	0.00175318	0.0156014	0.0292641	0.0359169	0.0947512	0.339225	0.20262	0.0501297	0.22575
ó	0.0104292	0.00878286	0.0014182	0.00983569	0.00914776	0.0599175	0.0178196	0.160557	0.382713	0.0538328	0.285546
k	0.00472334	0.00719053	0.0158277	0.00508723	0.00546254	0.0234419	0.0226994	0.0597185	0.206037	0.590902	0.0589103
o	0.000168868	0.000947311	0.00261701	0.000794124	0.00156558	0.00230463	0.00165673	0.0143527	0.0124913	0.958832	0.00427008
l	0.000136144	0.000696338	0.00101789	0.000216559	0.00329473	0.00202052	0.00664876	0.0124566	0.00402793	0.957465	0.0120196
i	8.92081e-05	0.000194786	0.000269328	9.87706e-05	0.00176183	0.000617769	0.00520164	0.0159637	0.014053	0.873854	0.0878965
</S>	0.00216161	0.00196537	0.00179414	0.00293904	0.00524676	0.0128574	0.00490001	0.184485	0.158409	0.123073	0.502168
