 	les	feuilles	bougent	</S>
k	0.574884	0.425056	3.14017e-05	2.85724e-05
á	0.134345	0.843867	0.0175912	0.00419647
s	0.381002	0.450132	0.0332995	0.135567
i	0.175346	0.723519	0.0504596	0.0506757
y	0.234858	0.20809	0.426213	0.130839
é	0.143305	0.105136	0.619993	0.131567
e	0.337564	0.0823628	0.344094	0.235979
t	0.0261787	0.0319238	0.544407	0.397491
í	0.00778314	0.0708206	0.686532	0.234864
n	0.0147911	0.0425386	0.687423	0.255247
a	0.0592915	0.0364067	0.585836	0.318466
a	0.0790992	0.0512066	0.117595	0.752099
</S>	0.0665981	0.0287588	0.0530661	0.851577
