 	la	giffle	qu'	il	m'	a	donnée	a	provoqué	de	nouveau	mes	maux	de	tête	</S>
i	0.265503	0.50145	0.113289	0.0645681	0.00957558	0.00291264	0.0158352	0.00392385	0.0149396	0.00267989	0.0023931	0.00100949	0.000976699	0.000669923	0.000171285	0.000103197
b	0.0461252	0.93428	0.00280297	0.00121881	0.000438069	0.000516922	0.00216805	0.00042298	0.00206877	0.00127615	0.00136306	0.00060354	0.00252336	0.000792477	0.0027025	0.000697497
h	0.00395906	0.983029	0.00118105	0.00137486	0.000135599	0.000330216	0.00207878	0.00028864	0.00610849	0.00015935	0.000312111	0.000130068	0.000210033	0.000104678	0.00047125	0.000126994
έ	0.0100747	0.943968	0.00501579	0.00150892	0.000294623	0.00071992	0.0175485	0.000929433	0.00693766	0.00210794	0.00107062	0.00255378	0.00318378	0.00254885	0.000514636	0.00102308
ε	0.270728	0.613106	0.0643247	0.00792426	0.00112552	0.0015369	0.00499623	0.0041011	0.00127953	0.00146873	0.00308317	0.00340304	0.00396487	0.00372896	0.00068201	0.0145469
l	0.211409	0.0395058	0.351855	0.107921	0.024733	0.0538511	0.0397509	0.0157862	0.0126848	0.0229634	0.0122691	0.00887575	0.0122871	0.0122825	0.00136739	0.072459
í	0.126121	0.00823852	0.184342	0.0431684	0.0586161	0.0800774	0.00356207	0.0939088	0.00183324	0.0633359	0.0465864	0.0848832	0.0332091	0.0479683	0.00242895	0.121722
í	0.0356775	0.00186644	0.133141	0.294587	0.311195	0.130826	0.0426657	0.0142328	0.00481725	0.00568358	0.00235762	0.00879384	0.00298541	0.00474617	0.000238704	0.00618611
b	0.0229997	0.012043	0.0128394	0.0282888	0.0236207	0.229601	0.407875	0.0295804	0.059219	0.0635921	0.0278644	0.0141129	0.0264213	0.00935574	0.00982804	0.022759
é	0.00648837	0.0233785	0.00332999	0.00644059	0.00297073	0.036604	0.654818	0.032944	0.11783	0.0379962	0.0180396	0.0144757	0.0207277	0.00554935	0.00694972	0.0114572
r	0.00803431	0.00281275	0.00553859	0.0166466	0.0119601	0.0629894	0.738195	0.0165172	0.0274186	0.0139677	0.00839503	0.00883319	0.00966252	0.00454934	0.00260684	0.0618731
í	0.0350252	0.00779819	0.0482653	0.0692337	0.0385189	0.0852885	0.363399	0.131857	0.00308373	0.0298001	0.0408897	0.023229	0.0188099	0.0115938	0.00160347	0.0916051
w	0.00265791	0.000795334	0.018075	0.0587921	0.320341	0.166306	0.172103	0.116901	0.0894418	0.0302943	0.00874917	0.00730158	0.00211176	0.00192398	0.000452394	0.00375416
