 	son	nez	est	bouché	</S>
w	0.95939	0.0363928	0.0025263	0.00143094	0.000259449
a	0.978166	0.0108431	0.00887212	0.00196405	0.000154282
p	0.796509	0.10116	0.0900794	0.00155611	0.0106958
e	0.0235094	0.865261	0.0281472	0.0110483	0.0720339
m	0.0260501	0.960636	0.00525734	0.000361687	0.00769453
b	0.174781	0.624745	0.146317	0.00406427	0.0500926
á	0.169483	0.708278	0.0243075	0.0176682	0.0802634
é	0.201095	0.0411731	0.7097	0.00527446	0.0427568
d	0.00797457	0.0155672	0.87354	0.0252432	0.077675
í	0.00242666	0.0153962	0.413136	0.0201621	0.548879
e	0.0266059	0.00667829	0.421228	0.214182	0.331306
k	0.00673085	0.00883003	0.101961	0.699674	0.182803
í	0.000110243	0.00570095	0.0044912	0.969151	0.0205465
n	0.00787642	0.190605	0.0395254	0.717502	0.0444907
d	0.00641816	0.0339807	0.101465	0.676577	0.181559
á	0.0258717	0.0928294	0.130997	0.295861	0.454441
k	0.00965698	0.0025762	0.0856509	0.533763	0.368353
i	0.0017044	0.00470713	0.037994	0.900428	0.0551663
n	0.000259798	0.00753912	0.0118955	0.856182	0.124124
d	0.000532505	0.00451603	0.0108539	0.823213	0.160884
a	0.000891528	0.00379728	0.0227785	0.384465	0.588068
</S>	0.00242497	0.000452875	0.0322868	0.16765	0.797186
