 	cette	année	les	régimes	de	bananes	sont	gros	</S>
ε	0.78264	0.157858	0.0241295	0.0175228	0.00883297	0.000865121	0.00692917	0.000986467	0.000235327
b	0.129467	0.761331	0.00940549	0.0521028	0.0137707	0.0247526	0.0026592	0.00245895	0.00405228
h	0.0303267	0.925787	0.0126523	0.0125454	0.00250194	0.00631795	0.00158989	0.0040996	0.00417972
a	0.0635308	0.913752	0.00594167	0.00264617	0.00117534	0.000832504	0.000403479	0.00811756	0.00360059
n	0.502811	0.234943	0.0599663	0.00447287	0.00511941	0.000562766	0.0185375	0.119973	0.0536143
á	0.286953	0.272613	0.0370042	0.00443246	0.0250499	0.00150192	0.00515779	0.0159828	0.351305
a	0.219824	0.109969	0.41871	0.115727	0.0632022	0.0053676	0.019904	0.00100691	0.0462894
y	0.0727526	0.0171436	0.43598	0.208966	0.18965	0.0198382	0.015025	0.00386865	0.0367758
é	0.110359	0.0107003	0.257153	0.0318556	0.268233	0.0315781	0.0528501	0.00927788	0.227993
a	0.0405239	0.00940686	0.474798	0.0427298	0.191431	0.0417253	0.0434386	0.0101704	0.145777
t	0.0116472	0.012456	0.0785842	0.0459683	0.448924	0.246006	0.0609627	0.0160573	0.0793936
ω	0.00117893	0.00321869	0.00443108	0.0978918	0.0334522	0.83304	0.00546122	0.00449664	0.0168299
r	0.00554596	0.0343257	0.0168372	0.130593	0.0583182	0.685357	0.0250776	0.0233114	0.0206334
ω	0.0244327	0.0575215	0.0587706	0.0854361	0.124182	0.533347	0.0252234	0.0349397	0.0561469
á	0.0132679	0.00166075	0.125247	0.0104913	0.265311	0.0934856	0.385145	0.0613996	0.0439928
d	0.00991147	0.00421927	0.0982543	0.00201555	0.202921	0.013901	0.505352	0.0832669	0.0801592
í	0.0135447	0.00101387	0.0143613	0.000157433	0.0482859	0.00776233	0.301352	0.13628	0.477242
a	0.00368957	0.00114301	0.0742633	0.00237382	0.10808	0.0296834	0.348456	0.166841	0.26547
n	0.0126057	0.0162977	0.0111165	0.00450085	0.0515413	0.064429	0.173345	0.504073	0.162092
έ	0.0105785	0.00680799	0.00257976	0.000180999	0.00367231	0.00373593	0.0195263	0.886948	0.0659703
a	0.000466891	0.00106228	0.00712456	0.000521111	0.0521047	0.0156047	0.119134	0.217083	0.586899
n	0.0183202	0.00301436	0.0229366	0.000453337	0.040765	0.00325591	0.199304	0.404405	0.307546
έ	0.0141501	0.00428747	0.0105015	0.000122258	0.00647479	0.00118048	0.0648528	0.752202	0.146229
</S>	0.000627663	0.000691316	0.00916645	0.000407514	0.0358392	0.00786103	0.104214	0.111797	0.729396
