 	je	chante	et	tu	m'	accompagnes	</S>
n	0.685331	0.0528857	0.202192	0.0437418	0.0138525	0.000824094	0.00117334
g	0.766715	0.180707	0.00693089	0.0303885	0.0145313	0.000281451	0.000445671
á	0.914078	0.0494336	0.00262945	0.0160563	0.0165864	0.000854411	0.000362332
l	0.0889742	0.174301	0.167854	0.168348	0.15175	0.00953771	0.239236
í	0.126901	0.173963	0.0451909	0.0949312	0.238918	0.0134604	0.306635
i	0.00477855	0.176243	0.477839	0.0620911	0.0787958	0.0745624	0.12569
y	0.00492058	0.30549	0.176804	0.0441461	0.0361996	0.0364095	0.396031
é	0.00254461	0.553629	0.135796	0.0288801	0.020872	0.101156	0.157122
m	0.0119977	0.240099	0.140064	0.0708785	0.0448722	0.119261	0.372828
b	0.00473579	0.104736	0.217529	0.0537618	0.0244246	0.0233224	0.571491
a	0.00344799	0.0736794	0.109895	0.0986181	0.0473914	0.0343452	0.632623
n	0.00749854	0.0248419	0.212443	0.368063	0.292201	0.0241989	0.0707532
ω	0.0379989	0.0687383	0.0584725	0.363498	0.307248	0.0453687	0.118675
l	0.00115981	0.0262526	0.269648	0.190636	0.322509	0.0673046	0.122489
ó	0.000699861	0.00932957	0.0612048	0.0593887	0.101153	0.403098	0.365126
o	0.00159379	0.0205213	0.14716	0.0499881	0.112406	0.365881	0.302449
k	2.65043e-05	0.00263911	0.00352566	0.00508491	0.0432498	0.617168	0.328306
y	1.72319e-06	0.000700209	0.00399846	0.00197508	0.00479882	0.857174	0.131352
é	8.73419e-06	0.00140392	0.0132666	0.00763909	0.00808162	0.802803	0.166797
n	3.80176e-05	0.00198264	0.00930341	0.0188443	0.0321299	0.431643	0.506058
a	6.06552e-05	0.00134628	0.0039959	0.0149048	0.0331415	0.385969	0.560582
a	7.12972e-05	0.00154751	0.00993454	0.0177408	0.0458781	0.0520633	0.872764
</S>	0.000472721	0.00437602	0.014542	0.024657	0.0826124	0.0343231	0.839017
