 	le	chien	aboie	là-bas	dans	la	forêt	parce	qu'	il	a	vu	un	gibier	</S>
m	0.870629	0.0846528	0.00264469	0.002088	0.00552003	0.0111369	0.0126115	0.00488129	0.00385106	0.000630392	0.00052747	0.000149157	0.000495957	8.97939e-05	9.1799e-05
v	0.0104539	0.985521	0.00159657	0.000424794	0.000388714	0.00020948	1.19414e-05	3.22225e-05	7.99654e-05	0.000160047	0.00019213	6.99607e-05	0.000203728	0.000147071	0.000508456
á	0.0333108	0.965211	0.000322879	0.000188534	0.000390882	0.000179254	6.85703e-05	1.71085e-05	5.79597e-05	2.33239e-05	1.87329e-05	4.50538e-06	1.84981e-05	0.000180877	7.44289e-06
n	0.0565841	0.94158	0.000194672	0.00018685	0.00014991	0.000149772	2.28957e-05	2.69198e-05	0.000108608	0.000105396	6.00349e-05	8.98455e-06	3.26301e-05	5.50991e-05	0.000734022
d	0.0600738	0.814876	0.0136672	0.0100446	0.00790949	0.0050074	0.000267923	0.00331268	0.00845748	0.0114266	0.00301924	0.000712681	0.000761103	0.0012947	0.0591691
é	0.197348	0.690729	0.0275013	0.00863331	0.00503039	0.00388529	0.000778927	0.00635881	0.00708781	0.0152855	0.00536678	0.0015208	0.00210238	0.0016472	0.026724
l	0.0497078	0.0204669	0.618531	0.0833133	0.019585	0.0138944	0.0089038	0.0154253	0.0112727	0.0208014	0.0255812	0.0212943	0.0207048	0.00302546	0.0674923
á	0.0896322	0.0178075	0.174876	0.0339463	0.0331382	0.0289001	0.00674249	0.0334276	0.0321233	0.0396581	0.0662157	0.0717662	0.0714555	0.0149872	0.285324
a	0.287423	0.011341	0.311105	0.162495	0.0758802	0.0319943	0.00873768	0.00854183	0.0139126	0.0183175	0.0157631	0.0110979	0.0125812	0.0056629	0.0251463
b	0.00359516	0.0103431	0.609992	0.233695	0.0504549	0.00907324	0.0137295	0.00303203	0.001969	0.0034285	0.0088323	0.0331065	0.00533873	0.000934173	0.0124756
ó	0.00152239	0.00392126	0.662794	0.131834	0.07614	0.0248702	0.00905063	0.00805156	0.00560867	0.00649603	0.0141838	0.0238911	0.00632949	0.000570605	0.0247365
m	0.00481735	0.00172613	0.712251	0.117516	0.0504276	0.0162527	0.018616	0.00414579	0.00220583	0.00135968	0.00692015	0.0271787	0.00993709	0.00119991	0.0254461
ó	0.0295682	0.000751	0.0647727	0.324665	0.2298	0.196926	0.0424267	0.0419933	0.0292608	0.00741561	0.00591824	0.00174735	0.0101572	0.000809796	0.0137879
n	0.00682532	0.00361793	0.0242038	0.118509	0.298592	0.281224	0.0914406	0.0384814	0.0676292	0.030825	0.0172063	0.00473172	0.00395222	0.00275066	0.0100107
á	0.0404209	0.0189841	0.0110465	0.0828796	0.137311	0.281311	0.0238636	0.106447	0.130506	0.0361484	0.0106181	0.00199512	0.00548547	0.0573325	0.0556511
s	0.000827522	0.000348379	0.00636712	0.103728	0.179777	0.264275	0.10024	0.0621399	0.117214	0.0814323	0.0288427	0.00693671	0.00502938	0.012271	0.0305711
á	0.00776975	0.000323109	0.010996	0.1349	0.163632	0.191326	0.0699231	0.219196	0.0823181	0.0230193	0.0188722	0.00352647	0.00398686	0.0367183	0.0334931
k	0.00507625	0.000116155	0.00101619	0.0169333	0.0125998	0.10333	0.285289	0.280671	0.198688	0.0646007	0.0172994	0.00170751	0.00185227	0.00679913	0.00402216
ω	0.000523313	4.40415e-05	0.00175104	0.00644811	0.00481763	0.0199926	0.855547	0.0505428	0.0155679	0.0164831	0.0116859	0.0073571	0.00103381	0.000956389	0.00724937
p	0.00024757	9.50175e-05	0.00513644	0.00529289	0.00911258	0.0317418	0.641735	0.0405561	0.0482538	0.0491312	0.0813974	0.0386163	0.005582	0.00945919	0.0336432
é	0.00178887	7.19348e-05	0.00215255	0.0110899	0.00426336	0.0350853	0.540547	0.12021	0.0472897	0.0541834	0.0860339	0.0419165	0.00937045	0.000449138	0.0455481
t	0.00162825	0.000137056	0.00413126	0.0122422	0.0142392	0.0482094	0.0447411	0.123204	0.106998	0.127293	0.282512	0.106134	0.0370365	0.0069757	0.0845191
s	0.0109578	7.941e-05	0.00190358	0.0100498	0.00265292	0.0233844	0.418376	0.196521	0.112321	0.0812176	0.0600038	0.0275282	0.011266	0.00473451	0.0390035
i	0.000405997	1.38416e-05	0.00235234	0.00460892	0.00563391	0.0242965	0.306452	0.248504	0.101075	0.08101	0.106496	0.0424298	0.0112118	0.00421008	0.0613007
n	0.00280805	9.02587e-05	0.00303744	0.00429178	0.0100665	0.03021	0.0625499	0.140783	0.0926308	0.14621	0.176159	0.0479576	0.0225177	0.0063287	0.254359
a	0.0151402	0.0026227	0.00358245	0.00428086	0.00523927	0.0207852	0.00810783	0.183985	0.19117	0.221975	0.0992833	0.0164542	0.0088219	0.0409776	0.177574
á	0.000478646	2.40599e-05	0.00120872	0.00480597	0.00560543	0.0274931	0.0145764	0.0559806	0.0911319	0.138324	0.348714	0.148047	0.0729245	0.0157825	0.0749037
m	0.00169052	0.000436262	0.0103108	0.00783588	0.0111863	0.00401318	0.00294623	0.00109015	0.00157662	0.00649378	0.0807347	0.672835	0.10524	0.0517602	0.0418505
i	0.000298013	9.15949e-05	0.00206	0.00323174	0.0104092	0.00740645	0.000357694	0.00348567	0.00477985	0.00929062	0.0708759	0.114613	0.475146	0.100663	0.197291
t	0.000335752	0.000379115	0.00548066	0.00477311	0.00396574	0.00163588	0.00148517	0.00082968	0.00050518	0.0012448	0.0357798	0.552084	0.214923	0.0564259	0.120153
á	1.23673e-05	5.5327e-05	0.00590733	0.00456658	0.00378232	0.00259945	0.00315698	0.00201773	0.00076207	0.00208672	0.0426659	0.490385	0.347975	0.018493	0.0755346
á	0.000448879	6.48821e-06	0.00287943	0.00393178	0.0042335	0.00872344	0.0260906	0.0148922	0.0080052	0.0207113	0.110224	0.285407	0.255951	0.0458983	0.212596
n	0.000786447	0.000111439	0.00142887	0.0092925	0.00784109	0.0186591	0.00423929	0.0263283	0.0557674	0.0415601	0.0736966	0.0657324	0.262908	0.23274	0.198908
y	0.00247034	0.000543157	0.000119679	0.000597122	0.000580178	0.00190661	0.00036651	0.00440326	0.00564085	0.0029156	0.00385407	0.00421586	0.0140136	0.812304	0.146069
a	0.0173642	0.000244781	0.000212949	0.000453952	0.000972273	0.00272801	0.00172069	0.00201972	0.00337095	0.00305982	0.00776989	0.00808584	0.0227096	0.887669	0.0416187
m	0.000837774	5.54305e-05	0.0004574	0.00053847	0.000627386	0.0016615	0.00223907	0.00210593	0.00504699	0.00362531	0.0256332	0.0231993	0.0515328	0.621478	0.260961
a	0.00159158	0.000208154	0.001076	0.00343258	0.00295447	0.00870355	0.00213867	0.0178864	0.0164459	0.0124327	0.0316586	0.0249537	0.223378	0.189966	0.463174
</S>	0.00315047	1.22329e-05	0.000719642	0.00137803	0.00294109	0.00845864	0.00431678	0.00996749	0.0206542	0.0126478	0.0719913	0.0845923	0.212521	0.076163	0.490487
