 	les	membres	de	son	association	lui	ont	imposé	un	poste	de	responsabilité	</S>
a	0.602879	0.346806	0.0174994	0.00289542	0.0257539	0.00277255	0.000234255	0.000370823	0.000195902	8.76125e-05	0.000347111	0.000138623	1.89605e-05
b	0.00739148	0.979661	0.00423857	0.000717304	0.0065997	0.000179259	9.89716e-05	0.000420019	7.45547e-05	3.31998e-05	0.000117394	0.000385851	8.30977e-05
i	0.00349975	0.992621	0.00192787	0.000536353	0.000534354	7.22791e-05	1.18864e-05	9.18185e-05	3.28905e-05	8.59707e-05	3.09154e-05	2.55382e-05	0.000529307
a	0.0394306	0.785041	0.0867802	0.0383284	0.00677157	0.005356	0.00243039	0.0210888	0.0036021	0.00455532	0.000325695	0.000121379	0.00616813
b	0.19392	0.0357427	0.296316	0.183413	0.128108	0.0946732	0.041627	0.00807509	0.00535111	0.00339316	0.0042627	6.73485e-05	0.00505051
é	0.150172	0.0282344	0.23825	0.296328	0.0516129	0.113287	0.0338898	0.00727902	0.0176305	0.03092	0.00782791	0.000632776	0.0239359
k	0.442332	0.0119786	0.147771	0.114156	0.0902527	0.084235	0.0567763	0.0262026	0.00595912	0.00695669	0.00346061	0.000756937	0.00916205
ó	0.4	0.049598	0.0445018	0.0822445	0.269062	0.0459908	0.0127391	0.0261895	0.024086	0.023785	0.00244571	0.00184373	0.0175138
r	0.0587984	0.022345	0.0358403	0.0447705	0.677772	0.040919	0.0388038	0.0581386	0.0117602	0.00155483	0.00112169	0.000254278	0.00792184
í	0.146831	0.0118388	0.150217	0.215494	0.162611	0.130041	0.0583851	0.0594239	0.0267705	0.00431218	0.00442974	0.000884811	0.0287608
á	0.016466	0.000612127	0.0443981	0.096976	0.0981953	0.197141	0.486203	0.0259145	0.0226675	0.00424612	0.00325	0.000264719	0.00366653
b	0.00235493	0.000208053	0.00301874	0.0108552	0.00892112	0.0199492	0.268544	0.552795	0.0876098	0.038075	0.00477054	0.000868519	0.00203014
h	0.00399038	0.000842367	0.00525512	0.0138986	0.0108147	0.0195936	0.11863	0.559524	0.139607	0.107003	0.0151384	0.00102991	0.00467281
á	0.00566816	0.000692584	0.00650902	0.0263949	0.0175682	0.0242872	0.0428685	0.642803	0.0852742	0.132026	0.0106504	0.00189439	0.00336371
l	0.00840661	0.000870163	0.00720642	0.0363947	0.0198292	0.0468346	0.0768372	0.558567	0.0867581	0.107956	0.00845808	0.0275342	0.0143478
i	0.00372868	0.000208743	0.0067324	0.0333689	0.0253045	0.0894663	0.129795	0.441026	0.170316	0.0609624	0.0227614	0.00366715	0.0126625
w	0.00304932	0.000471256	0.0146048	0.0234145	0.00911008	0.0406936	0.137284	0.146883	0.355076	0.114686	0.0556477	0.0449021	0.0541786
á	0.0156832	0.000241387	0.0253971	0.0562327	0.0111659	0.175591	0.160594	0.0556648	0.265397	0.144439	0.0721729	0.00281813	0.014603
n	0.00951714	0.00066538	0.0252419	0.0203095	0.00662983	0.0575642	0.0417371	0.0210367	0.183241	0.122373	0.150348	0.315559	0.0457771
d	0.00299581	0.00017977	0.00887181	0.0127007	0.00192096	0.036211	0.0200692	0.00848799	0.0343986	0.0339807	0.139791	0.67075	0.0296419
u	0.000517157	7.3279e-05	0.00282025	0.00606345	0.00122791	0.0109337	0.0109343	0.00306614	0.0205004	0.0132998	0.0654392	0.848654	0.01647
r	0.000669153	9.00224e-05	0.00097996	0.00237993	0.00121265	0.00191645	0.00135994	0.00332102	0.0573827	0.00731867	0.0915542	0.798896	0.0329193
u	0.00954488	0.000342302	0.00635542	0.0119717	0.0115682	0.0132835	0.00796983	0.00690585	0.046824	0.0208341	0.310318	0.405511	0.148571
</S>	0.00315663	0.000153415	0.00195953	0.00350345	0.00236383	0.0151601	0.00588442	0.00451387	0.0307799	0.0286227	0.290534	0.057253	0.556115
