 	mon	cadet	m'	a	calomnié	auprès	de	notre	père	</S>
o	0.742862	0.19007	0.0227653	0.00890115	0.00322331	0.0173877	0.00692758	0.00734655	0.000391426	0.000124434
d	0.00732024	0.987242	0.0021387	0.00149364	0.000519912	0.000271138	0.00020214	0.000242712	0.000331165	0.000238476
i	0.00502501	0.989936	0.000166817	0.000816425	0.000421111	0.00138869	0.000869846	4.37473e-05	0.0001423	0.00118988
m	0.0671222	0.896684	0.00292091	0.00500762	0.00142361	0.00382016	0.00185704	0.0010287	0.000413223	0.0197229
í	0.125319	0.826117	0.00410648	0.00860327	0.00863388	0.00996408	0.00817863	0.000119119	0.000454779	0.00850412
á	0.463365	0.0952363	0.145532	0.105811	0.0125324	0.0243879	0.0247406	0.0142935	0.0086047	0.105497
b	0.0859029	0.150275	0.252748	0.320055	0.0791971	0.0181149	0.0172939	0.00843407	0.00721268	0.0607676
ó	0.0220125	0.0142112	0.116989	0.329705	0.409061	0.0237247	0.0267675	0.014134	0.00121973	0.042175
r	0.191048	0.0742309	0.237326	0.27767	0.0730724	0.0174933	0.0120718	0.00524932	0.00312312	0.108714
i	0.438356	0.0545617	0.122947	0.137795	0.0535001	0.0398192	0.0239988	0.0105429	0.00362365	0.114856
i	0.0962974	0.00127553	0.652744	0.185614	0.0151897	0.0198139	0.00651426	0.017004	0.00270443	0.00284238
n	0.00855103	0.00575868	0.125009	0.290133	0.400142	0.037888	0.0342002	0.0035577	0.00965972	0.0851012
g	0.160943	0.00582155	0.545926	0.171038	0.0801598	0.00852637	0.0116563	0.00318841	3.54507e-05	0.0127045
á	0.092754	0.00981738	0.504502	0.225314	0.131292	0.0163682	0.0121803	0.00325178	6.62763e-05	0.00445407
p	0.0197824	0.00070681	0.0790422	0.215892	0.0594662	0.383385	0.151207	0.00714572	0.00290157	0.0804709
ώ	0.0474709	0.000222179	0.0223189	0.0361892	0.0256815	0.1099	0.047508	0.00358586	0.68851	0.0186127
ω	0.00623814	0.000265341	0.0162761	0.0444409	0.0924933	0.451971	0.185538	0.0169681	0.0674564	0.118354
m	0.0059448	0.000431769	0.0231552	0.0926022	0.0380917	0.491556	0.272492	0.0305158	0.011977	0.0332332
b	0.00684633	0.000658307	0.00636566	0.0246789	0.0690227	0.434048	0.239061	0.00621476	0.0210098	0.192095
v	0.000531177	0.000192373	0.00552289	0.040676	0.469592	0.266482	0.184248	0.00204957	0.000413195	0.0302925
á	0.00110301	0.000233945	0.00711994	0.0277988	0.561325	0.208437	0.123267	0.00440016	0.000816277	0.0654999
a	0.0102258	7.06806e-05	0.0136826	0.0180142	0.0953307	0.367716	0.295529	0.0212957	0.0125494	0.165586
t	0.00199401	0.000151658	0.0199226	0.0513683	0.0173989	0.327749	0.326298	0.12189	0.0425481	0.0906788
á	0.00187085	6.71771e-05	0.000940838	0.00309528	0.00706329	0.153654	0.111011	0.00632919	0.676688	0.0392799
á	0.00105798	2.35924e-05	0.00100327	0.00103466	0.000837438	0.0115909	0.0314667	0.0388123	0.889998	0.0241751
y	0.00113967	0.000416538	0.00619745	0.0144206	0.00335403	0.0882762	0.161692	0.391667	0.17579	0.157046
a	0.00232329	0.000199882	0.00525618	0.0143455	0.00363211	0.0598974	0.232165	0.351055	0.119509	0.211617
b	0.00215359	3.21415e-05	0.00382023	0.0020274	0.0006159	0.016467	0.0486486	0.876245	0.0212089	0.0287816
í	0.00130776	2.27235e-05	0.00119672	0.00076116	0.0033898	0.00856525	0.0134676	0.964115	0.00560924	0.00156462
s	0.000980481	5.49788e-06	0.000990024	0.000447824	0.00275378	0.00463176	0.00922296	0.975898	0.00262595	0.00244402
í	0.00348917	0.00028308	0.00238446	0.00583889	0.114929	0.0770544	0.284775	0.236949	0.00963654	0.264661
</S>	0.0011099	9.71846e-05	0.00228815	0.00653908	0.00239734	0.0318971	0.099446	0.0716511	0.0320925	0.752482
