 	dans	la	maison	il	fait	chaud	</S>
s	0.507905	0.454614	0.0328151	0.0037192	0.000681585	8.76432e-05	0.000178068
á	0.161734	0.368024	0.392616	0.0173628	0.0208088	0.00149374	0.0379607
n	0.128026	0.637505	0.219518	0.00652205	0.00351614	0.00290665	0.00200734
d	0.0175194	0.0565795	0.76943	0.00513417	0.00409533	0.0103391	0.136902
é	0.011216	0.0355741	0.930837	0.00300641	0.000879175	0.00560625	0.0128808
e	0.0211701	0.0508914	0.538952	0.0266379	0.0352473	0.128345	0.198756
é	0.0836011	0.0939044	0.197397	0.41084	0.13705	0.00936011	0.067847
d	0.0790132	0.0728198	0.136334	0.357474	0.299048	0.0182155	0.0370961
í	0.143301	0.044477	0.0491893	0.19928	0.407315	0.0525892	0.103849
l	0.0879643	0.02108	0.0308006	0.0896766	0.249601	0.240471	0.280406
a	0.0141356	0.00972877	0.037185	0.192673	0.252582	0.119521	0.374176
y	0.0273662	0.0126109	0.0257042	0.0925706	0.101276	0.493982	0.246491
á	0.00380304	0.00278954	0.00709351	0.0172408	0.0664222	0.8448	0.0578513
n	0.00172978	0.000728722	0.00174773	0.0149957	0.0579649	0.758157	0.164676
g	0.0060474	0.0104356	0.0672583	0.0592522	0.125632	0.628981	0.102393
a	0.000717972	0.000957273	0.0467438	0.00948534	0.0159473	0.757608	0.16854
l	0.00571122	0.00397775	0.0107379	0.0241137	0.0665818	0.242368	0.64651
á	0.0146125	0.011971	0.0129244	0.0435455	0.161557	0.261989	0.493401
</S>	0.0261144	0.00725951	0.0119389	0.0200008	0.0565212	0.27245	0.605716
