 	il	l'	a	attendu	longtemps	</S>
w	0.597045	0.207282	0.191035	0.00365576	0.000780893	0.000202284
a	0.667446	0.226261	0.087882	0.00472253	0.0133999	0.00028902
á	0.0635613	0.474865	0.446936	0.0103417	0.0023226	0.00197387
k	0.0302231	0.19593	0.300765	0.435389	0.0205698	0.017123
y	0.0270909	0.103614	0.194225	0.614016	0.0142819	0.0467723
έ	0.0265079	0.148559	0.505131	0.310821	0.00561821	0.00336267
έ	0.0618683	0.320481	0.499426	0.0365417	0.0204215	0.0612615
l	0.0637533	0.201658	0.330624	0.216447	0.091377	0.0961407
i	0.0927894	0.20996	0.342887	0.102959	0.179691	0.0717131
w	0.165407	0.140656	0.100242	0.0456972	0.306803	0.241196
á	0.125356	0.119492	0.335852	0.0509613	0.244677	0.123661
ω	0.0713648	0.0379045	0.0905931	0.0170453	0.234038	0.549054
l	0.000595746	0.0033997	0.00647232	0.0723644	0.711194	0.205973
a	0.0011273	0.0211007	0.0229915	0.0829022	0.610162	0.261716
á	0.000809195	0.0109446	0.0228834	0.0102799	0.112217	0.842866
</S>	0.0384551	0.0362423	0.0584656	0.00711224	0.189966	0.669759
