 	le	bousier	roule	les	selles	</S>
e	0.978434	0.0190376	0.00079606	0.00156905	0.000146603	1.68646e-05
f	0.0644808	0.932997	0.00105892	0.000763106	0.000548632	0.000151582
u	0.00680957	0.989855	0.00118801	0.000212386	0.000980434	0.000954745
s	0.00564361	0.987986	0.000834109	0.000537694	0.000782749	0.00421618
a	0.385386	0.581966	0.00555185	0.0138829	0.00586697	0.00734624
a	0.446703	0.296385	0.160519	0.0358178	0.00308536	0.0574894
m	0.103732	0.0940483	0.629575	0.0776355	0.0122088	0.0828004
b	0.14235	0.00373588	0.580136	0.15125	0.0367245	0.0858048
í	0.0182308	0.00660174	0.873707	0.0286446	0.0389116	0.0339042
y	0.107457	0.0145685	0.550513	0.0461767	0.0159342	0.26535
é	0.103678	0.0485759	0.59044	0.069428	0.0398611	0.148017
e	0.022913	0.0121123	0.39451	0.294846	0.089876	0.185743
b	0.00748692	0.0266308	0.475376	0.242561	0.15853	0.0894152
ó	0.00378092	0.0138806	0.687766	0.080411	0.169422	0.0447391
n	0.00114624	0.0615099	0.511873	0.0457739	0.07415	0.305547
g	0.0116003	0.211111	0.397923	0.0513389	0.0267235	0.301303
ó	0.0350133	0.0659603	0.55447	0.069457	0.0693648	0.205735
l	0.00933737	0.00175655	0.152054	0.485081	0.0779273	0.273844
á	0.00991077	0.0035622	0.0956427	0.224835	0.221157	0.444892
a	0.015669	0.00261573	0.0555541	0.63742	0.150694	0.138048
m	0.005034	0.0201145	0.0543775	0.0665253	0.78037	0.0735785
b	0.00221388	0.000345028	0.00999199	0.0480018	0.844428	0.0950198
í	7.18276e-05	0.000210107	0.0117959	0.00933069	0.912857	0.0657351
</S>	0.000556907	0.000749136	0.0111041	0.0322479	0.145174	0.810168
