 	il	y	a	plusieurs	manières	d'	ouvrir	cette	maison	</S>
n	0.0970599	0.242616	0.115153	0.0972652	0.0701176	0.223563	0.06092	0.0903994	0.00146167	0.0014446
d	0.2267	0.102095	0.031286	0.0119977	0.0327396	0.0517623	0.0414637	0.265042	0.209684	0.0272284
é	0.0574562	0.0829396	0.0144874	0.00326729	0.0128852	0.0119952	0.0151415	0.0207795	0.753747	0.0273011
e	0.0592961	0.157432	0.020936	0.00751551	0.104473	0.0257577	0.0204375	0.0618589	0.514046	0.0282477
y	0.101598	0.0888015	0.380303	0.164637	0.0706436	0.0660256	0.0207341	0.0705996	0.00762174	0.0290366
é	0.198496	0.164309	0.204522	0.0397899	0.0817692	0.0567547	0.0199379	0.0744157	0.0223458	0.13766
é	0.119891	0.0320053	0.0787347	0.0337795	0.0561311	0.0455792	0.0192575	0.109834	0.125979	0.378808
d	0.0377537	0.0198968	0.124423	0.103289	0.0728221	0.0774562	0.0823229	0.0248326	0.252572	0.204631
i	0.00207618	0.00352692	0.0466018	0.0234878	0.144164	0.104621	0.242406	0.0309676	0.0748096	0.327339
i	0.00173739	0.00299851	0.0494353	0.0906443	0.231697	0.193407	0.290055	0.0340544	0.00997708	0.0959945
k	0.00333343	0.00379022	0.0247906	0.0694952	0.148266	0.143314	0.27691	0.0250535	0.134618	0.17043
ú	0.000745737	0.00149816	0.00339158	0.0166697	0.0275136	0.125334	0.567675	0.00788294	0.1504	0.0988892
m	3.15291e-05	0.000143855	0.000286964	0.000814464	0.0253192	0.0756241	0.864876	0.00993858	0.0202167	0.0027485
ú	0.0139023	0.00390216	0.00528194	0.0149071	0.0453054	0.183967	0.349396	0.243691	0.0207548	0.118893
l	0.00131703	0.000930205	0.00738872	0.0128031	0.0555609	0.170986	0.542103	0.102048	0.0156231	0.0912405
ú	0.00267261	0.00404009	0.0250896	0.056427	0.139048	0.134712	0.261893	0.11083	0.0144894	0.250799
i	0.000737596	0.00124144	0.00565264	0.0101722	0.0813062	0.14826	0.273453	0.225643	0.0191528	0.234381
y	0.00254334	0.00344848	0.0160818	0.0387724	0.0525036	0.0889899	0.209108	0.0453352	0.0349498	0.508267
í	0.00268238	0.00803787	0.0225112	0.0131723	0.0709183	0.0582456	0.134022	0.510424	0.023801	0.156186
í	0.000550683	0.000197557	0.00190272	0.00182279	0.00629611	0.010335	0.0363275	0.179502	0.06294	0.700125
</S>	0.00131425	0.00184704	0.0218571	0.0279178	0.0246601	0.0294519	0.0364458	0.121949	0.00404372	0.730513
