 	je	ne	bougerai	pas	d'	ici	</S>
n	0.760884	0.10739	0.0436218	0.0178212	0.0269527	0.0390307	0.00429958
g	0.986598	0.00442099	0.0028798	0.00211495	0.00215552	0.000999169	0.000831957
á	0.959096	0.0176039	0.010328	0.00586426	0.00354541	0.00261897	0.000943267
i	0.0611638	0.287758	0.130947	0.136341	0.201223	0.116976	0.0655913
d	0.0129889	0.282003	0.255907	0.124701	0.032295	0.0684664	0.223639
i	0.0215637	0.261099	0.614949	0.0226903	0.00211759	0.00623748	0.0713436
b	0.00048183	0.0532267	0.76536	0.100684	0.0318977	0.00594339	0.0424063
h	0.0159591	0.0706075	0.31366	0.0827615	0.100278	0.338905	0.0778299
á	0.00307594	0.0267045	0.0228846	0.135328	0.24178	0.379935	0.190293
o	0.00316004	0.0647233	0.0471179	0.174281	0.422841	0.231809	0.056067
t	0.000109634	0.0193688	0.0305545	0.10777	0.174899	0.46271	0.204588
έ	2.41467e-05	0.0312859	0.0520924	0.18758	0.117504	0.296477	0.315037
m	0.000591488	0.046807	0.0320638	0.144496	0.214997	0.29323	0.267814
ε	9.71992e-05	0.0156362	0.0158533	0.100303	0.14376	0.338085	0.386265
k	8.82758e-05	0.0144233	0.00764694	0.0878474	0.293013	0.197504	0.399477
a	0.000324224	0.00608173	0.014758	0.0838539	0.163769	0.434488	0.296726
á	0.000358395	0.0040024	0.0494309	0.0600076	0.0729401	0.173144	0.640116
</S>	0.000195539	0.014631	0.0113638	0.0425762	0.0926173	0.0974957	0.74112
