 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
k	0.471769	0.264355	0.0821381	0.028154	0.0258729	0.0301105	0.0273431	0.0300932	0.0275603	0.0103475	0.00101276	0.00124318
á	0.273361	0.358772	0.0577872	0.0633202	0.0340128	0.0344467	0.0325368	0.0431622	0.0471637	0.0371627	0.0107724	0.00750214
a	0.0926961	0.453246	0.018899	0.0093553	0.0139707	0.0162362	0.0269854	0.0412898	0.181876	0.0828122	0.012918	0.0497155
l	0.0838537	0.202264	0.374582	0.0447726	0.0225387	0.013754	0.019866	0.0217662	0.0275663	0.0743858	0.00735435	0.107296
é	0.0384333	0.0857324	0.191385	0.106949	0.0320383	0.017264	0.0313228	0.048827	0.052173	0.0471757	0.0121955	0.336504
e	0.0267389	0.090961	0.245554	0.168821	0.0425816	0.0311237	0.0429405	0.0635507	0.0512318	0.0951767	0.00526146	0.136059
d	0.0132059	0.0197284	0.102078	0.26886	0.0880683	0.0311135	0.0184564	0.0200587	0.00723732	0.00254462	0.140957	0.287691
z	0.00228441	0.0177295	0.0206195	0.0335252	0.074514	0.0453285	0.0186295	0.0362552	0.00709859	0.000924948	0.197505	0.545586
á	0.0562036	0.0983151	0.249491	0.142573	0.108027	0.0787237	0.0206927	0.0352172	0.00678987	0.0017014	0.0445224	0.157743
l	0.00241677	0.00473345	0.0250925	0.0240566	0.0906155	0.11056	0.0953524	0.1168	0.0681692	0.0168293	0.0293845	0.415989
a	0.00778166	0.0426616	0.123768	0.0905702	0.14654	0.106976	0.104347	0.0777176	0.0614957	0.0200449	0.02878	0.189318
a	0.00371522	0.00677138	0.0520382	0.0497159	0.104279	0.127998	0.130199	0.169027	0.104251	0.0458152	0.0636467	0.142544
y	0.00216132	0.00359249	0.0210636	0.037851	0.0978346	0.0769215	0.0678098	0.0861098	0.031031	0.00849336	0.470535	0.0965968
έ	0.00142689	0.00441878	0.019183	0.0592693	0.0887066	0.124091	0.116807	0.139876	0.0428655	0.0144997	0.261572	0.127284
l	0.000510927	0.00157418	0.0201162	0.0365293	0.0676624	0.0682449	0.0690787	0.0690795	0.0286617	0.0129344	0.10234	0.523268
i	0.00158846	0.0202032	0.0496526	0.0768166	0.149979	0.145331	0.152608	0.124995	0.115217	0.0582491	0.0407384	0.0646213
m	0.000677411	0.00216644	0.0275663	0.0131011	0.0983149	0.111984	0.174305	0.163281	0.158649	0.068929	0.0783908	0.102636
ó	0.00275813	0.0004384	0.0107642	0.00514515	0.0967688	0.202203	0.129776	0.158439	0.0944647	0.0254482	0.0811016	0.192693
y	0.00328721	0.00231817	0.0281089	0.0133262	0.0601159	0.09662	0.116038	0.229594	0.142767	0.0706959	0.211355	0.0257732
έ	0.00169053	0.00338334	0.00998318	0.0180691	0.0658404	0.130911	0.154675	0.210816	0.100237	0.0444886	0.218168	0.0417385
έ	0.000240273	0.000765207	0.00630739	0.00763396	0.0407366	0.0845221	0.161277	0.210221	0.160087	0.0527766	0.0756296	0.199803
s	0.00144457	0.00161408	0.0103389	0.00737871	0.0305527	0.0396996	0.0504918	0.0657202	0.0561678	0.0340754	0.505871	0.196646
ε	0.000657573	0.00270327	0.0023661	0.00176644	0.0206458	0.0427834	0.037976	0.0704297	0.0381355	0.0362169	0.317807	0.428513
r	3.66919e-05	0.000168498	0.000843803	0.00105169	0.0284667	0.0809539	0.0945282	0.172746	0.0956023	0.0339837	0.108987	0.382632
έ	0.000107425	0.000366918	0.00122768	0.00654525	0.0350238	0.100961	0.130834	0.279627	0.239093	0.0577565	0.0334969	0.11496
b	0.000228405	0.00086954	0.00858958	0.00285958	0.0124961	0.021779	0.056804	0.0890067	0.14943	0.117676	0.0334675	0.506794
á	0.000182722	0.000949568	0.000643902	0.000121926	0.000938262	0.00168261	0.00522403	0.00688937	0.0782007	0.893126	0.00875028	0.00329091
a	0.000125704	0.000784024	0.000718517	7.84167e-05	0.000613691	0.00110066	0.00525192	0.00730957	0.060616	0.910976	0.002065	0.0103605
l	0.000764093	0.00234656	0.00757189	0.00157909	0.00704792	0.00853536	0.0200531	0.0302908	0.0699996	0.181534	0.035379	0.634898
a	0.0043529	0.0212488	0.0368145	0.0103135	0.0307196	0.029099	0.0522818	0.0659126	0.0885623	0.258389	0.0899223	0.312384
b	0.000146073	0.00140037	0.00494854	0.00154496	0.00626231	0.00833096	0.0204159	0.0372757	0.08487	0.535	0.0297183	0.270087
í	0.000435513	0.00140305	0.00208992	0.000671401	0.00436976	0.00523971	0.0131352	0.0163163	0.0813492	0.85626	0.00896722	0.00976244
n	0.000245888	0.00126817	0.00168589	0.000205745	0.00172054	0.00269307	0.00918618	0.0121293	0.0577574	0.872389	0.0034617	0.0372567
í	0.00173731	0.0049241	0.00767846	0.00423727	0.0130075	0.0143036	0.0309737	0.0591143	0.0977934	0.309047	0.0157579	0.441426
</S>	0.000208183	0.000902068	0.005985	0.0053718	0.00812714	0.00762796	0.0144266	0.0276384	0.034448	0.036465	0.0761262	0.782674
