 	le	canard	barbote	dans	la	mare	</S>
a	0.629396	0.336597	0.0249566	0.00445372	0.00441412	0.000123037	5.88901e-05
s	0.375789	0.409508	0.176324	0.0203709	0.00777151	0.00694142	0.00329545
w	0.540102	0.397276	0.0129192	0.0242277	0.00206476	0.0127544	0.0106556
e	0.645662	0.331767	0.00140775	0.00497086	0.00324913	0.007509	0.00543424
b	0.421578	0.297446	0.181292	0.0383065	0.00738511	0.00446574	0.0495262
h	0.12628	0.126224	0.556563	0.0772411	0.0294184	0.00343483	0.0808392
é	0.620786	0.244718	0.0920703	0.0140391	0.00424775	0.00135129	0.0227879
b	0.114144	0.117424	0.53854	0.14821	0.05346	0.00215134	0.026071
á	0.344669	0.171601	0.210647	0.153126	0.0723878	0.00713387	0.0404351
a	0.191299	0.169931	0.189022	0.229012	0.139068	0.0274216	0.054246
t	0.0330882	0.00730458	0.406076	0.404298	0.0773962	0.0229108	0.0489257
s	0.0262739	0.0129903	0.512954	0.206445	0.055504	0.0704216	0.115411
ώ	0.0269517	0.0174202	0.606947	0.197447	0.0526084	0.0607858	0.03784
m	0.0373159	0.0538251	0.196909	0.399347	0.174601	0.0336288	0.104374
b	0.0541759	0.0501394	0.0833012	0.330139	0.289438	0.0529204	0.139885
ώ	0.0520275	0.0621751	0.0693707	0.233593	0.299047	0.151197	0.13259
s	0.0239541	0.0164584	0.0569812	0.168091	0.52177	0.0622606	0.150484
ώ	0.0202366	0.0139647	0.0109328	0.181665	0.215422	0.293272	0.264507
m	0.0119005	0.00597044	0.00673417	0.0303241	0.161096	0.624273	0.159703
á	0.0372319	0.0216259	0.00447061	0.0598239	0.125388	0.625359	0.1261
a	0.0456596	0.0180895	0.0232059	0.0303545	0.118404	0.594314	0.169972
</S>	0.0468717	0.0135574	0.0783156	0.0609375	0.0843106	0.462096	0.253911
