 	le	boy	prépare	le	repas	</S>
b	0.317691	0.680316	0.000142731	0.00154836	0.000218201	8.3712e-05
ώ	0.0281082	0.964482	0.00032118	0.0036545	0.00327901	0.000155372
y	0.0229636	0.91083	0.00116385	0.024259	0.0135872	0.0271964
i	0.801409	0.109957	0.00801646	0.0215383	0.0193777	0.0397024
b	0.469622	0.293069	0.0364851	0.058198	0.00752955	0.135096
ó	0.28199	0.258421	0.00509844	0.19254	0.0388119	0.223139
b	0.378473	0.469689	0.0308762	0.0709518	0.00568905	0.0443213
ó	0.568483	0.32945	0.0122725	0.0419498	0.0190911	0.0287531
o	0.422348	0.313218	0.0915788	0.098644	0.00917209	0.0650396
l	0.152512	0.0116764	0.746516	0.050602	0.007065	0.0316289
á	0.0136715	0.00134801	0.937313	0.0129494	0.00364246	0.0310759
m	0.164055	0.00292341	0.723597	0.0343928	0.00903774	0.0659942
b	0.344651	0.0304361	0.269874	0.184299	0.0983963	0.0723432
á	0.0530966	0.0166784	0.0285958	0.226499	0.166019	0.509111
b	0.0248307	0.0106678	0.012823	0.440102	0.398133	0.113444
e	0.00795353	0.011875	0.0372029	0.0451849	0.874091	0.0236925
a	0.00489508	0.00697712	0.0322759	0.0931858	0.66126	0.201406
</S>	0.00177797	0.000732742	0.006262	0.290847	0.242724	0.457655
