 	itoua	est	le	meilleur	des	garçons	</S>
i	0.910618	0.0768351	0.00502148	0.00120833	0.00586788	0.000416949	3.21642e-05
t	0.848789	0.139612	0.00678729	0.00296394	0.000618258	0.000122105	0.00110714
ú	0.914697	0.0730933	0.00122089	0.00747906	0.000390926	0.00246973	0.000649416
a	0.945602	0.0379301	0.00558106	0.00440702	0.00116505	0.00053647	0.00477843
a	0.217761	0.278228	0.182452	0.00846828	0.0155774	0.00216773	0.295346
d	0.0557466	0.359575	0.457793	0.0722444	0.00925142	0.00136037	0.0440297
í	0.0149683	0.234177	0.558598	0.0579884	0.013836	0.00121939	0.119213
e	0.0104188	0.052988	0.405789	0.137484	0.124078	0.0163588	0.252883
p	0.00631364	0.0146832	0.163748	0.714585	0.025171	0.0290471	0.0464523
o	0.00293258	0.0147846	0.0516359	0.835721	0.0199525	0.0477466	0.0272271
p	0.222788	0.0229422	0.0549475	0.579649	0.0694399	0.0297382	0.0204948
ó	0.0139329	0.0132581	0.0600208	0.51633	0.101838	0.0863931	0.208227
y	0.0102957	0.00799173	0.141458	0.119363	0.287151	0.173161	0.260579
á	0.0307048	0.00779507	0.0382593	0.147008	0.349184	0.315482	0.111567
b	0.000956033	0.000735681	0.00952504	0.0259822	0.178391	0.733591	0.0508193
a	0.000199482	0.00113219	0.00432906	0.00283191	0.0546384	0.927656	0.00921294
a	3.23785e-05	9.63951e-05	0.00225748	0.00403312	0.0280278	0.89103	0.0745228
</S>	0.00132811	0.00470019	0.0701024	0.00936921	0.264716	0.127293	0.522491
