 	hier	un	policier	a	blessé	un	voleur	par	balle	</S>
l	0.822481	0.15869	0.000219295	0.00122111	0.001267	0.0067482	0.00192258	0.00610872	0.00116517	0.000176316
a	0.482709	0.491992	0.00468342	0.00568342	0.003617	0.00224371	0.000317864	0.00131657	0.0038037	0.0036337
p	0.760989	0.218473	0.0101251	0.00107251	0.00134353	0.00272116	0.000396892	0.00149523	0.00264857	0.000734801
ó	0.796437	0.0666653	0.0141187	0.00678711	0.0133115	0.0143569	0.00491715	0.0118154	0.00537735	0.0662141
a	0.753289	0.178855	0.0356529	0.00284731	0.00442679	0.00383731	0.000456277	0.00259544	0.00128643	0.0167533
o	0.118876	0.785369	0.0313106	0.0231738	0.00653238	0.00649868	0.000518109	0.00534407	0.000138493	0.0222392
m	0.0503953	0.175668	0.660858	0.0313639	0.071885	0.00268856	0.00108436	0.00197364	0.000353591	0.00372982
b	0.0212948	0.165539	0.686813	0.0598878	0.0220843	0.00853169	0.00867151	0.00227002	0.000891363	0.0240169
ω	0.00824188	0.0429755	0.892151	0.0249467	0.0213581	0.00525425	0.00154086	0.00053285	0.000177826	0.00282154
r	0.0252929	0.055832	0.876334	0.00774362	0.020382	0.00188185	0.00031762	0.00109506	0.000163674	0.0109573
i	0.114056	0.300213	0.461036	0.0306811	0.0281842	0.0131253	0.00108077	0.00499714	0.00222567	0.0444007
ó	0.023571	0.49027	0.0535376	0.243059	0.0872001	0.0593119	0.0236087	0.0119199	0.00109298	0.00642861
k	0.0126301	0.0407054	0.0889928	0.329337	0.441374	0.0340578	0.0254572	0.014681	0.00130688	0.0114585
ώ	0.00300627	0.00725194	0.00940517	0.0288906	0.886426	0.0432944	0.00292623	0.00654994	0.000692676	0.0115563
s	0.0133977	0.0636909	0.0512736	0.0674745	0.675658	0.0665844	0.00414355	0.0145104	0.00117031	0.0420965
i	0.0204612	0.0726556	0.0887755	0.0605015	0.462428	0.169641	0.00815078	0.03603	0.00793556	0.0734209
l	0.00205375	0.0514566	0.00377876	0.265965	0.213437	0.298336	0.0691876	0.0409451	0.00166527	0.0531752
i	0.0052377	0.00493399	0.00832929	0.053078	0.164863	0.173716	0.0236525	0.0961657	0.0215071	0.448517
m	0.00267032	0.0083646	0.00787733	0.036467	0.123247	0.492643	0.0490043	0.118152	0.0505309	0.111044
ú	0.000100604	0.000833093	0.00059621	0.00524935	0.00100367	0.121011	0.824385	0.0120306	0.0170263	0.0177638
b	0.000204139	0.000235099	0.000212363	0.0145341	0.0050219	0.194258	0.676878	0.0643046	0.00960795	0.0347443
h	0.000565746	0.00707126	0.000940921	0.00597482	0.0188435	0.259421	0.0415881	0.16503	0.0552989	0.445266
u	0.000451913	0.00201835	0.00371149	0.00939428	0.0525727	0.303355	0.0134229	0.0759943	0.160956	0.378123
m	0.000106071	0.00045575	0.00109773	0.00653781	0.016792	0.128343	0.00319147	0.386715	0.0695712	0.38719
á	0.000303446	0.00163962	0.000872393	0.00525236	0.00312711	0.126717	0.104002	0.182043	0.0958946	0.480147
t	0.0011314	0.00852163	0.00217923	0.00514236	0.0115292	0.0681587	0.0113441	0.137985	0.657469	0.0965389
s	0.00108128	0.00397536	0.000608139	0.00165314	0.0160896	0.0314165	0.00808691	0.154961	0.671594	0.110534
u	0.000146496	0.000322181	0.000721833	0.000452207	0.0109719	0.027322	0.00306464	0.0427492	0.842553	0.0716969
ω	2.55645e-05	0.000168026	0.000131514	0.000170295	0.00185672	0.00957405	0.00240463	0.0172372	0.759565	0.208867
</S>	8.05477e-05	0.00277491	0.000373029	0.0073844	0.00468969	0.0322355	0.00136368	0.180321	0.0718263	0.698951
