 	ekomba	a	pris	une	antilope	dans	le	piège	à	noeud	coulant	</S>
e	0.527311	0.444576	0.00338654	0.00292757	0.00217576	0.00480312	0.00425456	0.00535866	0.00468166	0.000348357	0.000108576	6.87604e-05
k	0.571788	0.396703	0.0236135	0.00435667	0.0015035	0.000897745	0.000453745	0.00028893	0.000221633	6.46054e-05	2.11178e-05	8.74562e-05
ó	0.259123	0.310748	0.191542	0.116018	0.0423323	0.00666822	0.00735931	0.00857663	0.0026437	0.0276238	0.019224	0.0081411
m	0.432314	0.233068	0.180684	0.0532736	0.0165308	0.00562393	0.00419352	0.00656653	0.00390813	0.0183158	0.0031426	0.0423804
b	0.444939	0.0522276	0.200089	0.123159	0.0375131	0.040879	0.0267251	0.0147214	0.0357375	0.0112968	0.00374139	0.00897103
a	0.692556	0.077765	0.0684821	0.0928388	0.0392798	0.00926937	0.00683722	0.00240592	0.00329525	0.000683896	0.000889532	0.00569754
á	0.0592191	0.275212	0.341815	0.148567	0.032691	0.0523846	0.0197652	0.0186782	0.0174288	0.00610335	0.001499	0.0266367
b	0.00919536	0.0287108	0.29854	0.247368	0.244576	0.11006	0.0219974	0.00779625	0.00630067	0.0112155	0.00100781	0.0132314
o	0.00855046	0.0375365	0.125622	0.167732	0.165375	0.136208	0.126629	0.134202	0.0491138	0.0118669	0.0207006	0.0164631
m	0.00354098	0.0100549	0.253913	0.345335	0.213803	0.0401803	0.0290626	0.0292043	0.0139193	0.0531468	0.00222249	0.00561828
i	0.0154308	0.00525188	0.0513325	0.157387	0.393153	0.141489	0.108363	0.0159086	0.0641406	0.0358105	0.0038396	0.00789415
m	0.00690617	0.0168053	0.0426554	0.0709924	0.13683	0.234241	0.1341	0.12256	0.084345	0.0905943	0.0201301	0.0398399
b	0.00556686	0.00194455	0.00785552	0.0354158	0.102138	0.257037	0.246071	0.0891184	0.138995	0.0192068	0.00568671	0.0909644
v	0.0146217	0.00129262	0.00201026	0.0336804	0.305786	0.115984	0.266336	0.137884	0.0483991	0.0214965	0.0320797	0.0204303
u	0.0180155	0.00104953	0.00425032	0.0388374	0.387238	0.0776325	0.152286	0.130092	0.032773	0.0178764	0.0377574	0.102192
l	0.00395024	0.00477052	0.00716483	0.0435595	0.198864	0.170814	0.249848	0.2214	0.036967	0.0228609	0.0313715	0.00842918
u	0.00399929	0.00381602	0.0022377	0.0226517	0.191818	0.213998	0.33884	0.090887	0.0948994	0.0227465	0.00676059	0.00734622
m	0.000617309	0.000460415	0.0056988	0.0145596	0.0315911	0.150881	0.165309	0.129939	0.31427	0.0898062	0.0633028	0.0335644
í	0.0153424	0.00163126	0.00255998	0.0106557	0.0147898	0.0729922	0.146857	0.064875	0.333186	0.0451489	0.0252128	0.26675
k	0.00658746	0.00395792	0.00412645	0.00590585	0.0126774	0.0264504	0.0418645	0.049518	0.162619	0.398087	0.238334	0.0498729
í	0.00172719	0.000593613	0.001245	0.00427418	0.00883865	0.00237436	0.00655164	0.0149105	0.00733949	0.126452	0.811734	0.0139595
é	0.000401942	0.000173608	0.000355095	0.000800005	0.00202829	0.00582213	0.00719857	0.0366265	0.00587452	0.0296331	0.860747	0.0503393
</S>	0.00063163	0.00113709	0.00655496	0.00746669	0.0107432	0.0311428	0.035199	0.0243596	0.14089	0.0390671	0.332732	0.370076
