 	le	manioc	est	devenu	cher	à	oyo	</S>
i	0.43691	0.504181	0.0349421	0.0154374	0.00267673	0.00559571	2.64389e-05	0.000229906
k	0.0177653	0.967616	0.00992734	0.00327946	0.000706732	0.000339918	0.000186213	0.000178597
ώ	0.00410151	0.990434	0.00151107	0.00187232	0.0016454	7.88205e-05	8.6947e-05	0.000270214
ώ	0.0224529	0.92018	0.033739	0.0133918	0.00480983	0.00264699	0.000329625	0.00244986
í	0.378454	0.0776944	0.479123	0.0450461	0.00330323	0.00497426	7.91136e-05	0.0113258
b	0.17773	0.0394346	0.307384	0.372017	0.0357456	0.0250322	0.00881192	0.0338441
h	0.0232069	0.0311359	0.0860799	0.781714	0.0389662	0.0205152	0.00131449	0.0170678
i	0.063891	0.0401656	0.156059	0.538985	0.0835437	0.0819368	0.00258055	0.0328378
l	0.0875247	0.0235615	0.137185	0.195657	0.141814	0.081859	0.0119439	0.320454
o	0.0229869	0.00338369	0.109749	0.0766104	0.21995	0.227007	0.092903	0.24741
t	0.0554054	0.0028561	0.0533331	0.0143153	0.323592	0.102162	0.335734	0.112603
ú	0.00682755	0.012132	0.0244452	0.0280316	0.753264	0.0334135	0.0893809	0.0525053
y	0.00378396	0.00367662	0.0176868	0.00538541	0.713807	0.0370874	0.137895	0.0806779
a	0.0356172	0.014849	0.0478345	0.0177329	0.469915	0.158744	0.101207	0.154101
s	0.0040283	0.00119054	0.0677379	0.0378898	0.0369543	0.417417	0.124655	0.310127
o	0.0114881	0.00195402	0.00624733	0.00564713	0.0581283	0.0647935	0.68753	0.164212
y	0.0119482	0.000435985	0.00501555	0.000248296	0.00205261	0.179796	0.742602	0.0579015
ó	0.00499758	0.000934965	0.00363511	0.0011476	0.00402679	0.0373877	0.871943	0.0759276
o	0.00540744	0.00117318	0.0108496	0.00558582	0.0078594	0.0774484	0.515043	0.376633
</S>	0.00410865	0.00209575	0.0299776	0.0226469	0.0107479	0.0992438	0.124563	0.706616
