 	les	hommes	partent	chasser	le	bouc	</S>
a	0.658672	0.340164	0.000258928	0.000215738	0.000615978	4.79313e-05	2.53685e-05
b	0.278469	0.690403	0.0258946	0.0034396	0.000506079	0.00101236	0.000275869
a	0.199916	0.75938	0.0180814	0.0184535	0.00145652	0.00118494	0.00152803
a	0.186225	0.579722	0.0594096	0.0450294	0.00575416	0.00111182	0.122749
b	0.359522	0.381147	0.116573	0.00728238	0.0498243	2.23539e-05	0.0856297
á	0.206593	0.340073	0.0829709	0.0806331	0.167244	0.00211315	0.120373
a	0.252554	0.144282	0.399344	0.064389	0.0885491	0.00506763	0.0458143
d	0.00167052	0.00304455	0.909443	0.0697026	0.0055774	0.000267896	0.0102945
z	0.000403871	0.000199279	0.88588	0.107745	0.000794641	0.000161981	0.00481534
w	0.00448948	9.00453e-05	0.956164	0.0369955	0.000837609	0.000733569	0.000689945
á	0.0169108	0.000278203	0.569152	0.194719	0.145501	0.0037486	0.0696917
o	0.0133803	0.000614375	0.125886	0.44872	0.307157	0.0675595	0.0366826
b	0.00145605	0.000437257	0.138429	0.747488	0.038159	0.0694147	0.0046157
e	0.00389746	0.00593999	0.0243231	0.896765	0.0395717	0.01077	0.0187327
n	8.30005e-05	0.000278502	0.0244543	0.935618	0.0121709	0.00631904	0.0210763
g	0.013341	0.000699072	0.0359609	0.415707	0.187109	0.00946994	0.337713
á	0.0297527	0.00270255	0.0250866	0.372342	0.12971	0.0428299	0.397576
m	0.00720446	0.000512814	0.004267	0.0205201	0.68121	0.144676	0.141609
b	0.00688245	0.000126794	0.000413615	0.00765924	0.0182522	0.950602	0.0160642
ó	0.00510674	0.000146753	7.84138e-05	0.00346214	0.00601517	0.982305	0.00288554
s	0.000843756	0.0001663	0.000762841	0.0470652	0.00272033	0.935383	0.0130584
i	0.0141761	0.000588619	0.00367736	0.0137332	0.180696	0.552837	0.234291
</S>	0.00244261	0.000494756	0.00139664	0.00573735	0.153488	0.0386418	0.797799
