 	je	ne	m'	entends	pas	avec	lui	</S>
b	0.413829	0.159928	0.037147	0.0379596	0.173732	0.152087	0.0130464	0.0122711
í	0.299069	0.0538087	0.122803	0.32638	0.0458337	0.109909	0.0320131	0.0101835
s	0.134883	0.0887657	0.182709	0.135911	0.0772319	0.0913143	0.066216	0.222969
í	0.0653409	0.0615876	0.372932	0.207388	0.0412486	0.144176	0.0668943	0.0404333
l	0.0574869	0.0605404	0.0822342	0.0461067	0.0574044	0.127655	0.0620529	0.50652
a	0.0495421	0.070317	0.198441	0.0405763	0.0225041	0.0604289	0.0386914	0.519499
w	0.140634	0.311459	0.0895857	0.0853714	0.0411446	0.1034	0.0618899	0.166515
a	0.0555425	0.248035	0.0304394	0.0368697	0.130488	0.149434	0.123101	0.22609
l	0.0795327	0.325474	0.0722218	0.0452696	0.0873325	0.0843799	0.049964	0.255825
e	0.0282372	0.254216	0.0503531	0.0426769	0.146048	0.109011	0.0702535	0.299204
d	0.0179351	0.234169	0.136488	0.09712	0.116925	0.0984312	0.071978	0.226954
i	0.00420791	0.230655	0.0177922	0.211082	0.354122	0.0237463	0.0787918	0.0796021
í	0.00146825	0.0808823	0.046474	0.114684	0.365442	0.163493	0.0731958	0.15436
o	0.00161499	0.0409922	0.218043	0.108203	0.213795	0.273023	0.0465049	0.097824
b	0.000234807	0.0476685	0.00950343	0.168013	0.450139	0.0979036	0.17204	0.0544972
ó	0.00032936	0.0504385	0.0121591	0.106116	0.308507	0.148609	0.241889	0.131951
n	9.68561e-05	0.0552302	0.00691279	0.0906604	0.244865	0.0830481	0.0600208	0.459166
d	0.000988368	0.0371381	0.031251	0.124234	0.347976	0.152175	0.0666562	0.239581
o	0.00106194	0.0370725	0.0359752	0.10485	0.195085	0.105483	0.153353	0.367118
m	0.00239401	0.0229187	0.183571	0.11168	0.0787916	0.211226	0.112939	0.27648
a	0.000351137	0.0231002	0.0969169	0.238413	0.125308	0.192244	0.226769	0.0968985
k	0.00174132	0.00990452	0.147326	0.0647869	0.0783899	0.195757	0.200614	0.301481
a	0.00194895	0.0168219	0.0060541	0.013578	0.340712	0.161421	0.164246	0.295218
á	0.000272344	0.00243562	0.00959154	0.0066068	0.0800025	0.045625	0.111859	0.743607
</S>	0.00309403	0.0145162	0.0895704	0.0292205	0.0248337	0.0665173	0.0912273	0.681021
